case,x,panel,chain_real,chain_imag,pressure_delta_real,pressure_delta_imag
fn167,1.7902623815836317e-05,0,-9.925837056039098e-15,-1.7494589715504276e-14,3.3747845990532934e-11,5.948160503271454e-11
fn167,1.7902623815836317e-05,1,-5.654959411902532e-15,-1.3276176458470877e-14,1.922686200046861e-11,4.513899995880098e-11
fn167,1.7902623815836317e-05,2,-3.67446329020906e-15,-1.2874919102940259e-14,1.2493175186710805e-11,4.377472494999688e-11
fn167,1.7902623815836317e-05,3,-1.5488177152739866e-15,-8.237740884451679e-15,5.265980231931554e-12,2.8008319007135707e-11
fn167,1.7902623815836317e-05,4,-2.572697350372362e-17,-5.512406467998386e-15,8.747170991266031e-14,1.874218199119451e-11
fn167,1.7902623815836317e-05,5,8.765013255175489e-16,-3.4564343475048496e-15,-2.9801045067596662e-12,1.1751876781516488e-11
fn167,1.7902623815836317e-05,6,1.3267500568062295e-15,-4.309325094615542e-15,-4.51095019314118e-12,1.4651705321692842e-11
fn167,1.7902623815836317e-05,7,1.942824027597088e-15,-3.990408873380128e-15,-6.605601693830099e-12,1.3567390169492436e-11
fn167,1.7902623815836317e-05,8,2.7689186683676136e-15,-2.2315076668779637e-15,-9.414323472449886e-12,7.587126067385076e-12
fn167,1.7902623815836317e-05,9,2.7628078431715912e-15,-2.7902174607614345e-15,-9.39354666678341e-12,9.486739366588877e-12
fn167,1.7902623815836317e-05,10,3.437042981869594e-15,-9.212805510950608e-16,-1.1685946138356618e-11,3.1323538737232066e-12
fn167,1.7902623815836317e-05,11,3.7165183771920064e-15,1.6169426328471691e-16,-1.2636162482452821e-11,-5.497604951680375e-13
fn167,1.7902623815836317e-05,12,4.735810276685136e-15,6.752923777462811e-16,-1.6101754940729462e-11,-2.295994084337356e-12
fn167,1.7902623815836317e-05,13,4.059999794481762e-15,-2.7847934334320244e-16,-1.3803999301237992e-11,9.468297673668884e-13
fn167,1.7902623815836317e-05,14,3.602115643349233e-15,4.519145148233825e-16,-1.2247193187387392e-11,-1.5365093503995005e-12
fn167,1.7902623815836317e-05,15,5.89770008745962e-15,1.5978092119206858e-15,-2.0052180297362706e-11,-5.4325513205303314e-12
fn167,1.7902623815836317e-05,16,5.833202061075779e-15,2.201019705922984e-15,-1.9832887007657647e-11,-7.483467000138145e-12
fn167,1.7902623815836317e-05,17,5.670171097755948e-15,2.18651683500099e-15,-1.9278581732370223e-11,-7.434157239003367e-12
fn167,1.7902623815836317e-05,18,5.128275448209702e-15,2.3604809232654154e-15,-1.7436136523912986e-11,-8.025635139102412e-12
fn167,1.7902623815836317e-05,19,5.65146706292126e-15,2.8796020778316976e-15,-1.9214988013932285e-11,-9.790647064627771e-12
fn167,1.7902623815836317e-05,20,5.418666113188151e-15,2.4877498672606867e-15,-1.842346478483971e-11,-8.458349548686335e-12
fn167,1.7902623815836317e-05,21,6.496588594225311e-15,3.635155337172311e-15,-2.208840122036606e-11,-1.2359528146385858e-11
fn167,1.7902623815836317e-05,22,6.4114256476884476e-15,3.459045900186511e-15,-2.1798847202140723e-11,-1.1760756060634139e-11
fn167,1.7902623815836317e-05,23,5.786788904446661e-15,3.3196954928506742e-15,-1.9675082275118648e-11,-1.1286964675692292e-11
fn167,1.7902623815836317e-05,24,5.208472979516562e-15,3.1355817497719897e-15,-1.770880813035631e-11,-1.0660977949224765e-11
fn167,1.7902623815836317e-05,25,7.35507429719386e-15,4.473507992259023e-15,-2.5007252610459127e-11,-1.520992717368068e-11
fn167,1.7902623815836317e-05,26,6.675039233044522e-15,4.17220642785853e-15,-2.2695133392351373e-11,-1.4185501854719e-11
fn167,1.7902623815836317e-05,27,4.679103054720671e-15,2.9261627759518432e-15,-1.590895038605028e-11,-9.948953438236267e-12
fn167,1.7902623815836317e-05,28,3.761518197873922e-15,2.3718004183781145e-15,-1.2789161872771335e-11,-8.06412142248559e-12
fn167,1.7902623815836317e-05,29,6.698361893472941e-15,4.242604750886045e-15,-2.2774430437808e-11,-1.4424856153012554e-11
fn167,1.7902623815836317e-05,30,6.719518661067823e-15,4.255190954248772e-15,-2.28463634476306e-11,-1.4467649244445824e-11
fn167,1.7902623815836317e-05,31,3.8408611814650745e-15,2.416178015167209e-15,-1.3058928016981253e-11,-8.215005251568511e-12
fn167,1.7902623815836317e-05,32,4.455392268042915e-15,2.8094262879281415e-15,-1.514833371134591e-11,-9.552049378955681e-12
fn167,1.7902623815836317e-05,33,6.3930251734255525e-15,4.0355573414722615e-15,-2.1736285589646877e-11,-1.3720894961005688e-11
fn167,1.7902623815836317e-05,34,5.978818853344567e-15,3.740560286424897e-15,-2.032798410137153e-11,-1.2717904973844649e-11
fn167,1.7902623815836317e-05,35,7.206034466733798e-15,4.3845507276351746e-15,-2.4500517186894914e-11,-1.4907472473959593e-11
fn167,1.7902623815836317e-05,36,5.786788904446661e-15,3.3196954928506304e-15,-1.9675082275118648e-11,-1.1286964675692144e-11
fn167,1.7902623815836317e-05,37,5.960528609680246e-15,3.319602482053799e-15,-2.026579727291284e-11,-1.1286648438982917e-11
fn167,1.7902623815836317e-05,38,6.92103099736229e-15,3.7427334671876045e-15,-2.3531505391031787e-11,-1.2725293788437855e-11
fn167,1.7902623815836317e-05,39,5.833789865474032e-15,3.149600592504599e-15,-1.983488554261171e-11,-1.0708642014515637e-11
fn167,1.7902623815836317e-05,40,5.345577883254186e-15,2.6732248514520795e-15,-1.8174964803064233e-11,-9.088964494937071e-12
fn167,1.7902623815836317e-05,41,5.3386123523907484e-15,2.1679758937891144e-15,-1.8151281998128546e-11,-7.371118038882989e-12
fn167,1.7902623815836317e-05,42,5.67017109775647e-15,2.1865168350009435e-15,-1.9278581732372e-11,-7.434157239003208e-12
fn167,1.7902623815836317e-05,43,5.2461668005358e-15,2.3118872241051106e-15,-1.783696712182172e-11,-7.860416561957376e-12
fn167,1.7902623815836317e-05,44,4.5128866306671425e-15,1.7393737905649808e-15,-1.5343814544268283e-11,-5.913870887920935e-12
fn167,1.7902623815836317e-05,45,4.401995449280271e-15,4.222088315539345e-16,-1.496678452755292e-11,-1.4355100272833774e-12
fn167,1.7902623815836317e-05,46,4.919812450909844e-15,9.802024105675799e-18,-1.672736233309347e-11,-3.332688195929772e-14
fn167,1.7902623815836317e-05,47,4.263891080433091e-15,1.4192037274226005e-17,-1.4497229673472509e-11,-4.825292673236842e-14
fn167,1.7902623815836317e-05,48,4.175720428933045e-15,-5.682862613568722e-16,-1.4197449458372353e-11,1.9321732886133654e-12
fn167,1.7902623815836317e-05,49,2.9809259171672688e-15,-8.715914196581893e-16,-1.0135148118368714e-11,2.9634108268378437e-12
fn167,1.7902623815836317e-05,50,2.4043702075783027e-15,-1.4581892431439944e-15,-8.174858705766229e-12,4.957843426689581e-12
fn167,1.7902623815836317e-05,51,2.367502618640084e-15,-3.365408603996109e-15,-8.049508903376286e-12,1.144238925358677e-11
fn167,1.7902623815836317e-05,52,1.4253548506423289e-15,-4.365847579586093e-15,-4.8462064921839185e-12,1.4843881770592717e-11
fn167,1.7902623815836317e-05,53,1.3045617488485008e-15,-4.805571425238145e-15,-4.435509946084903e-12,1.633894284580969e-11
fn167,1.7902623815836317e-05,54,5.653525475737117e-16,-4.712141903890489e-15,-1.9221986617506197e-12,1.6021282473227663e-11
fn167,1.7902623815836317e-05,55,-1.1534690874464714e-16,-5.579258153312408e-15,3.921794897318003e-13,1.896947772126219e-11
fn167,1.7902623815836317e-05,56,-2.733051847047698e-15,-1.2665662366189415e-14,9.292376279962173e-12,4.306325204504401e-11
fn167,1.7902623815836317e-05,57,-4.25575481097655e-15,-1.4577277713730263e-14,1.4469566357320272e-11,4.95627442266829e-11
fn167,1.7902623815836317e-05,58,-7.243207254375451e-15,-1.7048392209869697e-14,2.4626904664876535e-11,5.796453351355697e-11
fn167,1.7902623815836317e-05,59,-9.900775339312765e-15,-1.7475545081869852e-14,3.3662636153663403e-11,5.94168532783575e-11
fn167,0.021330123770672976,0,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,1,4.651004052574994e-17,3.848952941996445e-17,-1.581341377875498e-13,-1.3086440002787913e-13
fn167,0.021330123770672976,2,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,3,-3.0108557296878664e-16,-1.478958802135643e-15,1.0236909480938746e-12,5.028459927261186e-12
fn167,0.021330123770672976,4,-1.864325097548456e-16,-1.2932773934601219e-15,6.33870533166475e-13,4.397143137764414e-12
fn167,0.021330123770672976,5,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,6,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,7,3.413429041016023e-17,-4.380760453820889e-16,-1.1605658739454478e-13,1.4894585542991024e-12
fn167,0.021330123770672976,8,-9.776081340527684e-17,-5.104599618746508e-16,3.323867655779413e-13,1.7355638703738126e-12
fn167,0.021330123770672976,9,6.355120201096851e-17,4.570032502934142e-16,-2.1607408683729292e-13,-1.5538110509976083e-12
fn167,0.021330123770672976,10,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,11,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,12,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,13,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,14,2.4356248196014186e-16,-1.1871636924140295e-16,-8.281124386644824e-13,4.0363565542077e-13
fn167,0.021330123770672976,15,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,16,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,17,6.256895583619534e-16,2.1039139016929704e-16,-2.1273444984306416e-12,-7.1533072657561e-13
fn167,0.021330123770672976,18,4.750763531307357e-16,2.2993924585770586e-16,-1.6152596006445014e-12,-7.817934359162e-13
fn167,0.021330123770672976,19,1.853244835728673e-16,2.767478259653311e-17,-6.301032441477488e-13,-9.409426082821258e-14
fn167,0.021330123770672976,20,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,21,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,22,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,23,5.755238389866921e-16,4.0638698488972517e-16,-1.9567810525547532e-12,-1.3817157486250655e-12
fn167,0.021330123770672976,24,6.942402830166149e-16,4.550201712979249e-16,-2.3604169622564906e-12,-1.5470685824129446e-12
fn167,0.021330123770672976,25,-1.3156503710761777e-16,-6.363375583374855e-17,4.473211261659004e-13,2.1635476983474504e-13
fn167,0.021330123770672976,26,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,27,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,28,3.896509547924242e-17,2.340735209630958e-17,-1.3248132462942424e-13,-7.958499712745257e-14
fn167,0.021330123770672976,29,2.0757743403309964e-17,1.3234184826517167e-17,-7.057632757125388e-14,-4.4996228410158365e-14
fn167,0.021330123770672976,30,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,31,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,32,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,33,1.3880999132424964e-16,7.268052836746479e-17,-4.719539705024488e-13,-2.471137964493803e-13
fn167,0.021330123770672976,34,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,35,1.246829799401975e-16,5.499660460273735e-17,-4.239221317966715e-13,-1.86988455649307e-13
fn167,0.021330123770672976,36,5.755238389866899e-16,4.06386984889729e-16,-1.9567810525547456e-12,-1.3817157486250787e-12
fn167,0.021330123770672976,37,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,38,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,39,-5.929842796858442e-16,-4.2514859846777054e-16,2.0161465509318703e-12,1.44550523479042e-12
fn167,0.021330123770672976,40,1.8532448357285574e-16,2.767478259653423e-17,-6.301032441477096e-13,-9.409426082821639e-14
fn167,0.021330123770672976,41,3.0225487613818113e-16,2.1888072273063358e-16,-1.027666578869816e-12,-7.441944572841542e-13
fn167,0.021330123770672976,42,6.256895583620374e-16,2.103913901693103e-16,-2.127344498430927e-12,-7.15330726575655e-13
fn167,0.021330123770672976,43,2.952372955239703e-16,-4.6311321922931944e-17,-1.003806804781499e-12,1.574584945379686e-13
fn167,0.021330123770672976,44,-4.137906660289995e-17,-3.1063288767366e-16,1.406888264498598e-13,1.056151818090444e-12
fn167,0.021330123770672976,45,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,46,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,47,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,48,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,49,3.2644038396138816e-16,2.4730268369814024e-16,-1.1098973054687198e-12,-8.408291245736768e-13
fn167,0.021330123770672976,50,1.6488966443918733e-16,1.2578264900702374e-16,-5.606248590932369e-13,-4.2766100662388073e-13
fn167,0.021330123770672976,51,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,52,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,53,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,54,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,55,-1.864325097548456e-16,-1.2932773934600742e-15,6.33870533166475e-13,4.3971431377642525e-12
fn167,0.021330123770672976,56,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,57,0.0,0.0,-0.0,0.0
fn167,0.021330123770672976,58,4.651004052575011e-17,3.848952941996417e-17,-1.5813413778755037e-13,-1.3086440002787817e-13
fn167,0.021330123770672976,59,-1.2042499814347024e-17,-1.005924682673721e-17,4.094449936877988e-14,3.4201439210906515e-14
fn167,0.04264234491753012,0,-7.454971296305162e-16,-2.5357782039817915e-15,2.534690240743755e-12,8.621645893538091e-12
fn167,0.04264234491753012,1,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,2,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,3,-1.469402505976637e-16,-1.4298852072146064e-15,4.995968520320566e-13,4.861609704529662e-12
fn167,0.04264234491753012,4,-1.317738700946121e-16,-1.309544199996176e-15,4.4803115832168114e-13,4.452450279986998e-12
fn167,0.04264234491753012,5,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,6,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,7,5.0589373027205914e-17,-4.3897162956777617e-16,-1.7200386829250012e-13,1.492503540530439e-12
fn167,0.04264234491753012,8,8.290349009919757e-17,-3.8171854896438206e-16,-2.8187186633727173e-13,1.2978430664788989e-12
fn167,0.04264234491753012,9,2.7412554712527045e-16,-1.9828217693692306e-16,-9.320268602259196e-13,6.741594015855384e-13
fn167,0.04264234491753012,10,1.4209925954338647e-16,-2.803374516603166e-16,-4.83137482447514e-13,9.531473356450765e-13
fn167,0.04264234491753012,11,1.6972502945554956e-16,-2.3462800782610207e-16,-5.770651001488685e-13,7.97735226608747e-13
fn167,0.04264234491753012,12,3.1245945256243376e-16,2.492197561557504e-16,-1.0623621387122747e-12,-8.473471709295512e-13
fn167,0.04264234491753012,13,2.2226362609467824e-16,-1.5049035943440832e-16,-7.55696328721906e-13,5.116672220769883e-13
fn167,0.04264234491753012,14,3.0661941144567793e-16,2.4176621897611467e-16,-1.042505998915305e-12,-8.220051445187899e-13
fn167,0.04264234491753012,15,2.722984054649403e-16,-7.359554671053617e-17,-9.258145785807971e-13,2.5022485881582297e-13
fn167,0.04264234491753012,16,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,17,2.9813694911570646e-16,2.314060059594266e-16,-1.013665626993402e-12,-7.867804202620505e-13
fn167,0.04264234491753012,18,1.7241064302360882e-16,1.6456410809825456e-17,-5.8619618628027e-13,-5.595179675340655e-14
fn167,0.04264234491753012,19,4.769402818961414e-16,2.5830755923525427e-16,-1.621596958446881e-12,-8.782457013998645e-13
fn167,0.04264234491753012,20,7.759327515393262e-16,4.935031338018802e-16,-2.6381713552337093e-12,-1.6779106549263927e-12
fn167,0.04264234491753012,21,2.084091304034481e-16,6.698328298157189e-17,-7.085910433717235e-13,-2.277431621373444e-13
fn167,0.04264234491753012,22,2.206126989467086e-16,8.3704291562048e-17,-7.500831764188093e-13,-2.845945913109632e-13
fn167,0.04264234491753012,23,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,24,1.2289754430823228e-16,5.886636571502867e-17,-4.1785165064798976e-13,-2.0014564343109748e-13
fn167,0.04264234491753012,25,6.805585842854461e-16,4.784059521546149e-16,-2.3138991865705168e-12,-1.6265802373256905e-12
fn167,0.04264234491753012,26,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,27,5.384909068201047e-16,3.963969553127329e-16,-1.830869083188356e-12,-1.3477496480632919e-12
fn167,0.04264234491753012,28,5.312543072524341e-16,3.8813293178050913e-16,-1.8062646446582759e-12,-1.319651968053731e-12
fn167,0.04264234491753012,29,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,30,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,31,5.312543072524305e-16,3.8813293178050617e-16,-1.8062646446582638e-12,-1.319651968053721e-12
fn167,0.04264234491753012,32,5.38490906820112e-16,3.9639695531273133e-16,-1.8308690831883806e-12,-1.3477496480632864e-12
fn167,0.04264234491753012,33,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,34,5.510471289105486e-16,4.106987656110015e-16,-1.873560238295865e-12,-1.396375803077405e-12
fn167,0.04264234491753012,35,5.569503121372781e-16,4.1739220991270378e-16,-1.8936310612667453e-12,-1.4191335137031928e-12
fn167,0.04264234491753012,36,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,37,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,38,2.0840913040343328e-16,6.69832829815857e-17,-7.085910433716731e-13,-2.2774316213739137e-13
fn167,0.04264234491753012,39,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,40,2.925708989398835e-16,2.2484048150917156e-16,-9.947410563956038e-13,-7.644576371311833e-13
fn167,0.04264234491753012,41,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,42,2.9813694911570236e-16,2.314060059594265e-16,-1.0136656269933881e-12,-7.867804202620502e-13
fn167,0.04264234491753012,43,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,44,3.037637784615844e-16,2.382228647718443e-16,-1.032796846769387e-12,-8.099577402242706e-13
fn167,0.04264234491753012,45,3.0661941144567887e-16,2.417662189761114e-16,-1.0425059989153082e-12,-8.220051445187788e-13
fn167,0.04264234491753012,46,5.317782673446695e-16,9.493411922483376e-17,-1.8080461089718763e-12,-3.227760053644348e-13
fn167,0.04264234491753012,47,0.0,0.0,-0.0,0.0
fn167,0.04264234491753012,48,1.697250294555545e-16,-2.346280078261263e-16,-5.770651001488852e-13,7.977352266088294e-13
fn167,0.04264234491753012,49,4.606467421253421e-16,-2.3006043245399527e-17,-1.5661989232261632e-12,7.822054703435839e-14
