iteration,step_factor,exact_objective,exact_relative_decrease,low_mode_objective,predicted_low_mode_objective,trust_ratio,maximum_displacement_ratio,condition_number,condition_number_ratio,dipole_coefficient,root_relative_mismatch,accepted,rejection_reason
1,1.0,0.025633949631435213,0.05457839559124693,0.025630032475818007,0.025614062072368902,0.9893510336303096,0.1899996078767358,36830.92818144586,0.9992791171440504,8.116631567604779,0.0015359082465429797,True,
1,0.5,0.026263727077639385,0.03135118276717851,0.026261558126374686,0.026256495969975344,0.9940950960333245,0.0949999322380824,36843.63438256611,0.9996238557120046,8.12787936973357,0.0015380054784470626,True,
1,0.25,0.02666116653061152,0.016692971657039285,0.026659905026614573,0.026658280227929442,0.9964329008204954,0.04749999431140749,36850.55846404026,0.9998117165768853,8.133495315519921,0.001535721608317619,True,
2,1.0,0.02502715975713464,0.023671337543569926,0.025023429503485663,0.025009901183021488,0.9783216823973163,0.18999962544499518,36807.1290249431,0.9993538268602541,8.093970131048975,0.0015430559178880503,True,
2,0.5,0.025222074254195148,0.01606757379030569,0.02522004210546629,0.025215687050954415,0.9895877500997843,0.09499992945050159,36819.02097841124,0.9996767064089191,8.105220530118551,0.0015446621148306697,True,
2,0.25,0.0254008229903423,0.009094448746478991,0.025399647994008952,0.025398258752126333,0.9941056612513275,0.04749998999526195,36824.967217161946,0.9998381532972901,8.11083781210664,0.0015425226002446406,True,
3,1.0,0.025008828042862138,0.0007324728195446241,0.025007775408252622,0.025006945140015172,0.9589273330015021,0.04225400138092867,36801.82849935038,0.999855991876217,8.08890763900725,0.0015484994423880282,True,
3,0.5,0.025012901019338767,0.000569730562086967,0.02501219190488747,0.025012059442248102,0.9912278227068083,0.021127004737820258,36804.47154426411,0.9999277998379829,8.091337286398877,0.0015472741222337602,True,
3,0.25,0.025018751535344542,0.0003359638837044279,0.02501821420745423,0.025018361348109672,1.0167235525222367,0.010563503426599393,36805.79308067663,0.999963704198022,8.092551700158198,0.0015464941924896217,True,
4,1.0,0.025008793986252623,1.361783505279351e-06,0.02500870948351354,0.02500881805478531,11.870087766627474,0.0002456219846592148,36801.85799790273,1.0000008015512694,8.08892617438683,0.0015489736091980578,False,insufficient_objective_decrease
4,0.5,0.02500881274758205,6.115952359464422e-07,0.025008719395939884,0.025008820553784727,14.507384054773796,0.00012063106767368369,36801.84161926631,1.0000003565017412,8.08889353410787,0.0015490508713769935,False,insufficient_objective_decrease
4,0.25,0.025008824085795463,1.582267936566104e-07,0.02500872630968897,0.025008823674563686,23.288970340381443,5.880567954991566e-05,36801.83342992238,1.0000001339762778,8.088877213747379,0.0015490894436298453,False,insufficient_objective_decrease
