cycle_index,start_iteration,end_iteration,state_count,complete_modal_cycle,start_pseudo_time,end_pseudo_time,start_kinematic_rms,minimum_kinematic_rms,final_kinematic_rms,start_root_thickness,final_root_thickness
0,1,3,3,False,0.0010287384086081,0.0030280551876526,0.0481127429447377,0.0470881002420881,0.0470881002420881,0.1292724671034981,0.1214214655160391
1,4,5,2,False,0.0040276609820135,0.005023849688378,0.049290988614017,0.0485843569588149,0.0485843569588149,0.1335850255163644,0.1296255373372996
2,6,9,4,True,0.0060200184795143,0.0089987513721932,0.0509371183580604,0.0487128410100136,0.0487128410100136,0.141795635265564,0.1298714357097923
3,10,13,4,True,0.0099920836246463,0.0129741657705498,0.0497400831460965,0.0477836072161252,0.0477836072161252,0.1420675362847516,0.1301439356867413
4,14,17,4,True,0.013968556860606,0.016949462202401,0.0491994486571601,0.0472474442665528,0.0472474442665528,0.1423173972161518,0.1303901782240341
5,18,21,4,True,0.0179435212766876,0.0209228462717618,0.0487593710789381,0.0468040018203828,0.0468040018203828,0.1425639237136909,0.130633829009952
6,22,25,4,True,0.0219164182022661,0.0248945993211886,0.0482913018114027,0.046346940524991,0.046346940524991,0.1428102875805899,0.1308782232954291
7,26,29,4,True,0.0258878095258606,0.0288649265738576,0.0478283573890425,0.0458934128899434,0.0458934128899434,0.1430545515390367,0.1311206770485675
8,30,33,4,True,0.0298577986576752,0.0328338212444319,0.0473809885931927,0.0454535258133156,0.0454535258133156,0.1432965474026346,0.1313609038674545
9,34,37,4,True,0.0338263449985857,0.0368012905445422,0.0469417245586535,0.0450226290070383,0.0450226290070383,0.1435365679263215,0.1315992575746833
10,38,41,4,True,0.037793470666146,0.0407673643730353,0.0465088686797397,0.0445987013499074,0.0445987013499074,0.1437746217908882,0.1318357362935219
11,42,45,4,True,0.0417592084377904,0.0447320632926249,0.0460834069937832,0.0441822463674499,0.0441822463674499,0.1440106754827346,0.1320702851156113
12,46,49,4,True,0.0457235752136174,0.048695402595807,0.0456651269524687,0.0437731186011553,0.0437731186011553,0.1442447580293888,0.1323029309099247
13,50,54,5,False,0.0496865857738675,0.0536482567596769,0.0452534926208649,0.0428930670078969,0.0428930670078969,0.1444769044464052,0.1285538095922224
14,55,58,4,True,0.0546393920982292,0.0576154189203729,0.043779169655587,0.0420654167291734,0.0420654167291734,0.1407403560180085,0.1288301772977457
15,59,62,4,True,0.0586078997748757,0.0615807173598136,0.0437647670329118,0.0419157613260194,0.0419157613260194,0.1410009060638488,0.129087816100669
16,63,66,4,True,0.0625721598976943,0.0655439724124329,0.0434341058916025,0.0415858209575193,0.0415858209575193,0.141268177136222,0.129353437387688
17,67,70,4,True,0.0665350711096734,0.0695061320553665,0.0430506227818054,0.0412145942860074,0.0412145942860074,0.1415339355365365,0.1296172015992706
18,71,74,4,True,0.0704969810686078,0.0734670990455563,0.0426874119096148,0.0408570037103461,0.0408570037103461,0.1417969424016232,0.1298779182096492
19,75,78,4,True,0.0744576461670926,0.0774267843774713,0.0423318060538415,0.0405077231763719,0.0405077231763719,0.1420574109862317,0.1301361193619564
20,79,82,4,True,0.0784170192009107,0.0813852074037463,0.0419770221952603,0.0401609218852358,0.0401609218852358,0.1423154558869339,0.1303919974672114
21,83,86,4,True,0.082375139259074,0.0853423883355537,0.0416258722052268,0.0398177338956366,0.0398177338956366,0.1425710643153719,0.1306455191194847
22,87,90,4,True,0.0863320207887369,0.089298333599663,0.041279544477851,0.0394792551122245,0.0394792551122245,0.1428242757088363,0.1308967200313824
23,91,94,4,True,0.0902876675710534,0.0932530512502332,0.0409374945469999,0.0391451571847335,0.0391451571847335,0.1430751576629714,0.1311456724130266
24,95,98,4,True,0.0942420888881098,0.097206551776076,0.0405989772561957,0.0388152230848551,0.0388152230848551,0.1433237671949214,0.1313924316907764
25,99,102,4,True,0.0981952956107695,0.1011588450997431,0.0402645506306154,0.0384894778717004,0.0384894778717004,0.1435701559745214,0.1316370460587982
26,103,106,4,True,0.1021472973736469,0.1051099407062599,0.039934139403834,0.0381678963524075,0.0381678963524075,0.1438143770115319,0.1318795663689421
27,107,110,4,True,0.1060981036128235,0.1090598482233267,0.0396077557514374,0.0378504093855127,0.0378504093855127,0.1440564821780694,0.1321200426183415
28,111,114,4,True,0.1100477240158237,0.1130085772701158,0.0392853536676553,0.0375369724419449,0.0375369724419449,0.1442965210432125,0.1323585222180128
29,115,118,4,True,0.1139961681846562,0.1169561373349598,0.0389668956342334,0.0372275391699839,0.0372275391699839,0.1445345417034685,0.132595051243597
30,119,122,4,True,0.1179434455736535,0.1209025378274132,0.038652334206383,0.0369220761807322,0.0369220761807322,0.144770591067751,0.1328296746294573
31,123,126,4,True,0.121889565582531,0.1248477881058048,0.0383416230213872,0.0366205378445474,0.0366205378445474,0.1450047144848838,0.1330624359095764
32,127,130,4,True,0.1258345375591969,0.1287918974387912,0.0380347209685813,0.0363228815526237,0.0363228815526237,0.1452369559200733,0.1332933772333449
33,131,134,4,True,0.129778370750213,0.13273487498413,0.0377315880824377,0.0360290648853027,0.0360290648853027,0.1454673581278869,0.133522539576795
34,135,138,4,True,0.1337210742899729,0.1366767298019583,0.0374321708699279,0.0357390438824689,0.0357390438824689,0.1456959626821243,0.1337499627715255
35,139,142,4,True,0.1376626572178839,0.1406174708534395,0.0371364375361084,0.0354527745665222,0.0354527745665222,0.1459228099376198,0.1339756855669491
36,143,146,4,True,0.1416031284735604,0.1445571069934915,0.0368443473112547,0.0351703125124606,0.0351703125124606,0.1461479391667511,0.1341997456967593
37,147,150,4,True,0.1455424968903664,0.1484956469721967,0.0365558597562678,0.0348914277968641,0.0348914277968641,0.1463713885915905,0.1344221798073062
38,151,155,5,False,0.1494807711905056,0.1534179599990459,0.0362709342569635,0.0342001293339163,0.0342001293339163,0.1465931954177433,0.1306600179486184
39,156,159,4,True,0.1544032162238332,0.1573613169960722,0.0348684525126456,0.033379392923956,0.033379392923956,0.1428409094775002,0.1309188198858709
40,160,163,4,True,0.1583479958176413,0.1613028614413313,0.0350424664333291,0.033394022313606,0.033394022313606,0.1430840957688731,0.1311583979203325
41,164,167,4,True,0.1622884987933689,0.1652424972616586,0.0348375466732656,0.0331895358946713,0.0331895358946713,0.1433333659604997,0.131406345050793
42,168,171,4,True,0.1662278360535826,0.1691812815365039,0.0345612132338901,0.0329282456717055,0.0329282456717055,0.1435817254998599,0.1316532736558514
43,172,175,4,True,0.1701664335079664,0.1731191230618692,0.0343070913041785,0.0326803344279819,0.0326803344279819,0.1438280076098622,0.1318977735066275
44,176,179,4,True,0.1741040322577244,0.1770559137865069,0.0340613457664891,0.0324410478194435,0.0324410478194435,0.1440723405506215,0.1321403108206296
45,180,183,4,True,0.1780405650163832,0.1809916671262577,0.0338140485983464,0.0322021344658697,0.0322021344658697,0.1443148371449708,0.1323811106191938
46,184,187,4,True,0.1819760692905059,0.1849264029934239,0.0335680111140557,0.0319647988077454,0.0319647988077454,0.1445554752423203,0.1326201239713528
47,188,191,4,True,0.1859105597064578,0.1888601246122312,0.0333253194351513,0.031730653174086,0.031730653174086,0.1447942675180968,0.1328573521728193
48,192,195,4,True,0.1898440358256011,0.1927928356091953,0.0330855014530019,0.0314995064943684,0.0314995064943684,0.1450312598810741,0.1330928473927254
49,196,199,4,True,0.1937765024223646,0.1967245429288329,0.0328482557585164,0.0312710949640057,0.0312710949640057,0.1452664918370511,0.1333266498012946
50,200,203,4,True,0.1977079671150662,0.2006552533631166,0.0326137187720248,0.0310454756581035,0.0310454756581035,0.1454999965625824,0.1335587893402889
51,204,207,4,True,0.2016384364479987,0.2045849731466664,0.0323819464155679,0.030822715790701,0.030822715790701,0.1457318086952508,0.1337892985662423
52,208,211,4,True,0.2055679165569334,0.2085137086807024,0.0321528996060269,0.030602789348039,0.030602789348039,0.1459619632018378,0.1340182112277764
53,212,215,4,True,0.2094964139224015,0.212441466500984,0.0319265649930942,0.0303856799769448,0.0303856799769448,0.1461904936550896,0.1342455593136329
54,216,219,4,True,0.2134239350994593,0.2163682530910656,0.0317029460045064,0.0301713878818787,0.0301713878818787,0.1464174326729345,0.1344713738015462
55,220,223,4,True,0.217350486550415,0.2202940749133404,0.0314820352561627,0.0299599045381816,0.0299599045381816,0.1466428123413629,0.1346956853957062
56,224,227,4,True,0.2212760747366758,0.2242189384409247,0.0312638008320583,0.0297512140958662,0.0297512140958662,0.1468666640501125,0.1349185240269781
57,228,231,4,True,0.2252007061379062,0.2281428501462477,0.0310482379575,0.0295453014059929,0.0295453014059929,0.1470890182168121,0.1351399188229426
58,232,235,4,True,0.2291243872242865,0.2320658164778071,0.030835330176072,0.0293421513553008,0.0293421513553008,0.1473099045337773,0.1353598981887701
59,236,239,4,True,0.2330471244383759,0.2359878438646429,0.0306250573164735,0.0291418461301628,0.0291418461301628,0.1475293519600215,0.1355784899029535
60,240,243,4,True,0.2369689242089309,0.239908938720798,0.0304173973130638,0.0289441715877407,0.0289441715877407,0.1477473886826792,0.1357957209017945
61,244,248,5,False,0.2408897929404458,0.2448097370099175,0.030212327928254,0.0283811083224654,0.0283811083224654,0.1479640421360891,0.1320273376605254
62,249,252,4,True,0.2457908384562059,0.2487362849976199,0.0288277339949101,0.0275211847126674,0.0275211847126674,0.144203922767998,0.1322764343334013
63,253,256,4,True,0.2497188589656687,0.2526610508386046,0.0291501252142716,0.0276600055139968,0.0276600055139968,0.144437596685045,0.1325060138619327
64,257,260,4,True,0.2536425806399942,0.2565839930102326,0.0290306785306445,0.0275412459564198,0.0275412459564198,0.1446768947926458,0.1327441293977722
65,261,264,4,True,0.2575652533758313,0.2605062437457311,0.0288228963393415,0.0273514717243693,0.0273514717243693,0.1449156275024773,0.1329817415924498
66,265,268,4,True,0.2614873590647676,0.2644277179366758,0.0286404500125943,0.0271760762725998,0.0271760762725998,0.1451527034331997,0.1332173153752645
67,269,272,4,True,0.2654086300903143,0.2683482949362528,0.0284682437761951,0.0270107125761436,0.0270107125761436,0.145388191165743,0.1334512613620511
68,273,276,4,True,0.2693289854554772,0.2722679843518094,0.028293005632041,0.0268447557533491,0.0268447557533491,0.1456221987181611,0.1336838261705126
69,277,280,4,True,0.273248461908894,0.2761868066917121,0.0281177665784627,0.0266791461617172,0.0266791461617172,0.1458547015426033,0.1339149567100476
70,281,284,4,True,0.2771670751416364,0.280104763721497,0.0279453119288371,0.0265159833174261,0.0265159833174261,0.1460856974120846,0.1341446331135941
71,285,288,4,True,0.2810848225008681,0.2840218564151963,0.0277749905445266,0.0263551563228417,0.0263551563228417,0.1463152189163146,0.1343728945793375
72,289,292,4,True,0.2850017059668228,0.2879380895862983,0.0276064437125621,0.0261962862019754,0.0261962862019754,0.1465432953956277,0.1345997729230987
73,293,296,4,True,0.2889177312251126,0.2918534682278864,0.0274398000975829,0.0260394271513368,0.0260394271513368,0.1467699494230642,0.1348252877759649
74,297,300,4,True,0.2928329030663895,0.2957679966934398,0.0272751511817963,0.0258846630839679,0.0258846630839679,0.1469952047012049,0.1350494608433153
75,301,304,4,True,0.2967472257033612,0.2996816794740422,0.0271124556917542,0.0257319786334562,0.0257319786334562,0.1472190860630643,0.1352723160951058
76,305,308,4,True,0.3006607037095126,0.3035945212905497,0.0269516888834618,0.0255813358153618,0.0255813358153618,0.1474416174127342,0.1354938763148212
77,309,312,4,True,0.3045733418505407,0.3075065268634496,0.0267928556420993,0.0254327492411701,0.0254327492411701,0.1476628219022888,0.135714163238075
78,313,316,4,True,0.3084851448367681,0.3114177009153832,0.0266359516354732,0.0252862179714525,0.0252862179714525,0.1478827223449414,0.1359331985105396
79,317,320,4,True,0.3123961173931766,0.3153280482122273,0.0264809643194279,0.0251417325610219,0.0251417325610219,0.1481013411769171,0.1361510034556883
