iteration,pseudo_time,thickness_jump_ratio,resolution_jump_ratio,residual_jump_ratio
1,0.0010287384086081,1.1063414045960644,1.1428448010013335,1.0089967800151276
4,0.0040276609820135,1.1001763563685414,1.100949669042944,1.0467822732410836
6,0.0060200184795143,1.0938865765053416,1.0946055991137402,1.0484263155163285
10,0.0099920836246463,1.0939090301751375,1.0946224039613246,1.0210877073638907
14,0.013968556860606,1.0935384462224367,1.0942975434080107,1.029630275391957
18,0.0179435212766876,1.093363976148112,1.0941241179313537,1.0320001819327107
22,0.0219164182022661,1.0932106075655967,1.0939680981585749,1.0317771971022398
26,0.0258878095258606,1.0930355557786124,1.0937942904886018,1.0319636387487692
30,0.0298577986576752,1.092860032667137,1.0936201379143666,1.032413708407711
34,0.0338263449985857,1.0926886440363752,1.0934495670602755,1.0327411068494479
38,0.037793470666146,1.0925184871145288,1.0932802714334884,1.0330109481716194
42,0.0417592084377904,1.092349309310991,1.0931120352119503,1.0332903335509092
46,0.0457235752136174,1.092181772024799,1.0929454050747869,1.0335628155410241
50,0.0496865857738675,1.092015902087376,1.0927804173314684,1.0338192495078595
55,0.0546393920982292,1.0947972406608741,1.0955804465029473,1.020658411941654
59,0.0586078997748757,1.0944711015802977,1.0952459817973523,1.0403978002804348
63,0.0625721598976943,1.0943571702077148,1.09511075669737,1.0362237143630404
67,0.0665350711096734,1.0941644721225465,1.0949189329457347,1.0352235880056913
71,0.0704969810686078,1.0939670094098153,1.094724179656764,1.0357353420341064
75,0.0744576461670926,1.0937764705846482,1.094534608668955,1.0360966837889276
79,0.0784170192009107,1.093589209396219,1.094348126617,1.0362720711922273
83,0.082375139259074,1.0934034839923599,1.0941634204893165,1.0364770092722786
87,0.0863320207887369,1.0932198568418812,1.0939808063647543,1.0367125508961874
91,0.0902876675710534,1.0930385240261884,1.093800425654113,1.0369368528010516
95,0.0942420888881098,1.0928592957573273,1.0936221355713556,1.0371392063800215
99,0.0981952956107695,1.0926820831842468,1.0934458524381616,1.0373391528007423
103,0.1021472973736469,1.0925068688285096,1.0932715490843858,1.0375339342598824
107,0.1060981036128235,1.0923336051550363,1.093099179001808,1.0377243583386297
111,0.1100477240158237,1.0921622350671312,1.0929286878407285,1.0379109316236836
115,0.1139961681846562,1.0919927125311968,1.0927600293050779,1.0380937273111208
119,0.1179434455736535,1.0918249942962481,1.092593159972086,1.038272608616255
123,0.121889565582531,1.0916590354481412,1.0924280357264693,1.038447102316413
127,0.1258345375591969,1.0914947928562664,1.0922646140841075,1.0386172133800178
131,0.129778370750213,1.0913322263058134,1.0921028550675722,1.03878289578356
135,0.1337210742899729,1.0911712969504135,1.0919427201906982,1.0389437247148086
139,0.1376626572178839,1.0910119667613531,1.0917841718165928,1.039099917116836
143,0.1416031284735604,1.0908541990159801,1.0916271735739744,1.0392514482081343
147,0.1455424968903664,1.0906979579703118,1.0914716899388623,1.0393953634422872
151,0.1494807711905056,1.0905432096688523,1.091317687189637,1.039537116913954
156,0.1544032162238332,1.093225852254757,1.0940219172247858,1.0195415395130254
160,0.1583479958176413,1.0929222849213531,1.0937056391570703,1.0498233599742772
