component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-22.072663048294746,-0.6863938341934377,0.030131876258536312,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A53,-2.867162036990193,-0.2803778865403144,0.08899636393198337,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B33,204.88996094464503,1.1473410756274387,0.030131876258536312,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B53,-21.57582538417515,-0.3799375001726987,0.08899636393198337,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A33,-10.471554252540187,-0.325634032361172,0.08061198683295442,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,A53,-4.395506477565487,-0.42983368241991293,0.08766205358408383,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B33,25.834596882103213,0.14466835777825976,0.08061198683295442,zero_diagnostic_only,False
pre_chine_bem,1.4,7.774541989381373,B53,8.771608965775512,0.15446283623492474,0.08766205358408383,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A33,-11.601108795754568,-0.36075980183226597,0.0037943875404052225,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,A53,1.5237887212110721,0.14901029508455024,0.011080828401612439,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B33,179.05536406254177,1.0026727178491788,0.0037943875404052225,zero_diagnostic_only,False
post_chine_bem,1.4,7.774541989381373,B53,-30.247297791172766,-0.5326369909438677,0.011080828401612439,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A33,-22.072663048294746,-0.6863938341934377,0.030131876258536312,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,-2.867162036990193,-0.2803778865403144,0.08899636393198337,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,204.88996094464503,1.1473410756274387,0.030131876258536312,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,-21.57582538417515,-0.3799375001726987,0.08899636393198337,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,0.7688092347446841,0.023907668832034976,0.13787132931002224,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-2.4849298479089232,-0.24299965260736744,0.11415083202915577,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,87.45624292362686,0.48973673167636544,0.13787132931002224,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,46.3205089529957,0.8156767152572646,0.11415083202915577,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A33,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A53,-0.0,-0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B33,0.0,0.0,0.0,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B53,0.0,0.0,0.0,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-21.303853813550063,-0.6624861653614027,0.02672088202568742,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-5.352091884899117,-0.5233775391476819,0.07239302839393642,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,292.34620386827186,1.637077807303804,0.02672088202568742,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,24.74468356882057,0.4357392150845662,0.07239302839393642,zero_diagnostic_only,False
