component,sigma,omega_rad_s,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_subtraction,response_calibration_used
raw_bem,1.4,7.774541989381373,A33,-28.070697955633253,-0.8729147885824109,0.0018075732060738028,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A35,2.1105842483724326,0.20639264306984992,2.1340848960246778e-06,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A53,4.400414001327969,0.4303135859352774,0.004191336460001215,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,A55,-0.8854671239436248,-0.2722932284654632,3.4648415638202345e-06,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B33,-74.30388774978304,-0.416086284076988,0.0018075732060738028,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B35,-157.7859552393813,-2.7785171750593363,2.1340848960246778e-06,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B53,28.084378924422975,0.4945492713467294,0.004191336460001215,zero_diagnostic_only,False
raw_bem,1.4,7.774541989381373,B55,32.779399545735906,1.8151754793540416,3.4648415638202345e-06,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A33,-26.691755867825258,-0.8300338120228399,0.0014175541263745182,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A35,1.6774347646595618,0.16403524044222212,2.0564949805816534e-06,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A53,3.786004085823266,0.3702308451078844,0.0035065530259365033,zero_diagnostic_only,False
bem,1.4,7.774541989381373,A55,-0.6811885887169612,-0.2094747901982899,3.1527273350085085e-06,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B33,-63.03150730190585,-0.3529633030957807,0.0014175541263745182,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B35,-144.83012671185284,-2.5503727117181723,2.0564949805816534e-06,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B53,22.856222056414897,0.40248452686661207,0.0035065530259365033,zero_diagnostic_only,False
bem,1.4,7.774541989381373,B55,26.81858534875747,1.4850924419193852,3.1527273350085085e-06,zero_diagnostic_only,False
front,1.4,7.774541989381373,A33,-16.05313368542246,-0.49920446649541106,0.0013939509470110066,zero_diagnostic_only,False
front,1.4,7.774541989381373,A35,-1.5764442459254855,-0.15415944415377986,0.0001788069854355023,zero_diagnostic_only,False
front,1.4,7.774541989381373,A53,-6.025309395622215,-0.5892110359655387,0.002138009556837258,zero_diagnostic_only,False
front,1.4,7.774541989381373,A55,-0.8503192009045988,-0.261484762313126,0.00023090389249524708,zero_diagnostic_only,False
front,1.4,7.774541989381373,B33,64.5569283405985,0.361505342965617,0.0013939509470110066,zero_diagnostic_only,False
front,1.4,7.774541989381373,B35,13.607980305551326,0.23962846971697183,0.0001788069854355023,zero_diagnostic_only,False
front,1.4,7.774541989381373,B53,21.491320053905493,0.3784494113806254,0.002138009556837258,zero_diagnostic_only,False
front,1.4,7.774541989381373,B55,4.660574150650213,0.2580816011033991,0.00023090389249524708,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A33,-0.0825338543675802,-0.0025665561344444484,2.072735353856523e-14,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A35,1.1008272053774109,0.10764916712339088,2.5686030531696045e-07,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A53,0.0370069360337425,0.0036188838923681727,3.062144672137902e-14,zero_diagnostic_only,False
transom,1.4,7.774541989381373,A55,-0.4935943230297929,-0.15178699257790182,2.568603052217891e-07,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B33,-3.4369784327559364e-15,-1.9246362846503184e-17,2.072735353856523e-14,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B35,4.133794521633291e-08,7.279367202929341e-10,2.5686030531696045e-07,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B53,7.919061486473139e-16,1.3944998030486817e-17,3.062144672137902e-14,zero_diagnostic_only,False
transom,1.4,7.774541989381373,B55,-1.8535315211358445e-08,-1.0264022569056638e-09,2.568603052217891e-07,zero_diagnostic_only,False
total,1.4,7.774541989381373,A33,-42.82742340761529,-1.3318048346526954,0.0007358606673843587,zero_diagnostic_only,False
total,1.4,7.774541989381373,A35,1.2018177241114898,0.11752496341183341,2.471093098331271e-05,zero_diagnostic_only,False
total,1.4,7.774541989381373,A53,-2.2022983737652053,-0.21536130696528602,0.004439811339467466,zero_diagnostic_only,False
total,1.4,7.774541989381373,A55,-2.0251021126513526,-0.6227465450893177,5.377779862933349e-05,zero_diagnostic_only,False
total,1.4,7.774541989381373,B33,1.525421038692653,0.008542039869836267,0.0007358606673843587,zero_diagnostic_only,False
total,1.4,7.774541989381373,B35,-131.2221463649635,-2.3107442412732624,2.471093098331271e-05,zero_diagnostic_only,False
total,1.4,7.774541989381373,B53,44.3475421103204,0.7809339382472376,0.004439811339467466,zero_diagnostic_only,False
total,1.4,7.774541989381373,B55,31.479159480872358,1.7431740419963815,5.377779862933349e-05,zero_diagnostic_only,False
