configuration,metric,eligible_experimental_points,dense_computed_points,reference_peak_is_interior,reference_peak_uncertainty_resolved,peak_is_resolved,computed_peak_is_interior,reference_discrete_peak_rao,reference_neighbor_max_rao,digitization_uncertainty_abs,reference_peak_omega_e_rad_s,computed_peak_omega_e_rad_s,reference_peak_rao_quadratic,computed_peak_rao_quadratic,peak_frequency_relative_error,limit,status,reason,route
FnB=2.26,heave,7,218,True,False,False,True,1.125,1.120673077,0.01730769231,8.022060019099158,8.930681828928588,1.1252777139130599,10.995555644948581,0.11326539662707043,0.1,UNRESOLVED,experimental peak prominence does not exceed digitization uncertainty,faltinsen_ch9
FnB=2.26,pitch,7,218,True,True,True,True,1.233173077,1.189903846,0.01730769231,8.629647930830982,8.925489804870004,1.2473770472114474,11.41250534851315,0.03428203287205647,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,faltinsen_ch9
FnB=2.26,heave,7,218,True,False,False,True,1.125,1.120673077,0.01730769231,8.022060019099158,8.163843733629765,1.1252777139130599,6.188249865447574,0.01767422759154687,0.1,UNRESOLVED,experimental peak prominence does not exceed digitization uncertainty,matched_raw_added_and_damping_station_phase_excitation
FnB=2.26,pitch,7,218,True,True,True,True,1.233173077,1.189903846,0.01730769231,8.629647930830982,8.136215632372748,1.2473770472114474,5.38465260357782,0.05717872877471143,0.1,PASS,experimental peak is bracketed and uncertainty-resolved,matched_raw_added_and_damping_station_phase_excitation
