title,station_index,frequency_index,omega_rad_s,quantity,orientation,row_mode,col_mode,heading_index,wave_heading_rad,wave_heading_deg,force_real,force_imag,complex_added_mass_real_per_m,complex_added_mass_imag_per_m,added_mass_per_m,damping_over_omega_per_m,damping_per_m,pdstrip_convention_damping_per_m,radiation_storage_convention,complex_added_mass_convention,status
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,sway,sway,,,,29.9506512,-0.005438877735,57.264678850584424,-0.010398958764621753,57.264678850584424,-0.010398958764621753,-0.007520549533916013,0.007520549533916013,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,sway,heave,,,,1.062526962e-06,9.600497606e-07,2.031517272953889e-06,1.8355841699141242e-06,2.031517272953889e-06,1.8355841699141242e-06,1.3274984530639592e-06,-1.3274984530639592e-06,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,sway,roll,,,,-2.41313219,0.000438199495,-4.6138308967505015,0.0008378232976003966,-4.6138308967505015,0.0008378232976003966,0.0006059156260633394,-0.0006059156260633394,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,heave,sway,,,,2.789986866e-06,-2.593644012e-06,5.3343648794801e-06,-4.9589636768873105e-06,5.3343648794801e-06,-4.9589636768873105e-06,-3.586333287117118e-06,3.586333287117118e-06,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,heave,heave,,,,0.685292184,-0.448479116,1.310256547462835,-0.8574776013195333,1.310256547462835,-0.8574776013195333,-0.6201296611432038,0.6201296611432038,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,heave,roll,,,,-1.024054995e-06,3.090588905e-07,-1.9579601132015402e-06,5.909106280266934e-07,-1.9579601132015402e-06,5.909106280266934e-07,4.273478478740569e-07,-4.273478478740569e-07,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,roll,sway,,,,-2.36855912,0.0004268704215,-4.52860862489103,0.0008161624745578524,-4.52860862489103,0.0008161624745578524,0.0005902504718566462,-0.0005902504718566462,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,roll,heave,,,,-6.417467091e-08,-1.217759937e-08,-1.2269990042831165e-07,-2.328317713152525e-08,-1.2269990042831165e-07,-2.328317713152525e-08,-1.683844420273026e-08,1.683844420273026e-08,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,as_written_section_force_rows,roll,roll,,,,0.213416919,-3.439227658e-05,0.40804626404303995,-6.575692328499942e-05,0.40804626404303995,-6.575692328499942e-05,-4.755554954647819e-05,4.755554954647819e-05,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,pdstrip_internal_transposed,sway,sway,,,,29.9506512,-0.005438877735,57.264678850584424,-0.010398958764621753,57.264678850584424,-0.010398958764621753,-0.007520549533916013,0.007520549533916013,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,pdstrip_internal_transposed,sway,heave,,,,2.789986866e-06,-2.593644012e-06,5.3343648794801e-06,-4.9589636768873105e-06,5.3343648794801e-06,-4.9589636768873105e-06,-3.586333287117118e-06,3.586333287117118e-06,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
Ma 2005 external PDSTRIP section reference: wigley_iii,1,1,0.723202169,radiation,pdstrip_internal_transposed,sway,roll,,,,-2.36855912,0.0004268704215,-4.52860862489103,0.0008161624745578524,-4.52860862489103,0.0008161624745578524,0.0005902504718566462,-0.0005902504718566462,radiation_force_matrix = omega**2 * complex_added_mass_matrix,complex_added_mass = added_mass - 1j * damping / omega_e,external_pdstrip_reference_smoke_not_a_validation_gate
