frequency_index,omega0_rad_s,omega_e_rad_s,wavenumber_rad_m,wavelength_m,wave_amplitude_m,heave_response_real_m_per_m,heave_response_imag_m_per_m,pitch_response_real_rad_per_m,pitch_response_imag_rad_per_m,heave_rao_m_per_m,pitch_rao_rad_per_m,pitch_rao_rad_per_wave_slope,point_vertical_rao_m_per_m,heave_phase_lead_deg,pitch_phase_lead_deg,point_phase_lead_deg,fridsma_heave_phase_lag_deg,fridsma_pitch_phase_lead_deg,cg_accel_rao_mps2_per_m,point_accel_rao_mps2_per_m,cg_accel_g,point_accel_g,dynamic_condition_number,equation_relative_residual,heave_finite_length_factor,pitch_finite_length_factor,provider_route,matrix_contract,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,configuration,heave_digitization_uncertainty_abs,pitch_digitization_uncertainty_abs,case_code,linear_gate_eligible
0,5.653325360619511,16.733999999999998,3.2590219527589674,1.9279358648874625,0.02,-0.0323679640968088,0.1832460530290259,-0.4091858578771155,-0.1150833048156125,0.1860827801019989,0.4250614465391023,0.130426076504106,0.5265280042014538,-169.98279464377683,-74.29139042126539,-94.88104400412244,169.98279464377683,-74.29139042126539,52.1081572594241,147.44192895968746,0.1062710655716765,0.3006978508658664,4.693743790235748,1.3045687702646403e-16,0.2695978042152577,0.5219269295465796,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.09615384615,0.1192307692,fn167,0.01538461538,0.01538461538,C1,False
1,5.026988740904382,13.7884,2.576885664439888,2.438286414444119,0.02,-0.0489984005411796,0.3668713479210043,-0.6797311448943265,-0.0421015613173576,0.3701289358871696,0.6810337515899716,0.2642855913197845,0.9226006332758588,-172.39274053757762,-86.45571030278441,-110.04462693498915,172.39274053757762,-86.45571030278441,70.36890387478854,175.40480892744614,0.1435126243412144,0.357726254995225,4.533144162035776,2.8691814091760875e-16,0.4894940428178088,0.6767802090148093,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.25,0.2769230769,fn167,0.01538461538,0.01538461538,C2,True
2,4.398177939300755,11.1048,1.97253590020566,3.185333816497073,0.02,0.0273176774691536,0.7425335235284498,-1.2609525984664192,0.3291913202253583,0.7430358598788376,1.3032146334702237,0.6606798047804088,1.8748948071434173,177.893048606476,-104.63138865982393,-127.39172500632306,-177.893048606476,-104.63138865982393,91.62864331644649,231.205621176366,0.1868704263259043,0.4715282408903469,5.12802205108418,1.5172325720606043e-16,0.6769998714695242,0.8000512716987782,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.6,0.625,fn167,0.01538461538,0.01538461538,C3,True
3,4.082254547334213,9.86,1.6993368978428782,3.697433578447805,0.032,0.3250823195973525,1.1114718606351532,-1.8388756378141144,1.030438585861733,1.158036360179837,2.1079059017373125,1.2404284897321232,3.014749046247849,163.69690367622314,-119.26467398991576,-141.24798020617985,-163.69690367622314,-119.26467398991576,112.58383172213964,293.0926963765973,0.3673713872839828,0.9563883980820276,6.12296581625409,2.77247123740691e-16,0.7534797623934294,0.8486300281869192,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.8076923077,0.8115384615,fn167,0.01538461538,0.01538461538,C4,True
4,3.7697060489612224,8.6966,1.4490864561878756,4.335963034054446,0.032,1.463500430702096,1.3503586912944268,-2.0412779936654784,3.2001369338782317,1.991306632796571,3.795746598891255,2.6194065803891085,5.293926625474166,132.69744904671995,-147.4673338324926,-169.19808212747955,-132.69744904671995,-147.4673338324926,150.60421635548087,400.3841787807683,0.4914353957136625,1.3064903632723293,7.848017254248487,2.9453633983236905e-16,0.8167652470796708,0.8882008069702735,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.9576923077,0.9884615385,fn167,0.01538461538,0.01538461538,C5,True
5,3.456234193356796,7.5978,1.2181075901891778,5.158152988935713,0.035,2.316481601781041,-0.6825385438534893,1.688961254349445,4.415334879618468,2.4149422095022683,4.727343040003452,3.880891210331653,6.351093076422943,73.5826810027335,159.06706453329525,136.79158890883252,-73.5826810027335,159.06706453329525,139.40631804168555,366.6267862810041,0.4975420894453249,1.3084934732895683,6.797677141973404,3.229239717665946e-16,0.8682858361332099,0.920031763281077,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.057692308,1.092307692,fn167,0.01538461538,0.01538461538,C6,True
6,3.140642654793528,6.560399999999999,1.0058109838842562,6.24688476050946,0.035,0.93160676850417,-1.402671438645536,2.63684489772516,1.923101143980267,1.683858169774022,3.2636281995100824,3.244772876615996,4.203593853484877,33.59076333851567,126.10398274563272,102.51389178584044,-33.59076333851567,126.10398274563272,72.4713160918796,180.9178375864448,0.2586506159815825,0.645696982713319,3.338499395434835,3.391268527936221e-16,0.909010075698777,0.944964928769037,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.9653846154,1.057692308,fn167,0.01538461538,0.01538461538,C7,True
7,2.828070765899892,5.601,0.8155674217941496,7.704066076299785,0.045,0.3511765557654772,-1.222004758543838,2.140820543598632,1.005846054529829,1.2714639606465796,2.365341177358388,2.900239899424775,2.926608156816616,16.033455157233362,115.1660796444674,89.76561795525868,-16.033455157233362,115.1660796444674,39.88735147369994,91.81121273573356,0.183032005457164,0.4212962197190693,1.9919207776897447,3.3819377572127326e-16,0.9395966526422848,0.9635659368031276,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.030769231,1.146153846,fn167,0.01538461538,0.01538461538,C8,True
0,5.653511546225572,20.646,3.259236620385745,1.927808882570773,0.02,0.0141256629445672,0.1281528296403813,-0.2671862037743432,0.0612474828590627,0.1289289808323176,0.2741162557089894,0.0841044353743627,0.3676542764663379,173.70995675389008,-102.91093562203412,-123.29682370293123,-173.70995675389008,-102.91093562203412,54.95692132419916,156.71532510246314,0.1120809273792766,0.3196103156581771,5.388215817781621,2.665689982706032e-16,0.4029827806719668,0.6174479899180991,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.1298076923,0.1254807692,fn226,0.01730769231,0.01730769231,C1,False
1,5.026802804762901,16.879600000000003,2.5766950424428487,2.438466797073037,0.02,0.0544237571293351,0.2330020677814984,-0.3978271737172807,0.1778588199820758,0.2392737113235109,0.4357754238059966,0.1691218466399723,0.6161919293370176,166.8527771000571,-114.08825312495236,-136.49951304232872,-166.8527771000571,-114.08825312495236,68.1740802578239,175.56595671326252,0.139036429887523,0.3580549050149899,5.515273751932241,2.11690770491469e-16,0.5938382894184451,0.7461755176855023,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.2639423077,0.2769230769,fn226,0.01730769231,0.01730769231,C2,True
2,4.398052485760458,13.471200000000003,1.9724233726607707,3.1855155410694915,0.02,0.2076197337376405,0.4097298679623527,-0.5930603183647781,0.5204669554523489,0.4593305112201188,0.7890541128064471,0.4000429744157942,1.15275947558693,153.12759795057758,-131.27003665018907,-153.97260481294842,-153.12759795057758,-131.27003665018907,83.35619125144117,209.19498480232116,0.169999319342367,0.4266390353531963,5.9387936917567,4.102045624689896e-16,0.7477009086809961,0.8449893238239109,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.4716346154,0.4759615385,fn226,0.01730769231,0.01730769231,C3,True
3,4.082419300063286,11.9,1.699474065203633,3.6971351524724367,0.032,0.4178997642250335,0.5000465869627171,-0.6387470432321747,0.9097979936416394,0.6516799844036955,1.1116340110270997,0.6541047220358154,1.6326042477185017,140.1137650292113,-144.92824043689464,-167.60233126479935,-140.1137650292113,-144.92824043689464,92.28440259140729,231.19308751941696,0.3011324848878091,0.7544042869503187,6.148916312724432,3.019987481799213e-16,0.8086760642445182,0.8831725783577882,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.6879807692,0.7528846154,fn226,0.01730769231,0.01730769231,C4,True
4,3.7696831794607135,10.4354,1.4490688740302795,4.336015644104087,0.032,0.778309403206662,0.45233353646219,-0.3981525399520569,1.483400768710953,0.9002061737892613,1.5359047124358076,1.0599252664671572,2.256803734835793,120.16405978804016,-164.9756235091149,172.3780956456651,-120.16405978804016,-164.9756235091149,98.03026766929976,245.760449822042,0.3198817705758431,0.8019389286153116,6.02859020305541,2.40949658661919e-16,0.8585610505859478,0.91404864562887,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,0.9151442308,0.9951923077,fn226,0.01730769231,0.01730769231,C5,True
5,3.4559208929702296,9.0582,1.217886762397776,5.159088267622884,0.035,1.0844476536081702,0.0711336757943152,0.3610846573241267,1.8200583036130855,1.0867781343256206,1.855530748412924,1.5235659058808997,2.723500144421119,93.75290507793284,168.77869353793233,146.10472408564578,-93.75290507793284,168.77869353793233,89.17121883226248,223.46587559803532,0.3182526815099128,0.7975512173811892,5.010117816747279,1.6592818816007818e-16,0.8987788523732766,0.9387191686341764,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.120673077,1.233173077,fn226,0.01730769231,0.01730769231,C6,True
6,3.1407001299963366,7.7676,1.0058477978268834,6.246656125066137,0.035,1.014473367535911,-0.377593823493152,1.0672157970157676,1.499951624284891,1.0824663084733073,1.8408705637808656,1.8301681106803975,2.705223503402447,69.58439434412651,144.56814352062156,121.83277061681024,-69.58439434412651,144.56814352062156,65.31126476639325,163.22130961487008,0.2330963445033486,0.5825379550122063,3.3936723957512127,3.596749963915697e-16,0.9302646093631562,0.9579018417124509,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.125,1.189903846,fn226,0.01730769231,0.01730769231,C7,True
7,2.827884371298716,6.579000000000001,0.815459919282888,7.705081707394022,0.045,0.8029591724667802,-0.5838166451176252,1.3136150751024671,1.0336859512794827,0.9927664920639372,1.6715535323192705,2.049829173442672,2.4728602741976458,53.97979876211781,128.19926782623247,105.4726968382368,-53.97979876211781,128.19926782623247,42.970151332728,107.0334072074228,0.1971781199464403,0.4911466529685495,2.2250323504962783,7.412822606832656e-17,0.9538280855566396,0.9721852562946064,faltinsen_ch9_reduced_order_planing_plus_matched_bie_replace_with_matched_bie,heave_pitch_2x2_v1,1.116346154,1.185576923,fn226,0.01730769231,0.01730769231,C8,True
