case,station,x,side,kernel,midpoint,exact,relative_error
boundary_fn167,0,1.7902623815836317e-05,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,0,1.7902623815836317e-05,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
boundary_fn167,0,1.7902623815836317e-05,right,potential,-0.02449695769585039,-0.024502575733952314,0.00022928357258941503
boundary_fn167,0,1.7902623815836317e-05,right,normal,0.00016480556382882685,0.00016499438656780718,0.001144419170301468
boundary_fn167,1,0.021330123770672976,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,1,0.021330123770672976,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
boundary_fn167,1,0.021330123770672976,right,potential,-0.02449695769585039,-0.024502575733952314,0.00022928357258941503
boundary_fn167,1,0.021330123770672976,right,normal,0.00016480556382882685,0.00016499438656780718,0.001144419170301468
boundary_fn167,2,0.04264234491753012,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,2,0.04264234491753012,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
boundary_fn167,2,0.04264234491753012,right,potential,-0.02449695769585039,-0.024502575733952314,0.00022928357258941503
boundary_fn167,2,0.04264234491753012,right,normal,0.00016480556382882685,0.00016499438656780718,0.001144419170301468
boundary_fn167,3,0.06395456606438725,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,3,0.06395456606438725,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
boundary_fn167,3,0.06395456606438725,right,potential,-0.02449695769585039,-0.024502575733952314,0.00022928357258941503
boundary_fn167,3,0.06395456606438725,right,normal,0.00016480556382882685,0.00016499438656780718,0.001144419170301468
boundary_fn167,4,0.0852667872112444,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,4,0.0852667872112444,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
boundary_fn167,4,0.0852667872112444,right,potential,-0.02449695769585039,-0.024502575733952314,0.00022928357258941503
boundary_fn167,4,0.0852667872112444,right,normal,0.00016480556382882685,0.00016499438656780718,0.001144419170301468
boundary_fn167,5,0.10657900835810154,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,5,0.10657900835810154,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
boundary_fn167,5,0.10657900835810154,right,potential,-0.02449695769585039,-0.024502575733952314,0.00022928357258941503
boundary_fn167,5,0.10657900835810154,right,normal,0.00016480556382882685,0.00016499438656780718,0.001144419170301468
boundary_fn167,6,0.12789122950495868,left,potential,-0.024496957695850297,-0.024502575733952203,0.0002292835725887081
boundary_fn167,6,0.12789122950495868,left,normal,0.0001648055638288114,0.00016499438656780718,0.0011444191703951067
