case,station,side,kernel,absolute_error,passed
boundary_fn167,0,left,potential,2.7755575615628914e-17,True
boundary_fn167,0,left,normal,2.951740414591786e-17,True
boundary_fn167,0,right,potential,3.469446951953614e-18,True
boundary_fn167,0,right,normal,1.406752318799942e-17,True
boundary_fn167,42,left,potential,2.7755575615628914e-17,True
boundary_fn167,42,left,normal,2.951740414591786e-17,True
boundary_fn167,42,right,potential,3.469446951953614e-18,True
boundary_fn167,42,right,normal,1.406752318799942e-17,True
boundary_fn167,84,left,potential,0.0,True
boundary_fn167,84,left,normal,1.3010426069826053e-18,True
boundary_fn167,84,right,potential,0.0,True
boundary_fn167,84,right,normal,3.252606517456513e-17,True
boundary_fn226,0,left,potential,2.7755575615628914e-17,True
boundary_fn226,0,left,normal,2.951740414591786e-17,True
boundary_fn226,0,right,potential,3.469446951953614e-18,True
boundary_fn226,0,right,normal,1.406752318799942e-17,True
boundary_fn226,42,left,potential,2.7755575615628914e-17,True
boundary_fn226,42,left,normal,2.951740414591786e-17,True
boundary_fn226,42,right,potential,3.469446951953614e-18,True
boundary_fn226,42,right,normal,1.406752318799942e-17,True
boundary_fn226,84,left,potential,0.0,True
boundary_fn226,84,left,normal,1.951563910473908e-17,True
boundary_fn226,84,right,potential,0.0,True
boundary_fn226,84,right,normal,1.8648277366750676e-17,True
boundary_fn282,0,left,potential,2.7755575615628914e-17,True
boundary_fn282,0,left,normal,2.951740414591786e-17,True
boundary_fn282,0,right,potential,3.469446951953614e-18,True
boundary_fn282,0,right,normal,1.406752318799942e-17,True
boundary_fn282,42,left,potential,2.7755575615628914e-17,True
boundary_fn282,42,left,normal,2.951740414591786e-17,True
boundary_fn282,42,right,potential,3.469446951953614e-18,True
boundary_fn282,42,right,normal,1.406752318799942e-17,True
boundary_fn282,84,left,potential,5.551115123125783e-17,True
boundary_fn282,84,left,normal,1.734723475976807e-17,True
boundary_fn282,84,right,potential,5.551115123125783e-17,True
boundary_fn282,84,right,normal,2.211772431870429e-17,True
