policy,level,final_weighted_error,maximum_weighted_error,maximum_scaled_point_error,exposure_visits,algebra_residual
exact_exposure,1,0.008121355033381858,0.008121355033381858,0.006871213626348723,10,1.9903389700164182e-16
exact_exposure,2,0.0020192748697156096,0.0020192748697156096,0.0017111127332073534,22,1.377476991865913e-16
exact_exposure,4,0.0005033412950411854,0.0005033412950411854,0.00042696881759558987,52,2.0647434667696395e-16
exact_exposure,8,0.00012591423121095224,0.00012591423121095224,0.00010690429821599151,104,1.3662050408067624e-16
bounded_nearest_unvalidated,1,0.010480821430021697,0.01657755037314496,0.0517174425044052,10,2.2719191568803285e-16
bounded_nearest_unvalidated,2,0.006817360462129039,0.01541553200160242,0.05053991182041541,22,1.45659821579778e-16
bounded_nearest_unvalidated,4,0.006534148418442149,0.015332503558209509,0.05161675367878705,52,2.486119847446507e-16
bounded_nearest_unvalidated,8,0.006137670945271699,0.014808115424316436,0.05032324703855515,104,2.2802391266562637e-16
exact_exposure_bounded_edges,1,0.00859586174625091,0.00859586174625091,0.011651114200603722,10,2.0709671161125257e-16
exact_exposure_bounded_edges,2,0.002291153554149243,0.002291153554149243,0.0038436296196839416,22,1.377476991865913e-16
exact_exposure_bounded_edges,4,0.0007699262930032268,0.0007790452044745381,0.002332210294151459,52,2.0705048379140444e-16
exact_exposure_bounded_edges,8,0.0003120123994402394,0.00033656829552385965,0.001147228966192564,104,1.3800402635093053e-16
bounded_exposure_linear_edges,1,0.009406456547346983,0.014168726396207577,0.04507461101956271,10,2.0896684441033231e-16
bounded_exposure_linear_edges,2,0.005910049931943199,0.014114501345812333,0.04723458559349045,22,1.377476991865913e-16
bounded_exposure_linear_edges,4,0.006374293779097737,0.015116028663004969,0.051078232989998106,52,2.0417765753126865e-16
bounded_exposure_linear_edges,8,0.0059336255677927404,0.014529994029713701,0.049622273485933815,104,1.5240491105909472e-16
