step,time_s,panels,newly_exposed,edge_extrapolated,relative_phi_eta_error,maximum_scaled_point_error
1,0.0125,76,0,0,2.623854144483633e-05,3.230549236243991e-05
2,0.025,76,0,0,5.203995406426064e-05,5.649749277585442e-05
3,0.037500000000000006,74,0,0,7.79444091096907e-05,7.647369456324318e-05
4,0.05,74,0,0,0.0001041356027088253,0.00010970788324394475
5,0.0625,74,0,0,0.00013008625480740696,0.0001420679944697602
6,0.07500000000000001,74,0,0,0.00015586347544724641,0.0001711122562745991
7,0.08750000000000001,72,0,0,0.00018169650063004275,0.0001577184984807379
8,0.1,72,0,0,0.00020775849510274843,0.00019039383737214134
9,0.1125,72,0,0,0.00023376597202194601,0.00021867571951015294
10,0.125,72,0,0,0.0002596898518526501,0.00024129594912135303
11,0.1375,72,0,0,0.00028556853947945085,0.0002574670053064065
12,0.15000000000000002,70,0,0,0.00031145462156588905,0.000207760368995706
13,0.1625,70,0,0,0.0003374417332802835,0.00023897015030181716
14,0.17500000000000002,70,0,0,0.0003634340965936577,0.00027113573238045526
15,0.1875,70,0,0,0.00038941039990396316,0.0003039359724728483
16,0.2,70,0,0,0.0004153709672182384,0.0003370381767577222
17,0.21250000000000002,70,0,0,0.0004413219681954612,0.0003701004646620639
18,0.225,70,0,0,0.0004672692673228932,0.00040277421119510405
19,0.23750000000000002,70,0,0,0.0004932167112661471,0.0004347065520850475
20,0.25,70,0,0,0.0005191661444030134,0.0004655429360574115
21,0.2625,70,0,2,0.0005452549217402808,0.0004949297082546269
22,0.275,70,0,2,0.0005720614794468224,0.0005225167085442383
23,0.28750000000000003,70,0,2,0.0006011156735190156,0.0005731743475716186
24,0.30000000000000004,70,0,2,0.0006355616223965956,0.0009070731577738119
25,0.3125,70,0,2,0.0006807274913843553,0.0013315229444227545
26,0.325,70,0,2,0.0007442171442251786,0.0018345758843262502
27,0.3375,70,0,2,0.000835032727386749,0.0024011439648602565
28,0.35000000000000003,70,0,2,0.0009618238333788332,0.0030134067727396615
29,0.36250000000000004,72,2,2,0.0011910464392996087,0.00835258895800524
30,0.375,72,2,0,0.0014737284493247544,0.008821489548191494
31,0.3875,72,0,2,0.00179950123450625,0.009250139758794566
32,0.4,72,0,2,0.002167497362403619,0.00961669926232363
33,0.41250000000000003,72,0,2,0.002576339981784467,0.009899525308359386
34,0.42500000000000004,74,2,2,0.003043324685830073,0.01358204123153743
35,0.4375,74,2,0,0.003557568682326929,0.015050104636192833
36,0.45,74,0,2,0.0041053993315551,0.01678695599711233
37,0.4625,74,0,2,0.004682285552872256,0.01855512410138837
38,0.47500000000000003,76,2,2,0.005290557593610159,0.02400733478861471
39,0.48750000000000004,76,2,0,0.005925803030708408,0.02588080112215539
40,0.5,76,0,2,0.006576384631659731,0.027697663659709704
41,0.5125000000000001,76,0,2,0.007236426574053027,0.02943364389430845
42,0.525,78,2,2,0.007904139313100075,0.03485987330445804
43,0.5375,78,2,0,0.00857267556349397,0.036383378280280015
44,0.55,78,0,2,0.009234308578696206,0.037736368200201195
45,0.5625,78,0,2,0.009883464603211671,0.038897794623693784
46,0.5750000000000001,80,2,2,0.010516325500496507,0.043435228167098425
47,0.5875,80,2,0,0.011127455799197774,0.04411193960901203
48,0.6000000000000001,80,0,2,0.011711436782055036,0.0445320796633749
49,0.6125,80,0,2,0.012263945239112709,0.044684582116712425
50,0.625,80,0,2,0.012781067890500894,0.044561263693502086
51,0.6375000000000001,82,2,2,0.013259591368774084,0.047199640910342004
52,0.65,82,0,2,0.013696032666746596,0.04640910285067565
53,0.6625000000000001,82,0,2,0.014087606693896271,0.04532741922684655
54,0.675,82,0,2,0.014431925138880574,0.04395935497378664
55,0.6875,82,0,2,0.014726962588836165,0.04231263842597664
56,0.7000000000000001,82,0,2,0.01497104003038467,0.04039786239891182
57,0.7125,82,0,2,0.015162810147187202,0.03822835451131664
58,0.7250000000000001,82,0,2,0.015301244726801014,0.03819102993575349
59,0.7375,82,0,2,0.015385624535273205,0.0406140552404641
60,0.75,82,0,2,0.01541553200160242,0.042807906797499656
61,0.7625000000000001,82,0,0,0.015390846993937963,0.04475443300736419
62,0.775,82,0,0,0.015311745880125275,0.04643783875247319
63,0.7875000000000001,82,0,0,0.015178703959958673,0.047844858090396236
64,0.8,82,0,0,0.014992501247365269,0.048964903383160556
65,0.8125,82,0,0,0.014754231479521223,0.049790189507349224
66,0.8250000000000001,82,0,0,0.014465314148908552,0.050315831288299744
67,0.8375,82,0,0,0.01412750930698947,0.05053991182041541
68,0.8500000000000001,82,0,0,0.013742934889965225,0.05046351893572059
69,0.8625,82,0,0,0.01331408638645688,0.05009074682206404
70,0.875,80,0,0,0.012843874518274151,0.0461951397962709
71,0.8875000000000001,80,0,0,0.01233592946213946,0.04523200143001156
72,0.9,80,0,0,0.011793644294456661,0.04401521097574432
73,0.9125000000000001,80,0,0,0.011221148019067997,0.04256081092830176
74,0.925,80,0,0,0.01062302644961286,0.04088722536901263
75,0.9375,78,0,0,0.010005011690666338,0.03563147234514702
76,0.9500000000000001,78,0,0,0.009372925449967063,0.03363818917481221
77,0.9625,78,0,0,0.008731094810033403,0.03150926947343167
78,0.9750000000000001,78,0,0,0.008085710598504813,0.029269890200551388
79,0.9875,76,0,0,0.007445218430314613,0.023734869483690642
80,1.0,76,0,0,0.006817360462129039,0.021485006394120897
