iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio,kinematic_integral,provisional_matching_surface_shift_panels,final_matching_surface_shift_panels,provisional_matching_surface_root_displacement_ratio,final_matching_surface_root_displacement_ratio,provisional_matching_surface_trigger_code,final_matching_surface_trigger_code,rk2_rejected_attempt_count,jet_point_count,shallow_jet_panel_count_per_side,boundary_panel_count,jet_tip_thickness,jet_tip_s_lambda
0,0.0,0.02531295483669827,8.134652158409445,0.1458152954407185,2.0602082773923254,2.050290091834133,0.004814166444737334,0.5529211477752627,8.244822239331603,68690.02824320608,,,0.014119078732485319,,,,,,,,478.0,239.0,694.0,3.3053855459444734e-05,0.0019928861827613227
1,0.0009899574361792241,0.024878664002388577,8.133888767754254,0.14171774698198658,2.0625090815642744,2.0912789830635248,0.01394898173123697,0.5528985916651747,8.011412705032031,44038.712197886445,0.0009899574361792241,0.2411269098795378,0.01380046863147719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,0.00011257427143510169,0.006962709688270756
2,0.0019800833032089333,0.024545998330192723,8.133096196396588,0.1376434082990816,2.0722448871825523,2.1320331334165767,0.028851921220234368,0.552939460890199,7.780058592759942,43934.72042740187,0.000990125867029709,0.2399525943976972,0.013566351453119917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,5.717017390714861e-05,0.003616589083453524
3,0.00297037808578754,0.024280448266316916,8.132407666398915,0.13359914820928168,2.087991221690507,2.17308976262223,0.04075617753930223,0.5530461994400655,7.550513720411597,43838.13573560865,0.0009902947825786066,0.2388189207382391,0.01338250492369014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,6.566143462043586e-06,0.00042386034945619046
4,0.003960840715998345,0.024251014403302313,8.135557776286888,0.14689754109840647,2.0896821929199887,2.0295088767451457,0.02879543902834366,0.5528449740891128,8.305622308349704,61562.42474860364,0.0009904626302108049,0.2399480127666991,0.013148124915909706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,239.0,694.0,5.640645046511931e-05,0.003329692177082647
5,0.00495075262243787,0.02397499184777454,8.134446669687367,0.1427840341130652,2.08250497649104,2.0725287882366312,0.004790475109076819,0.5527912311847998,8.071708860468348,44083.161600599844,0.0009899119064395241,0.2420834467614299,0.012948350805248223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,0.00013575909484135463,0.00825774604357302
6,0.0059408348180397625,0.023770944669240318,8.133494231420071,0.13869066824975956,2.0849155434144575,2.1146998861304716,0.014285635123251253,0.5527994738040127,7.839199184747286,43969.393538737466,0.0009900821956018927,0.2409216052458995,0.012827307087150502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,7.508072665165315e-05,0.0046873252844828045
7,0.0069310857905195014,0.02361258028898829,8.132684432563227,0.13462353360552504,2.0949689321012404,2.156663053392309,0.029448704630282815,0.5528721573301703,7.6082918427283355,43865.57141113375,0.0009902509724797391,0.23980864451887907,0.012756366275345748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,2.072477023399462e-05,0.0013239835250130176
8,0.007921504585250538,0.02417565803891063,8.136808217163214,0.14788555390938873,2.111206134547017,2.0148239101016427,0.04565268301764117,0.553010674636937,8.36173608455568,54964.408368220626,0.000990418794731037,0.23872262838881692,0.013415858651745481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,239.0,694.0,8.472440578373338e-05,0.0049197654604856535
9,0.008911367196090779,0.023859237249370835,8.135635400326711,0.1437701202579849,2.0972143673767385,2.0594076586855077,0.01802710742370158,0.5529498945802913,8.1278826167734,75907.18191825617,0.0009898626108402401,0.24225850922915376,0.013148912468399054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0,239.0,694.0,1.5312167522654313e-05,0.0009189329851543222
10,0.009901400243360956,0.023615421155566536,8.134636511845692,0.13967482187199926,2.0943812226401524,2.1027456252051833,0.003993734509559266,0.5529508352001433,7.89525370829045,44013.54261414851,0.0009900330472701767,0.2410366055999372,0.012964872521413626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,9.819696102916725e-05,0.00606299470190133
11,0.010891602268898296,0.023419018302178206,8.133789480998463,0.13560542636032158,2.1003906749267336,2.1455364035946323,0.02149396738750683,0.5530159282530025,7.664206482092409,43905.27089341299,0.0009902020255373406,0.23987104670703613,0.012833612770708781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,238.0,692.0,4.113951313767591e-05,0.00260384382737009
12,0.011881972353653071,0.023272886398519186,8.132452578022084,0.13151395798931165,2.0951502917170823,2.1932010372955237,0.04679890791895593,0.553013302902227,7.431821628746561,47033.65594982206,0.0009903700847547756,0.2407677838998523,0.012764368119883192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,238.0,692.0,0.00011438659566093861,0.0074692283365121
