case,omega,mode,superposition_relative_residual,total_real,total_imag,oscillatory_real,oscillatory_imag,forward_real,forward_imag
fn167,0.02,3,2.2549414716706563e-16,2030.0486294508705,8.629077041823448,0.001046871471511496,2.9985177952038464,2030.0475825793985,5.6305592466196055
fn167,0.02,5,2.2549414716706563e-16,447.45089516208645,-3.4603595934370714,0.004796909595488701,-3.3070041076879435,447.4460982524911,-0.15335548574912838
fn167,0.01,3,7.438554948571279e-16,2030.047113435321,4.314540989294776,0.00026171955490173924,1.4992603198565002,2030.0468517157672,2.8152806694382786
fn167,0.01,5,7.438554948571279e-16,447.4478809613681,-1.7301814085116347,0.001199226424335947,-1.6535030285468633,447.44668173494256,-0.076678379964773
fn226,0.02,3,1.6542973873942103e-18,2862.8418282161224,10.576297158798367,-0.002750970604665046,4.409563390652452,2862.844579186727,6.16673376814591
fn226,0.02,5,1.6542973873942103e-18,404.15320213649784,-3.320418947162024,0.003956701063980268,-2.887434673750418,404.14924543543384,-0.4329842734116043
fn226,0.01,3,3.9325090099928486e-17,2862.8442171054025,5.288148461053591,-0.0006877426744063713,2.2047816247620866,2862.844904848077,3.0833668362915034
fn226,0.01,5,3.9325090099928486e-17,404.1502011317525,-1.6602095473376608,0.0009891752466872818,-1.4437173957224987,404.14921195650595,-0.21649215161516122
fn282,0.02,3,1.2420835681814039e-16,3675.038873273679,12.495462584560896,-0.004203198756992962,5.675753178802775,3675.0430764724356,6.81970940575812
fn282,0.02,5,1.2420835681814039e-16,328.8909075243582,-3.717778875458862,0.0033478982376822634,-2.821855027425947,328.8875596261205,-0.8959238480329117
fn282,0.01,3,4.6220023150710115e-17,3675.042433275988,6.247731150747207,-0.0010507997161829318,2.837876542026717,3675.0434840757043,3.4098546087204915
fn282,0.01,5,4.6220023150710115e-17,328.8882614176091,-1.8588894161288634,0.000836974564493548,-1.4109275221133981,328.88742444304444,-0.4479618940154655
