outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction
0,4.320920066137402,0.4080085697349748,0.01687386357506937,0.008436931787534685,0.0004272533077937774,-0.22327230637275264,0.0008411709207551085,0.181384241784003,0.181384241784003
1,4.330001197535492,0.39338943950492505,0.017574320247347536,0.025661023698743138,0.0012994957803097499,0.23863935299412065,0.0010008354084576165,0.2158131804541048,0.3971974222381078
2,4.340829935808823,0.3791188961881419,0.01830326997271975,0.04359981880877678,0.002207931422745623,0.006818592333219353,8.509776172417242e-07,0.00018349888954790082,0.39738092112765566
3,4.353643798577661,0.36556173300912287,0.019063117751770223,0.062283012671021765,0.0031540640428517155,0.043770221376574714,3.652173633397447e-05,0.007875292987573241,0.40525621411522894
4,4.368320641442962,0.35281350405790274,0.019853918688959516,0.08174153089138664,0.004139459739270602,0.04345645340514448,3.749339765013776e-05,0.008084815269851988,0.41334102938508094
5,4.38460561694715,0.34077224605698453,0.020677919032134506,0.10200744975193364,0.005165742881851172,0.03764293166298982,2.930041077924718e-05,0.006318136614117259,0.41965916599919817
6,4.402344397106448,0.32935055781360023,0.02153591693770994,0.12311436773685586,0.006234614926035981,0.02815968992491369,1.7077295925517285e-05,0.00368242921473125,0.4233415952139295
7,4.421445084335878,0.3184836299938547,0.022429609542846323,0.145097130977134,0.007347840509148197,0.024143371823043935,1.3074273300557272e-05,0.002819245281766967,0.4261608404956964
8,4.441857336835028,0.30812694485083303,0.023360346229974367,0.16799210886354432,0.008507261407665681,0.02238711742292665,1.1707809023811105e-05,0.002524590437374542,0.428685430933071
9,4.463546858109307,0.2982305462809281,0.024329719181232282,0.19183714156914766,0.009714793879715782,0.02025145949803342,9.978143645260232e-06,0.00215161743570818,0.4308370483687791
10,4.486494980074203,0.2887457617349286,0.025339312329011505,0.21667165732426957,0.010972434603978768,0.017819480984140768,8.04609073161623e-06,0.001735002994836517,0.4325720513636156
