case,stations,mode,continuous_incident,discrete_incident,calm_derivative,discrete_minus_continuous,calm_minus_continuous
fn167,29,3,5313.949048799997,5310.608853606352,5172.462055765594,-3.340195193645741,-141.48699303440299
fn167,29,5,880.8275940011242,876.3844998667856,1113.5850917429839,-4.443094134338594,232.75749774185965
fn167,113,3,5313.949048799997,5313.740475702843,5172.462055765594,-0.20857309715484007,-141.48699303440299
fn167,113,5,880.8275940011242,880.5526318293167,1113.5850917429839,-0.2749621718074877,232.75749774185965
fn167,401,3,5313.949048799997,5313.941400360041,5172.462055765594,-0.0076484399560285965,-141.48699303440299
fn167,401,5,880.8275940011242,880.8113596202968,1113.5850917429839,-0.01623438082742723,232.75749774185965
fn226,29,3,4523.9253247999995,4522.990999730772,4643.674121806976,-0.9343250692272704,119.74879700697602
fn226,29,5,323.4900020008038,321.0007883626501,1483.4074515397015,-2.4892136381537284,1159.9174495388977
fn226,113,3,4523.9253247999995,4523.763419608018,4643.674121806976,-0.16190519198153197,119.74879700697602
fn226,113,5,323.4900020008038,323.3036716886283,1483.4074515397015,-0.18633031217552798,1159.9174495388977
fn226,401,3,4523.9253247999995,4523.919858921775,4643.674121806976,-0.005465878224640619,119.74879700697602
fn226,401,5,323.4900020008038,323.47842715826596,1483.4074515397015,-0.011574842537868335,1159.9174495388977
fn282,29,3,3941.802580799999,3939.5546785869533,4514.819045144758,-2.2479022130455633,573.0164643447592
fn282,29,5,17.515268753698802,15.28725075383557,2007.037901614434,-2.2280179998632317,1989.5226328607353
fn282,113,3,3941.802580799999,3941.6641442407854,4514.819045144758,-0.13843655921346,573.0164643447592
fn282,113,5,17.515268753698802,17.37820016114647,2007.037901614434,-0.13706859255233184,1989.5226328607353
fn282,401,3,3941.802580799999,3941.7967980870108,4514.819045144758,-0.005782712988093408,573.0164643447592
fn282,401,5,17.515268753698802,17.50603030437314,2007.037901614434,-0.00923844932566098,1989.5226328607353
