iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,accepted_time_step,maximum_displacement_ratio
0,0.0,1.534321212778016,5.671502656482796,0.002996479125312762,3.205942934111482,,
1,3.204040619765228e-05,1.5261834572759958,5.67214723233003,0.002613854277318387,3.2058413461775896,3.204040619765228e-05,0.02000324495584208
2,6.3965281058615e-05,1.5183796702896104,5.672805456430703,0.0022322495901652053,3.205741043927039,3.1924874860962715e-05,0.019999870238129484
3,9.579947435067886e-05,1.5109369765438714,5.67347105065055,0.001851502915022937,3.2056419266130107,3.183419329206386e-05,0.019998264795356782
4,0.00012754943964845335,1.5037925719635463,5.674144011815287,0.001471663402192775,3.2055439663745684,3.1749965297774504e-05,0.019996055726650534
5,0.00015922348547319903,1.4968843948470492,5.674824372994728,0.0010927832138178503,3.2054471272705642,3.167404582474568e-05,0.019993167135553182
6,0.00019083211123459453,1.4901530486182821,5.675512215840541,0.0007149155267415284,3.205351364145162,3.1608625761395507e-05,0.019989545963342018
7,0.00022238817791828006,1.483543004292284,5.676207685824958,0.0003381140636019038,3.205256622099822,3.155606668368552e-05,0.01998514706127965
8,0.00025390706136888127,1.4926215199376254,5.675449138602066,0.0004975493110427756,3.2050631158093745,3.1518883450601186e-05,0.018192376601142125
9,0.0002854121723668793,1.485801387235433,5.676150261606622,0.00012100253527230381,3.204968553788985,3.150511099799803e-05,0.019982242213962796
10,0.0003168899662071177,1.4947864513505078,5.675397221507097,0.0002772905834097656,3.204775730805038,3.1477793840238414e-05,0.01802483808647148
11,0.0003483498676523063,1.5042631959761925,5.674640121929218,0.0004369234922204107,3.204583241716482,3.1459901445188594e-05,0.01808432674358042
12,0.00037979448443671473,1.496922222673601,5.675343879885158,5.981732108934897e-05,3.204488091814279,3.1444616784408404e-05,0.01998125588246404
13,0.00041121529239189085,1.5062956180438232,5.674591776133889,0.00021627493176755504,3.204296268365425,3.14208079551761e-05,0.01791778657193075
14,0.00044261702429390187,1.5161809610839114,5.673835645130502,0.000376063232946465,3.204104774846363,3.1401731902011016e-05,0.017976986901357635
15,0.0004740023574795035,1.5266161386223074,5.673074868376471,0.0005392589088547111,3.2039135901762674,3.138533318560165e-05,0.018039028670544435
16,0.0005053744045707415,1.518396245993401,5.673778410577754,0.00016077539443929735,3.2038170986177876,3.137204709123804e-05,0.019982548290677908
17,0.0005367183664163377,1.5287195108176923,5.673022617897721,0.0003207965658038165,3.2036265910939097,3.1343961845596186e-05,0.017872754806392267
18,0.000568045329587159,1.5396192203653738,5.672262671985353,0.00048421623660089256,3.2034363855161136,3.1326963170821276e-05,0.017934754266258596
19,0.0005993580295587624,1.530803251763384,5.672968753921579,0.00010519038003379189,3.203339315326071,3.1312699971603406e-05,0.019981644787984587
20,0.0006306458417201131,1.541582211501214,5.672213751869087,0.0002654116026462292,3.2031497690186863,3.128781216135074e-05,0.017769545482177525
