residual_row,shape_mode,value,finite_difference_step,jacobian_condition_number
0,0,-2.419047046956652,0.000147469672103,438.7853804175022
0,1,-3.3599699445315205,0.0001042830479186,438.7853804175022
0,2,-3.181227019204975,0.0001043017794436,438.7853804175022
0,3,-2.899394339544717,0.0001043330095204,438.7853804175022
0,4,-2.5361196367657617,0.0001043767544653,438.7853804175022
0,5,-2.11576239457596,0.0001044330371485,438.7853804175022
0,6,-1.6634848369284487,0.0001045018870219,438.7853804175022
0,7,-1.203767939141912,0.000104583340154,438.7853804175022
0,8,-0.7598591564699034,0.0001046774392743,438.7853804175022
0,9,-0.3526120202845762,0.0001047842338242,438.7853804175022
0,10,-0.0001508618166065,0.0001049037800172,438.7853804175022
0,11,0.283101780236159,0.0001050361409074,438.7853804175022
0,12,0.4863284015308623,0.000105181386466,438.7853804175022
0,13,0.602966709560063,0.0001053395936673,438.7853804175022
0,14,0.6301231452014039,0.0001055108465827,438.7853804175022
0,15,0.568932453927039,0.0001056952364847,438.7853804175022
0,16,0.4235449725851019,0.0001058928619598,438.7853804175022
0,17,0.2013071588256435,0.0001061038290306,438.7853804175022
0,18,-0.0885575977740071,0.0001063282512888,438.7853804175022
0,19,-0.4348096835854068,0.0001065662500378,438.7853804175022
0,20,-0.8256728317011868,0.0001068179544454,438.7853804175022
0,21,-1.2485888985748432,0.0001070835017083,438.7853804175022
0,22,-1.691736924450595,0.0001073630372273,438.7853804175022
0,23,-2.1435581586743293,0.0001076567147944,438.7853804175022
0,24,-2.5942287150732564,0.0001079646967919,438.7853804175022
0,25,-3.034878427056522,0.0001082871544041,438.7853804175022
0,26,-3.4589791217601378,0.0001086242678423,438.7853804175022
0,27,-3.86123101724082,0.0001089762265834,438.7853804175022
0,28,-4.238878886054991,0.0001093432296229,438.7853804175022
0,29,-4.590274706006655,0.0001097254857425,438.7853804175022
0,30,-4.916179587723392,0.0001101232137939,438.7853804175022
0,31,-5.218039995786108,0.0001105366429978,438.7853804175022
1,0,-0.7820816330292666,0.000147469672103,438.7853804175022
1,1,-1.081919627375009,0.0001042830479186,438.7853804175022
1,2,-1.011226863022226,0.0001043017794436,438.7853804175022
1,3,-0.8991110054320781,0.0001043330095204,438.7853804175022
1,4,-0.7531544100381046,0.0001043767544653,438.7853804175022
1,5,-0.5818907767467795,0.0001044330371485,438.7853804175022
1,6,-0.394163635683412,0.0001045018870219,438.7853804175022
1,7,-0.1986118033612645,0.000104583340154,438.7853804175022
1,8,-0.0034657344455667,0.0001046774392743,438.7853804175022
1,9,0.1838655354900553,0.0001047842338242,438.7853804175022
1,10,0.3569287725934217,0.0001049037800172,438.7853804175022
1,11,0.5105698536821339,0.0001050361409074,438.7853804175022
1,12,0.6409155105643589,0.000105181386466,438.7853804175022
1,13,0.7456053132564542,0.0001053395936673,438.7853804175022
1,14,0.823595419276804,0.0001055108465827,438.7853804175022
1,15,0.875286108913622,0.0001056952364847,438.7853804175022
1,16,0.9021714728710584,0.0001058928619598,438.7853804175022
1,17,0.9068977842101876,0.0001061038290306,438.7853804175022
1,18,0.8928049333286966,0.0001063282512888,438.7853804175022
1,19,0.8639586340766775,0.0001065662500378,438.7853804175022
1,20,0.8246363566176967,0.0001068179544454,438.7853804175022
