case,frequency_index,omega,wavenumber,q3_real,q3_imag,F3_real,F3_imag,A33,B33,A35,B35,q5_real,q5_imag,F5_real,F5_imag,A53,B53,A55,B55,heave_rao_m_per_m,pitch_rao_rad_per_wave_slope,linear_gate_eligible,reference_heave_rao_m_per_m,reference_pitch_rao_rad_per_wave_slope,case_code
fn167,0,16.734,3.2590219527589674,-0.0572082323512857,0.2498887217450206,497.6022407754533,-2872.871551471727,64.98308980475369,390.25948489645145,11.42116818493255,-349.99794264426544,-0.4391077680447609,-0.1270674702938903,2047.7380067296604,23.268992233471124,8.466246285489259,94.26939425595673,10.778654424451656,32.41782169791281,0.25635357439310075,0.1402639733808194,False,0.09615384615,0.1192307692,C1
fn167,1,13.7884,2.576885664439888,-0.1284134358856121,0.5393108846620218,398.2402797254924,-4074.4728422026687,64.94618573042672,415.0843297465176,13.975068046014794,-346.23341716979894,-0.7382493655938096,-0.1117497523939826,1912.7661252011007,-397.6249188719422,8.48916047289439,94.18878385132732,11.34700527225758,33.30886570607164,0.5543881680112598,0.2897525976776878,True,0.25,0.2769230769,C2
fn167,2,11.1048,1.9725359002056604,-0.3790621056671643,1.291442996118424,135.68496622895168,-4916.617795899811,65.13665261505008,433.7797331277952,18.555067240704854,-343.97983135579017,-1.464817576824634,-0.072513700096003,1564.0648296453337,-715.7736966341166,8.411858592163213,94.51621041538188,12.230781597081425,34.48744752852519,1.345924623512088,0.743515655119305,True,0.6,0.625,C3
fn167,3,9.86,1.6993368978428782,-0.9609109672303536,2.4053507294981067,-14.25930603507004,-5196.044869010965,65.30824375577997,440.4829015294028,22.08246510225625,-343.8269072448355,-2.640026206999249,-0.1846520521632448,1351.6365819364055,-823.0727105905632,8.34153103448633,94.99692496644184,12.906137172047467,35.300703025526985,2.59018571126486,1.5573579998109297,True,0.8076923077,0.8115384615,C4
fn167,4,8.6966,1.4490864561878758,-7.33721373192268,5.280362034985199,-155.7385634223117,-5388.074917088383,65.50937513387657,445.4788081905852,26.8134336977854,-344.275087329492,-7.521829851826419,-4.97807678979915,1136.6036054228298,-896.2371945710031,8.259296991825693,95.66098614506498,13.834349201939832,36.22581430167898,9.039741620667472,6.224564405464967,True,0.9576923077,0.9884615385,C5
fn167,5,7.5978,1.2181075901891778,-1.1074287162402217,-4.67750448891057,-280.9070397362091,-5508.566116457823,65.72569638293072,449.0869165385566,33.36235033750642,-345.18349458224986,4.040649973229862,-2.7292346976430504,927.1690875070462,-941.04381885801,8.171099353350458,96.45701710456612,15.160073750948763,37.22109127566218,4.8068125203019925,4.002947167777514,True,1.057692308,1.092307692,C6
fn167,6,6.5604,1.0058109838842562,-0.1599277360445806,-2.147311645558254,-383.395126613039,-5570.79346567297,65.9423669076429,451.5786510919407,42.715990160593584,-346.3871388906628,2.1249020191702432,-0.7533157292912716,730.7745847044293,-962.8789274754188,8.082975942217022,97.31785671319284,17.11100287168119,38.22860617302135,2.153258968147223,2.241457831909098,True,0.9653846154,1.057692308,C7
fn167,7,5.601,0.8155674217941496,-0.1625891759783408,-1.4127653632350974,-458.00310414553167,-5587.804086424235,66.14301070219943,453.1931537159018,56.28247829410722,-347.6953615176052,1.442905651248901,-0.2543167179264483,555.8676433544525,-967.3593302855312,8.001532019345028,98.16047575279252,20.009404213600178,39.17388553075239,1.4220904372444505,1.7964747872868165,True,1.030769231,1.146153846,C8
fn226,0,20.646,3.259236620385745,0.0133880293493924,0.1750499925495746,-308.87271834422626,-3439.2457264956,56.41407152013112,360.2036324636748,4.557297947655408,-450.128432226658,-0.2654518822929499,0.0466684354938689,1462.7415521896671,-431.6668127155895,2.1429627598908936,76.21795686545208,6.400156907628278,43.940068123532406,0.17556121217816398,0.08269512960088285,False,0.1298076923,0.1254807692,C1
fn226,1,16.8796,2.5766950424428487,0.042139327293315,0.3354654130548601,-571.444159670016,-4177.701523855603,56.1225749192048,384.1157996187598,6.754050135969697,-448.2262785052879,-0.3921899490299951,0.1315687285748927,1211.3792119962109,-523.0254961537021,2.1977712791763837,74.04458275571652,6.786217692748967,44.58057580966057,0.3381017099347488,0.16054305918486686,True,0.2639423077,0.2769230769,C2
fn226,2,13.4712,1.9724233726607707,0.1689591421587721,0.6836208834872862,-781.1596277883217,-4615.048930346591,55.870575440138296,403.42580556214193,10.672321925165678,-446.0129635080459,-0.6351582671993804,0.409604627288632,910.7021613192464,-544.4106438329346,2.2390866283419992,72.3597303013067,7.4359118365528465,45.04757453686376,0.7041908150913117,0.38317283309528166,True,0.4716346154,0.4759615385,C3
fn226,3,11.9,1.699474065203633,0.4529062421897337,1.0150315132267482,-852.558445058301,-4737.348464502036,55.76346772648604,411.32868074393,13.761303298716795,-444.9353876761696,-0.8156719771693588,0.8662783004625704,761.4902817708712,-534.638311676263,2.2554128046022988,71.68650347529494,7.935015892508328,45.22264980027975,1.1114913571673908,0.7001322838850033,True,0.6879807692,0.7528846154,C4
fn226,4,10.4354,1.4490688740302793,1.4127399742507625,1.1277248183545665,-897.925203702714,-4807.369285023523,55.67104324868211,418.0219372881637,18.01722087775579,-443.9459918210704,-0.4772950916942778,1.991209977320204,622.0091472261479,-515.7877845854156,2.269021582364622,71.12303317449397,8.614760736676011,45.36285131036432,1.8076497173896509,1.4130557772605332,True,0.9151442308,0.9951923077,C5
fn226,5,9.0582,1.217886762397776,1.7556603685048275,-0.3587556894004527,-917.9209215147392,-4836.732822026126,55.59198688249717,423.6618280492162,24.07592069658252,-443.0583182101942,1.354260822040618,1.851082684615725,493.84897041276326,-490.973609747932,2.280350729872063,70.6526946439069,9.5748680460919,45.47495360745717,1.7919400029620693,1.8832493201665779,True,1.120673077,1.233173077,C6
fn226,6,7.7676,1.0058477978268834,0.7951605976181165,-0.7134066615920315,-913.388153690468,-4834.952713742694,55.5258398750201,428.32444463678496,32.95027676960023,-442.287603105102,1.4307535763125554,0.7948506168316668,379.0683805114239,-463.0621936710785,2.2896310618670968,70.2667390048459,10.973962435293828,45.563317140376775,1.068283408468131,1.6272016860307001,True,1.125,1.189903846,C7
