time_s,surge_m,sway_m,heave_m,roll_rad,pitch_rad,yaw_rad,surge_velocity_mps,sway_velocity_mps,heave_velocity_mps,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,heave_accel_mps2,pitch_accel_rad_s2,bow_vertical_m,bow_vertical_accel_mps2,wave_elevation_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.507690924405345,0.0952143736556672,0.0,3.108874479667228,0.04305662776706236
0.08,0.0,0.0,0.005807834025764092,0.0,-0.0006977146616982379,0.0,0.0,0.0,0.11290582561255239,0.0,-0.02816843285369446,0.0,0.12291322776550584,-0.6918291189768954,0.001402463651801418,-4.245295829454612,-0.11435819016578427
0.16,0.0,0.0,0.012415951697935274,0.0,-0.005292402476806753,0.0,0.0,0.0,0.020134678956362836,0.0,-0.08495726648337007,0.0,-2.25939348337179,-0.5720458004788409,-0.021000277540622565,-5.871290667595192,-0.18083660155388942
0.24,0.0,0.0,0.005480610085594556,0.0,-0.013318857508977777,0.0,0.0,0.0,-0.20372585362570533,0.0,-0.10841008781778914,0.0,-3.0292454291821826,-0.04156812860289613,-0.07861465622609112,-3.291706593180869,-0.16725620439854194
0.32,0.0,0.0,-0.019949548912501676,0.0,-0.021787184591376272,0.0,0.0,0.0,-0.41908349158422564,0.0,-0.09880153033986536,0.0,-2.030469988665039,0.3362757643260991,-0.15751383242245146,0.09277518728995116,-0.08882298439340769
0.4,0.0,0.0,-0.05740832957005612,0.0,-0.02765539784947668,0.0,0.0,0.0,-0.48772380494074713,0.0,-0.03778840002082319,0.0,0.12228936998151352,1.0539039245310837,-0.23202451159165188,6.776638749470776,0.00508748707122819
0.48,0.0,0.0,-0.09426221378345716,0.0,-0.026961469051333956,0.0,0.0,0.0,-0.40934887474251846,0.0,0.05917057411569535,0.0,1.9291056416671353,1.335201570985199,-0.26449692937357977,10.359568360867682,0.031821322516575275
0.56,0.0,0.0,-0.11888279135839995,0.0,-0.01813065012212923,0.0,0.0,0.0,-0.1842065372119307,0.0,0.15656970195603975,0.0,3.574445541975416,0.9738945771033047,-0.2333597162295239,9.723615901805681,0.021959089846087156
0.64,0.0,0.0,-0.12072184482707611,0.0,-0.0029890523528791086,0.0,0.0,0.0,0.15781556231047855,0.0,0.21873621391195813,0.0,4.9974001707318605,0.7127008004350533,-0.1395947213831548,9.497393024678788,0.07831077335492313
0.72,0.0,0.0,-0.09213477228607779,0.0,0.016216811779230678,0.0,0.0,0.0,0.5472353800262758,0.0,0.2517544697537921,0.0,4.436622302549996,0.07369985086098368,0.010258177287984713,4.901963160886247,0.15628676791472623
0.8,0.0,0.0,-0.03466467032035666,0.0,0.036211356227501205,0.0,0.0,0.0,0.8847302960177674,0.0,0.2427725362004405,0.0,4.016521453607083,-0.35936896752538133,0.19397383290008594,1.7474657926518247,0.1335532211490236
0.88,0.0,0.0,0.04768593920211928,0.0,0.053469842470776734,0.0,0.0,0.0,1.1503886196169435,0.0,0.17412526545475654,0.0,2.2403638330124016,-1.4258048009786535,0.3852945245626036,-6.762167680366816,0.0450520686957123
0.96,0.0,0.0,0.1434139067259206,0.0,0.06184499280417828,0.0,0.0,0.0,1.1964687678491344,0.0,0.026396166259581806,0.0,-1.1892108919169768,-2.075864902671351,0.5339031912915023,-14.296221887383888,-0.007905418574968069
1.04,0.0,0.0,0.23187963665832748,0.0,0.057566275368737124,0.0,0.0,0.0,0.9765910982003139,0.0,-0.12759528554989477,0.0,-4.070829507092984,-1.6691229708497568,0.5953530993365337,-14.609671945038349,-0.047441667576686046
1.12,0.0,0.0,0.2950320596052356,0.0,0.04255979385009226,0.0,0.0,0.0,0.5812354571202885,0.0,-0.2421601252223524,0.0,-5.6643930658565775,-1.2632741616331662,0.563754597974718,-13.640706122408389,-0.11718412735476466
1.2,0.0,0.0,0.3221653319147362,0.0,0.019420995382894025,0.0,0.0,0.0,0.08268252170259616,0.0,-0.33146807992433264,0.0,-6.739388563085336,-0.8784619570450272,0.44478949676232904,-12.285997359867636,-0.19010359877326088
