time_s,surge_m,sway_m,heave_m,roll_rad,pitch_rad,yaw_rad,surge_velocity_mps,sway_velocity_mps,heave_velocity_mps,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,heave_accel_mps2,pitch_accel_rad_s2,bow_vertical_m,bow_vertical_accel_mps2,wave_elevation_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087800474167535,1.0523642224674694,0.0,7.732428174827137,0.0
0.08,0.0,0.0,0.004774592594317175,0.0,0.0034413831045177696,0.0,0.0,0.0,0.13251604601607817,0.0,0.08443142034749872,0.0,2.065453225761328,0.933688224978557,0.02650348551624237,7.960760678275937,0.07928555090999279
0.16,0.0,0.0,0.02223340033454126,0.0,0.012585039618570965,0.0,0.0,0.0,0.3042447036060658,0.0,0.13596863300736686,0.0,2.096832657642973,0.330559460560827,0.10169534048619833,4.183985091624034,0.15038534371516593
0.24,0.0,0.0,0.0528371305057599,0.0,0.023896917741345013,0.0,0.0,0.0,0.4541352396924571,0.0,0.1396745843384135,0.0,1.598632601075174,-0.20466660769373654,0.20372226912461233,0.3063676400969213,0.20595875079136822
0.32,0.0,0.0,0.09357193239848434,0.0,0.03401040607404489,0.0,0.0,0.0,0.5549272466208596,0.0,0.10874393609630163,0.0,0.9024606048296706,-0.5369084084805893,0.30831363635000375,-2.48757908631677,0.2402681508171196
0.4,0.0,0.0,0.14004737172152015,0.0,0.04077570132174636,0.0,0.0,0.0,0.5967513702994091,0.0,0.05817585474145314,0.0,0.13792844170513865,-0.7035235858742825,0.3975051498670267,-4.304119479505081,0.24977130379901802
0.48,0.0,0.0,0.1874042282206651,0.0,0.04310492129012549,0.0,0.0,0.0,0.5769266917126795,0.0,-0.0004898880030293519,0.0,-0.6294357602429653,-0.7448085516439539,0.45956870124651744,-5.3321569553228905,0.23348706612829642
0.56,0.0,0.0,0.23076003601070078,0.0,0.04071935585887866,0.0,0.0,0.0,0.49740816301675367,0.0,-0.058392001382464316,0.0,-1.3455896365477285,-0.6883791220046988,0.48786204890366064,-5.692015412885397,0.1930966877800636
0.64,0.0,0.0,0.2655591717777505,0.0,0.03396834856708131,0.0,0.0,0.0,0.3643850595034688,0.0,-0.10862146140857415,0.0,-1.9586889612257259,-0.5566217388748061,0.4800353246303019,-5.473198620481252,0.13277023332631352
0.72,0.0,0.0,0.28790272312666687,0.0,0.023683277122430485,0.0,0.0,0.0,0.18801430214209408,0.0,-0.14603661080798452,0.0,-2.422305352439336,-0.3718678348226549,0.4374389348776929,-4.7702788615095795,0.058736047753138426
