outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact
0,4.316177932019986,0.418346129759421,0.016472212495678977,0.008236106247839488,0.0005226484587950276,-0.18285529995755967,0.0005507658972405841,0.15228816219269986,0.15228816219269986,-0.7562377324399847,0.3905271325248654,0.002355941464933033
1,4.324232438838486,0.4024025501454058,0.019331723029257102,0.026138074010307526,0.0016586750688095094,0.2514024178748846,0.0012218262874597212,0.337838055638895,0.4901262178315949,0.5979008745056991,-0.09509603875593076,0.00199548944978553
2,4.33587086619527,0.38503791359217965,0.022544387808078808,0.04707612942897548,0.0029873663296346516,-0.034670834699800146,2.709985963204392e-05,0.007493179660761321,0.49761939749235623,0.1406609018224767,-0.21000257122207744,0.0002581138384638338
3,4.352041844464948,0.36694602846960034,0.02614264954092958,0.07141964810347967,0.004532162151108559,0.024009047369261793,1.506952134126532e-05,0.004166760726622311,0.5017861582189785,0.2058494965866564,-0.1578314018481315,0.00030321335990872336
4,4.373417970751981,0.34871471019115324,0.030137533108687435,0.09955973942828819,0.006317881630519181,0.008686687384781955,2.274134178897666e-06,0.0006288038464601049,0.5024149620654386,0.19154911754350445,-0.1741757427739401,0.00033819379248456943
5,4.4001053106139905,0.3305144201596045,0.03455259690487309,0.13190480443506847,0.008370441161286922,0.014390477270016966,7.155353418050938e-06,0.0019784732993340026,0.5043934353647725,0.17680713024960681,-0.14802617570957288,0.00031097828636701734
6,4.4324042264983525,0.31258024006430196,0.039397655884645104,0.16887993082982755,0.010716816043111881,0.01123939318208178,4.97686787066398e-06,0.0013761165411594852,0.5057695519059321,0.15625325767933873,-0.13377447131517517,0.00028114157749350164
7,4.470570005720161,0.29500918436508794,0.04468551784674358,0.2109215176955219,0.013384699375289195,0.01147205587054545,5.88097457741206e-06,0.0016261043299579197,0.50739565623589,0.13803026116040495,-0.11508614941931383,0.00024445664642121044
8,4.514916324468816,0.2778955025219634,0.05042175067739501,0.2584751519575912,0.016402367301039018,0.010204570105045496,5.250580820600149e-06,0.0014517988634001335,0.5088474550992902,0.12045740170840702,-0.1000482614983158,0.00020955425182138322
9,4.565775435439651,0.2612950692270303,0.056609233558570234,0.31199064407557375,0.01979836398144344,0.009566948112112117,5.181244799042466e-06,0.0014326272782499356,0.5102800823775401,0.10539862397633759,-0.0862647277521138,0.00017847550810752067
