case,mode,component,dimensionless_change,tolerance,passed
fn167,3,original,2.0902761151920068e-05,0.03367124540706949,True
fn167,3,delta,0.00014131415049693072,0.001,True
fn167,3,candidate,0.0001209150940541981,0.03408861988432534,True
fn167,3,normal,1.8465806261007264e-09,0.001,True
fn167,3,tangent,0.00014131599539351006,0.0014473870138603819,True
fn167,5,original,3.876743014405129e-06,0.004814039620282821,True
fn167,5,delta,4.9027656229043385e-05,0.001,True
fn167,5,candidate,4.515384080703933e-05,0.004827716128809794,True
fn167,5,normal,5.948847640326674e-10,0.001,True
fn167,5,tangent,4.902824997459232e-05,0.001,True
fn226,3,original,2.3431231088671094e-05,0.030117013218861968,True
fn226,3,delta,0.00017996320769307042,0.001,True
fn226,3,candidate,0.0001573716506491582,0.030658399539554168,True
fn226,3,normal,2.500251007450429e-09,0.001291694201189647,True
fn226,3,tangent,0.00017996570312157664,0.002000374713936679,True
fn226,5,original,1.3919622290191811e-06,0.0027705285776668236,True
fn226,5,delta,4.550252997227364e-05,0.001,True
fn226,5,candidate,4.423410396025187e-05,0.0027377488425449465,True
fn226,5,normal,5.671533408768234e-10,0.001,True
fn226,5,tangent,4.5503095137389436e-05,0.001,True
fn282,3,original,2.2994112536472796e-05,0.02750963424396473,True
fn282,3,delta,0.00022015581423024923,0.001,True
fn282,3,candidate,0.00019970600129513123,0.028132590042678374,True
fn282,3,normal,3.1224694978229046e-09,0.0016122925901877678,True
fn282,3,tangent,0.0002201589288532706,0.0025124542350417585,True
fn282,5,original,8.101681371289977e-07,0.0016134216919262375,True
fn282,5,delta,3.913195253483096e-05,0.001,True
fn282,5,candidate,3.884546289255143e-05,0.0015259637348218216,True
fn282,5,normal,4.680579103292937e-10,0.001,True
fn282,5,tangent,3.913241822263151e-05,0.001,True
