component,omega_rad_s,speed_mps,row_dof,col_dof,row_index,col_index,added_mass_coefficient,damping_coefficient,added_mass_value,damping_value,dynamic_operator_real,dynamic_operator_imag,active_station_count,clipped_station_count,max_heave_radiation_pressure_abs_pa,max_condition_number,max_residual_norm,section_solver,status
pressure_main_radiation_raw,1.0,2.0,heave,heave,2,2,A33,B33,1535.513934983071,31.261364640954913,-1535.513934983071,31.261364640954913,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,1.0,2.0,heave,pitch,2,4,A35,B35,176.43401074680907,3106.623564219843,-176.43401074680907,3106.623564219843,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,1.0,2.0,pitch,heave,4,2,A53,B53,238.956740028719,35.59569425370059,-238.956740028719,35.59569425370059,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_raw,1.0,2.0,pitch,pitch,4,4,A55,B55,12298.267335008815,627.2103438183835,-12298.267335008815,627.2103438183835,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,1.0,2.0,heave,heave,2,2,A33,B33,1535.513934983071,31.261364640954913,-1535.513934983071,31.261364640954913,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,1.0,2.0,heave,pitch,2,4,A35,B35,176.43401074680907,3106.623564219843,-176.43401074680907,3106.623564219843,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,1.0,2.0,pitch,heave,4,2,A53,B53,238.956740028719,35.59569425370059,-238.956740028719,35.59569425370059,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
pressure_main_radiation_clipped_like_force,1.0,2.0,pitch,pitch,4,4,A55,B55,12298.267335008815,627.2103438183835,-12298.267335008815,627.2103438183835,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,1.0,2.0,heave,heave,2,2,A33,B33,1535.513934983071,31.26136464095491,-1535.513934983071,31.26136464095491,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,1.0,2.0,heave,pitch,2,4,A35,B35,176.434010746809,3106.6235642198426,-176.434010746809,3106.6235642198426,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,1.0,2.0,pitch,heave,4,2,A53,B53,238.95674002871885,35.59569425370059,-238.95674002871885,35.59569425370059,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
force_main_radiation,1.0,2.0,pitch,pitch,4,4,A55,B55,12298.267335008815,627.2103438183842,-12298.267335008815,627.2103438183842,6,0,134.009212437541,8.535205727806785,3.954234653363512e-16,collocation_pressure_transfer,experimental_pressure_transfer_forward_speed_diagnostic_not_validated
