station_index,x_m,omega_rad_s,wavenumber_rad_m,transverse_wavenumber_rad_m,waterplane_beam_m,draft_m,vertical_force_abs_per_m,lateral_force_abs_per_m,roll_moment_abs_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,6.283185307179586,4.025678249387654,0.0,1.6484864516727733,0.3,1747.3033349719217,1.509903313490213e-14,2.3013249603851656e-13,4.300428615043672,2.0801854672190455e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,6.283185307179586,4.025678249387654,0.0,1.8682846452291433,0.34,3037.3476839199775,2.2740142932498854e-13,1.1418534512577734e-13,4.517954211486397,4.029053977176834e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,6.283185307179586,4.025678249387654,0.0,1.978183742007328,0.36,3734.095316595434,5.329070518200751e-15,3.412270059808006e-13,4.653869805670059,4.320171412796758e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,6.283185307179586,4.025678249387654,0.0,1.4850521120497775,0.3,772.1086640750714,3.412559027082929e-13,4.552466771099645e-13,4.178386886318057,4.978749002772941e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,6.283185307179586,4.025678249387654,0.0,0.8984147095616863,0.2,344.1984464041891,5.955433342649105e-14,5.859285502108464e-14,12.383516638436678,2.8835527065849634e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,6.283185307179586,4.025678249387654,0.0,0.2256871758415598,0.06,1660.9907698284187,1.989520052183492e-13,4.263257826281946e-14,6.0600789337984615,2.0135291559495226e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,1.3962634015954636,0.1987989258956866,0.0,1.6484864516727733,0.3,15882.549815906683,1.4779293073817852e-12,3.865353917508142e-12,9.571530134573011,4.042980852277911e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,1.3962634015954636,0.1987989258956866,0.0,1.8682846452291433,0.34,18096.58455957328,1.1368694397337928e-12,2.0463654401391243e-12,10.396295205185917,2.1465280110394266e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,1.3962634015954636,0.1987989258956866,0.0,1.978183742007328,0.36,19245.034510110872,6.661338147750939e-16,9.094974122743205e-13,10.890062457159466,2.166452007927098e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,1.3962634015954636,0.1987989258956866,0.0,1.4850521120497775,0.3,14246.273087784757,6.821211708899706e-13,1.3642422152897085e-12,8.985660779882256,2.996872388495716e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,1.3962634015954636,0.1987989258956866,0.0,0.8984147095616863,0.2,8667.1729568427,5.684342055487388e-14,5.684341896668713e-14,7.681566666400155,2.082782957308345e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,1.3962634015954636,0.1987989258956866,0.0,0.2256871758415598,0.06,2232.859634608959,2.273736754444987e-13,4.2632564146028216e-14,7.050173678682897,1.282318321302489e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
0,0.0,0.7853981633974483,0.06290122264668209,0.0,1.6484864516727733,0.3,16290.348000703381,1.5916157306588488e-12,4.092726163272133e-12,7.6761407825550805,2.147735011244454e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
1,2.2,0.7853981633974483,0.06290122264668209,0.0,1.8682846452291433,0.34,18449.697600597865,9.094947044199062e-13,2.273736757142826e-12,7.789376942986765,2.082985802987624e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
2,4.4,0.7853981633974483,0.06290122264668209,0.0,1.978183742007328,0.36,19530.6974074819,1.1368683856864898e-13,9.094947017729282e-13,7.851288661924655,1.2040822035475207e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
3,6.6,0.7853981633974483,0.06290122264668209,0.0,1.4850521120497775,0.3,14673.28071503311,9.094947032618533e-13,1.5916157296151833e-12,7.529350722589424,2.5523716656856146e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
4,8.8,0.7853981633974483,0.06290122264668209,0.0,0.8984147095616863,0.2,8911.0361894788,5.684341886080802e-14,1.1368683772492475e-13,7.251512959631657,2.2022349262709264e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
5,11.0,0.7853981633974483,0.06290122264668209,0.0,0.2256871758415598,0.06,2257.186476964174,1.9895196601285067e-13,4.618527782441176e-14,7.092092765689493,1.965404530685288e-16,8,8,experimental_2d_free_surface_source_panel_not_validated
