station_index,x_m,waterplane_beam_m,draft_m,omega_rad_s,response_mode,excitation_mode,complex_force_real_per_m,complex_force_imag_per_m,added_mass_per_m,damping_per_m,reciprocal_added_gap_per_m,reciprocal_damping_gap_per_m,condition_number,residual_norm,body_panel_count,free_surface_panel_count,status
0,0.0,1.6484864516727733,0.3,0.9112006086908124,sway,sway,20.327078220583427,-0.0031552662139653605,24.4820035182396,0.0034627569207825253,0.0,0.0,7.9270698558658195,3.020305229859887e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,sway,heave,9.769962616701378e-15,-1.5265566588595902e-16,1.1766976865024694e-14,1.6753244502908137e-16,-1.4976152373667793e-14,-6.472844467032692e-17,7.9270698558658195,2.426022804799089e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,sway,roll,22.938109990434832,-0.0045152064907779945,27.62673923884149,0.004955227693784486,0.1772563187824474,0.00015105676408639062,7.9270698558658195,1.1882792669654857e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,heave,sway,2.220446049250313e-14,-2.1163626406917047e-16,2.6743129238692485e-14,2.322608896994083e-16,1.4976152373667793e-14,6.472844467032692e-17,7.9270698558658195,3.020305229859887e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,heave,heave,158.46049715823037,-1.7481968583943195,190.85037243579046,1.918564190717651,0.0,0.0,7.9270698558658195,2.426022804799089e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,heave,roll,4.618527782440651e-14,-4.666406150377611e-16,5.5625708816480366e-14,5.121162240093511e-16,1.9255053051858585e-14,2.4749111197477957e-17,7.9270698558658195,1.1882792669654857e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,roll,sway,22.790936453175142,-0.004377563475395611,27.449482920059044,0.004804170929698095,-0.1772563187824474,-0.00015105676408639062,7.9270698558658195,3.020305229859887e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,roll,heave,3.019806626980426e-14,-4.440892098500626e-16,3.637065576462178e-14,4.873671128118731e-16,-1.9255053051858585e-14,-2.4749111197477957e-17,7.9270698558658195,2.426022804799089e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
0,0.0,1.6484864516727733,0.3,0.9112006086908124,roll,roll,31.069158117090318,-0.0062646564832938125,37.419801807085086,0.006875167140521005,0.0,0.0,7.9270698558658195,1.1882792669654857e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
1,2.2,1.8682846452291433,0.34,0.9112006086908124,sway,sway,26.304767609900804,-0.004584841848257427,31.681553353789507,0.005031649237860804,0.0,0.0,8.114697945692004,2.0889479496379945e-16,8,8,experimental_multimode_2d_free_surface_source_panel_not_validated
