iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_thickness,root_s_lambda,root_measured_s_lambda,root_relative_mismatch,root_body_eta,root_resolution_ratio,bem_condition_number,accepted_time_step,maximum_displacement_ratio
0,0.0,0.047683742800464,7.925604555977069,0.1168468128974136,2.088034324495294,2.298297142842704,0.1006989281166308,0.5189161076579776,6.932075380499732,34569.49632334917,,
1,0.0010287384086081,0.0481127429447377,7.928210486723496,0.1292724671034981,2.111326744833528,2.130301192785908,0.0089869784479411,0.5181183758932217,7.92228630875346,69117.77684566201,0.0010287384086081,0.2478241622134425
2,0.0020283685009002,0.0475713128458216,7.928154731174323,0.1253333481234145,2.119537760899369,2.174724334544448,0.0260370797176366,0.518326999134177,7.678499670258891,68888.99108243319,0.0009996300922921,0.2484898032679339
3,0.0030280551876526,0.0470881002420881,7.928205871227783,0.1214214655160391,2.1347754575987965,2.219659884293657,0.0397626956000043,0.518598446549261,7.437325908857832,36242.55734831584,0.0009996866867523,0.2484096847596338
4,0.0040276609820135,0.049290988614017,7.931947779861876,0.1335850255163644,2.13678936671421,2.079642973732423,0.0267440459373224,0.518574586547232,8.188121497921543,36276.87199275748,0.0009996057943609,0.2483954418143608
5,0.005023849688378,0.0485843569588149,7.93174669084521,0.1296255373372996,2.130578267072748,2.1263564685563474,0.0019815270725544,0.51874865200799,7.944292522833199,69212.06597027107,0.0009961887063645,0.2484456026003038
6,0.0060200184795143,0.0509371183580604,7.9355776320999745,0.141795635265564,2.116885627750891,2.000267587458641,0.055089438353905,0.5188188888721623,8.695867076490641,69173.17883718577,0.0009961687911362,0.248451527723081
7,0.0070128505099023,0.0501528716338844,7.9351518785587105,0.1378104718756703,2.0991223176929674,2.04602304853503,0.025295938550306,0.5188843877761036,8.450566594676483,36406.51773307076,0.000992832030388,0.2485303392340722
8,0.0080057005339311,0.0494169164667856,7.934863209032964,0.1338333732594708,2.0934801397438,2.090713024659588,0.0013217775663016,0.5190064979492288,8.205093156122706,36298.05794768146,0.0009928500240287,0.2484516825106057
9,0.0089987513721932,0.0487128410100136,7.934696852980943,0.1298714357097923,2.0974959955614336,2.135042202152853,0.0179004902373458,0.5191889775972616,7.960629768401532,69259.24630236585,0.000993050838262,0.248359379045536
