z_over_Vt,reference_cp,window_mean_cp,window_std_cp
-0.9816933638443935,7.663551401869159,26.43583377028835,7.580973832952145
-0.9725400457665904,7.632398753894081,26.44887077863551,7.584048552674218
-0.9679633867276888,7.632398753894081,26.455389282809094,7.585585938337497
-0.9633867276887872,7.632398753894081,26.461907786982675,7.587123341188329
-0.9588100686498856,7.663551401869159,26.468426291156252,7.588660761216266
-0.954233409610984,7.601246105919003,26.474944795329833,7.590198198410871
-0.9359267734553776,7.632398753894081,26.50101881202416,7.596348118647512
-0.931350114416476,7.632398753894081,26.50753731619774,7.597885641519183
-0.9267734553775744,7.632398753894081,26.514055820371322,7.599423181495072
-0.9221967963386728,7.632398753894081,26.5205743245449,7.600960738564796
-0.9176201372997712,7.663551401869159,26.52709282871848,7.6024983127179855
-0.9038901601830663,7.663551401869159,26.546648341239223,7.607111137574756
-0.8993135011441648,7.632398753894081,26.553166845412807,7.60864877995826
-0.8947368421052632,7.632398753894081,26.560386413602384,7.609483716282225
-0.8901601830663616,7.601246105919003,26.57370018492365,7.612774844616964
-0.88558352402746,7.632398753894081,26.588805404896576,7.617650419941586
-0.8810068649885583,7.663551401869159,26.60391062486951,7.622525996410121
-0.8672768878718535,7.663551401869159,26.6492262847883,7.63715273265731
-0.8627002288329519,7.632398753894081,26.664331504761225,7.642028313679624
-0.8581235697940504,7.632398753894081,26.679436724734156,7.646903895834941
-0.8535469107551488,7.632398753894081,26.694541944707087,7.651779479121096
-0.8489702517162472,7.663551401869159,26.709647164680018,7.656655063535927
-0.8443935926773456,7.663551401869159,26.724752384652945,7.661530649077279
-0.8306636155606407,7.663551401869159,26.77006804457174,7.676157412439002
-0.8260869565217391,7.663551401869159,26.785173264544667,7.681033002465003
-0.8077803203661327,7.663551401869159,26.84559414443639,7.700535373706111
-0.7940503432494279,7.663551401869159,26.891282225138742,7.714722603973022
-0.7894736842105263,7.663551401869159,26.907539949667044,7.718477471251468
-0.7848970251716247,7.725856697819315,26.927373312161752,7.723177672317122
-0.7803203661327232,7.694704049844237,26.950380162082848,7.730575768588402
-0.7757437070938216,7.694704049844237,26.97338701200394,7.737973865010036
-0.7711670480549199,7.663551401869159,26.996393861925032,7.745371961581594
-0.7574370709382151,7.663551401869159,27.065414411688323,7.767566252191533
-0.7528604118993135,7.694704049844237,27.088421261609415,7.774964349358512
-0.7482837528604118,7.694704049844237,27.11142811153051,7.782362446673285
-0.7437070938215102,7.694704049844237,27.134434961451607,7.789760544135435
