case_name,coefficient,mode_name,source_name,station_rows,pass_rows,fail_rows,max_source_sum_relative_residual,median_source_rhs_to_total_rhs_norm_ratio,median_source_solution_to_full_solution_norm_ratio,max_source_solution_to_full_solution_norm_ratio,median_body_potential_norm,median_inner_free_surface_normal_derivative_norm,median_control_potential_norm,median_control_normal_derivative_norm,max_control_potential_norm,max_control_normal_derivative_norm,median_source_to_full_real_alignment,median_source_to_full_phase_deg,relative_tolerance,a1_grid_recommendation_status,error_rows,a1_rhs_source_decomposition_status,diagnostic_conclusion,gate_role
a1_rhs_source_decomposition_recommended,A33,heave,body_normal_velocity,39,39,0,1.4551417644202376e-15,0.8303385680895558,0.7082514809965013,1.0,1.081600643401091,1.459094740241492,0.02018645947516245,0.024707255512741142,0.030056625469995442,0.036521631780022025,0.5364712299602107,0.0,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A33,heave,inner_free_surface_potential,39,39,0,1.4551417644202376e-15,0.5476484730285008,0.883040000205681,0.9804521995271169,1.9370189192154552,1.8217063695309295,0.090590740056076,0.1958168995526666,0.26089361346977347,0.6155821579724703,0.7643719295011584,0.0,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A33,heave,outer_control_history,39,39,0,1.4551417644202376e-15,0.001384187036128732,0.0021018823064134877,0.011469186254629582,0.0004428015943545547,0.0070824948678716495,0.0010280125651159148,0.005520967436598253,0.005402117117380415,0.02948020444245851,-0.1035679992231969,180.0,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A33,pitch,body_normal_velocity,39,39,0,1.1121939886176036e-15,0.7998329292561951,0.6591333182887675,1.0,1.489166132821182,2.0647608373981905,0.02962002194694038,0.03564646402183665,0.04049515189435271,0.04382595813602642,0.5042111008932356,0.05822279009035057,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A33,pitch,inner_free_surface_potential,39,39,0,1.1121939886176036e-15,0.5919561198502684,0.8913780709349592,0.9938275478014926,2.535294515367391,2.6582870387093926,0.14701921682220123,0.3036580210331427,0.5298111218565781,0.8161281576221936,0.7879168013684947,-0.6345004690635236,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A33,pitch,outer_control_history,39,39,0,1.1121939886176036e-15,0.001982282505628558,0.0029247022483548345,0.011511071009142474,0.0007905768376334695,0.012631143758249449,0.0018339488329768045,0.009844655628690581,0.00676328936889317,0.03701266734822688,-0.10784027640467299,-118.17511769060982,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A53,heave,body_normal_velocity,39,39,0,1.4551417644202376e-15,0.8303385680895558,0.7082514809965013,1.0,2.163201286802182,2.918189480482984,0.0403729189503249,0.049414511025482284,0.060113250939990884,0.07304326356004405,0.5364712299602107,0.0,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A53,heave,inner_free_surface_potential,39,39,0,1.4551417644202376e-15,0.5476484730285008,0.883040000205681,0.9804521995271169,3.8740378384309104,3.643412739061859,0.181181480112152,0.3916337991053332,0.5217872269395469,1.2311643159449406,0.7643719295011584,0.0,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A53,heave,outer_control_history,39,39,0,1.4551417644202376e-15,0.001384187036128732,0.0021018823064134877,0.011469186254629582,0.0008856031887091094,0.014164989735743299,0.0020560251302318296,0.011041934873196506,0.01080423423476083,0.05896040888491702,-0.1035679992231969,180.0,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A53,pitch,body_normal_velocity,39,39,0,1.6034288146476193e-15,0.7757123504013439,0.612895904144098,1.0,1.9536294665995257,2.4946591691795934,0.03646157414716896,0.044385406854865826,0.06518116666207253,0.07021417966605559,0.48045673509421644,0.04491898236605051,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
a1_rhs_source_decomposition_recommended,A53,pitch,inner_free_surface_potential,39,39,0,1.6034288146476193e-15,0.6017484170222055,0.9115380409046299,1.019876673287774,3.0060290709026156,3.5099821339703756,0.20997233586565486,0.45076111161151367,0.9103606078684757,1.4399642347551527,0.8135971405254793,-0.5238086778711615,1e-05,A1_GRID_RECOMMENDED,0,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate,matched_solution_reconstructs_from_rhs_source_solutions,diagnostic_a1_eq23_eq24_rhs_source_decomposition_not_hard_gate
