frequency_index,term,F3_real,F3_imag,M5_real,M5_imag
0,rigid_inertia,-519.1476386763723,-1884.1658063293503,1058.983423521187,-512.915562518731
0,added_inertia,-1042.8972922273617,-3476.0442936819045,732.6510471255884,-270.50329986167515
0,radiation_damping,416.3565918996567,1365.265812613324,-787.784640147434,225.7393159242327
0,restoring,617.2507019193131,198.01695661943822,-75.77515117888139,257.6314382946294
1,rigid_inertia,-864.1228185328628,-2047.765257823468,981.7803564395593,-731.464924506983
1,added_inertia,-1649.3517312184172,-3898.043471775191,857.4817368871559,-474.11623134949934
1,radiation_damping,836.2035994219675,1620.8801038204444,-1079.4133057732438,446.6667146712952
1,restoring,999.6648211766206,201.99963213083697,-46.326535212434976,455.4049979183743
2,rigid_inertia,-1490.9692231291222,-1985.30717292073,788.9269320118874,-1078.9067118674031
2,added_inertia,-2850.6266171799352,-3955.1795117959455,975.9178940885354,-992.6677230127258
2,radiation_damping,1849.3121930288503,1781.5375676226429,-1399.782105616074,981.6800713401635
2,restoring,1722.0599399957175,-105.1692972496619,138.81072749523776,810.32827793897
3,rigid_inertia,-1900.785271363432,-1688.2284212332472,539.7179103882041,-1259.6269371027454
3,added_inertia,-3692.224212593776,-3478.0616887876777,886.3025773697319,-1477.1515711750176
3,radiation_damping,2649.8233881601823,1508.7620847269206,-1422.7904035190213,1458.3273810310138
3,restoring,2155.7094397629335,-612.6897232174942,405.02760081275596,1018.9138007617639
4,rigid_inertia,-2183.2701773526214,-1089.12074970147,149.24132824134904,-1319.1034229744112
4,added_inertia,-4336.343473740594,-2373.1956268610693,475.613513903612,-2019.6141049166622
4,radiation_damping,3382.6031991768896,694.69839695966,-1146.0947841903035,1987.6348029054093
4,restoring,2348.866010229423,-1482.9118442880258,843.6428915178,1113.2321545968598
5,rigid_inertia,-2057.9097392285216,-351.38942364904017,-246.69907931038534,-1124.9785169279455
5,added_inertia,-4193.83998431532,-914.9476570796471,-272.84111321587636,-2297.5562749142355
5,radiation_damping,3501.950544860292,-519.8594238929421,-557.023540956039,2260.6818844440886
5,restoring,1976.645342330752,-2424.7957906526544,1322.6047073726807,946.3002067375704
6,rigid_inertia,-1578.5578850720412,129.87849016479433,-435.05096004964304,-772.8046771716305
6,added_inertia,-3301.2597158091266,99.92951246732474,-1002.3958216994374,-2146.7960135614217
6,radiation_damping,2915.1408119923794,-1454.6270389628025,-0.5422201053278002,2120.1277112852226
6,restoring,1220.9215744066241,-2932.7859027392087,1617.6449835835208,605.6335948408766
7,rigid_inertia,-1085.2810154113222,272.59692219405986,-427.1558026752012,-470.8939985887234
7,added_inertia,-2322.336795461611,446.7189964629976,-1466.4625236742918,-1809.946374260839
7,radiation_damping,2154.4089803437623,-1822.3129181773818,284.4923599379367,1797.5316661859733
7,restoring,551.0510347882969,-2993.6562654118743,1732.874334358251,309.44708774291087
