omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
7.516249999999999,-702.157795740875,-4096.653264932198,123.74836794669486,-173.86161892067815
8.707904702227681,-739.0879261390434,-4149.549377558019,170.4452794455557,-190.75017227916646
10.088488847906737,-768.8373452450759,-4200.895739285253,229.1545389448813,-210.4408932054405
11.687956025552452,-787.5343725664258,-4244.629313261748,302.2987034194408,-232.5828602022367
13.54100877889088,-790.2663849523915,-4271.052988188529,392.32956612611434,-256.17272730467863
15.687851524178978,-771.1922552094725,-4265.342229031392,501.23441525096416,-279.1774002236498
18.175062837884298,-724.0944029623663,-4205.8314481476555,629.5634016871844,-298.0781133434286
21.05660604015252,-643.7326638243242,-4062.522504267957,774.6984798834121,-307.466956651799
24.394999999999996,-528.437637084764,-3796.9273307784924,928.07467932046,-300.048108161544
43.910999999999994,-24.65808587187439,-890.2637650923416,1051.5447120264873,-27.205880122083002
