frequency_index,status,heave_amplitude_relative_error,pitch_amplitude_relative_error,heave_phase_circular_error_deg,pitch_phase_circular_error_deg,point_acceleration_kinematic_relative_residual
0,PASS,9.009754045207496e-14,4.3086360363492674e-14,1.6484591469634324e-12,3.467448550509289e-12,0.0
1,PASS,1.2705338514599589e-12,7.718026440005873e-13,1.9952040020143613e-11,4.087041816092096e-11,0.0
2,PASS,2.286550361001907e-12,9.698982665242803e-13,8.907363735488616e-11,1.4634338185715023e-10,0.0
3,PASS,1.7579422859537496e-12,1.931208170838677e-12,3.186073627148289e-11,3.558398020686582e-11,0.0
4,PASS,2.2103547395670303e-11,1.7522722902342336e-11,1.7894308257382363e-10,2.9268676371430047e-10,0.0
5,PASS,4.920159497315106e-12,5.947303198969476e-11,6.276991371123586e-09,5.745278031099588e-09,0.0
6,PASS,7.090406021763724e-12,8.178686460310525e-11,9.144827117779641e-09,6.789946382923517e-09,0.0
7,PASS,1.116882261100412e-09,1.282847162293432e-09,5.719911655432952e-08,3.197737896698527e-08,0.0
