time_s,wave_elevation_m,surge_m,sway_m,heave_m,roll_rad,pitch_rad,yaw_rad,cg_accel_mps2,bow_accel_mps2
0.0,0.0,0.0,0.0,0.026517362489315195,0.0,0.030706995138333033,0.0,-1.4980722493717824,-3.584990231811795
0.008707779404595025,0.0029431408153564377,0.0,0.0,0.026896206564533183,0.0,0.02842727420374508,0.0,-1.5194746718846424,-3.451457578720418
0.01741555880919005,0.0058736786499023206,0.0,0.0,0.027159876954061087,0.0,0.026025823316782156,0.0,-1.5343704705784964,-3.3031452543995528
0.026123338213785076,0.00877906449072577,0.0,0.0,0.027307244580811536,0.0,0.023512925858819686,0.0,-1.5426958593564937,-3.1406883549912643
0.0348311176183801,0.011646857029613433,0.0,0.0,0.027337678393982493,0.0,0.020899342442559705,0.0,-1.5444151876257493,-2.964782545879655
0.04353889702297512,0.014464775938642269,0.0,0.0,0.027251048071313677,0.0,0.018196264833435255,0.0,-1.5395210929586582,-2.776181082744892
0.05224667642757015,0.017220754456429038,0.0,0.0,0.027047724577146482,0.0,0.015415268024752633,0.0,-1.52803453261994,-2.575691586006741
0.060954455832165175,0.019902991059855057,0.0,0.0,0.026728578573897727,0.0,0.012568260671793027,0.0,-1.5100046938244143,-2.3641725824699433
0.0696622352367602,0.022499999999999996,0.0,0.0,0.026294976693749503,0.0,0.00966743409712232,0.0,-1.485508783109794,-2.1425298289806314
0.07837001464135522,0.025000660485882092,0.0,0.0,0.025748775686520384,0.0,0.006725210085476254,0.0,-1.4546516957264404,-1.9117124338364615
0.08707779404595024,0.027394264305392425,0.0,0.0,0.025092314468777625,0.0,0.0037541876917711356,0.0,-1.4175655664597953,-1.6727087925591713
0.09578557345054527,0.02967056167950309,0.0,0.0,0.024328404108237358,0.0,0.0007670892900164749,0.0,-1.374409203808944,-1.4265423554332166
0.1044933528551403,0.03181980515339464,0.0,0.0,0.02346031578634107,0.0,-0.0022232939058437306,0.0,-1.325367409944243,-1.17426724493453
0.11320113225973533,0.03383279133655397,0.0,0.0,0.02249176679055447,0.0,-0.005204156615872812,0.0,-1.2706501893560544,-0.9169637418162475
0.12190891166433035,0.035700900313105584,0.0,0.0,0.021426904596371855,0.0,-0.00816273432831608,0.0,-1.2104918495832773,-0.6557336591806722
0.13061669106892537,0.03741613255361453,0.0,0.0,0.02027028910718934,0.0,-0.01108635795919971,0.0,-1.145149997872495,-0.3916956243464238
