omega_e_rad_s,F3_real,F3_imag,M5_real,M5_imag
24.394999999999996,-528.437637084764,-3796.9273307784924,928.07467932046,-300.048108161544
19.842,-677.6061291526922,-4122.928993647379,713.5222523410364,-303.50944326681287
15.738999999999999,-770.2237072844896,-4264.118414343694,503.87344797958696,-279.5660856009959
13.855,-787.4766560340914,-4270.217748511498,408.2576850516704,-259.53732648498533
12.101749999999997,-788.1444416869039,-4250.529823890905,322.40294947245746,-237.85057038880475
10.457749999999999,-773.1538363527978,-4210.992295274284,246.0409738903801,-215.55270066052225
8.924499999999998,-743.7552144821636,-4157.604939069893,179.6559817291127,-193.83938460695265
7.516249999999999,-702.157795740875,-4096.653264932198,123.74836794669486,-173.86161892067815
