component,sigma,omega_rad_s,motion_dof,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_matrix_is_zero,restoring_subtraction,restoring_matrices_sha256,response_calibration_used
bem,1.4,7.774541989381373,heave,A33,-21.5428404086069,-0.6699179340131046,0.034422474670549284,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
bem,1.4,7.774541989381373,heave,A53,-11.467199914201522,-1.1213699243361233,0.04980869962158832,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
bem,1.4,7.774541989381373,heave,B33,342.64686549653305,1.9187510281451758,0.034422474670549284,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
bem,1.4,7.774541989381373,heave,B53,31.616791318438082,0.5567529604600795,0.04980869962158832,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,A33,0.8093602731412144,0.025168684898135348,0.11247565264896567,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,A53,-2.6541466853114186,-0.25954725564683595,0.08757208339043508,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,B33,95.21265870033176,0.5331710433392123,0.11247565264896567,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
front,1.4,7.774541989381373,heave,B53,49.60678288807986,0.8735460519591803,0.08757208339043508,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,A33,0.3606260849310148,0.011214393143426838,0.005510228542937791,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,A53,-0.12280376662732753,-0.012008899428057634,0.006940056267594496,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,B33,38.83917748288343,0.21749129856945845,0.005510228542937791,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_aft_post_chine,1.4,7.774541989381373,heave,B53,-12.986885276800495,-0.22869135429304188,0.006940056267594496,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,A33,3.308116854566989,0.10287254450439291,0.026055118227212005,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,A53,0.1791945050414604,0.017523312584001766,0.026429411367876784,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,B33,124.16658003337086,0.695306967875097,0.026055118227212005,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_forward_post_chine,1.4,7.774541989381373,heave,B53,15.508222773968894,0.2730906135894423,0.026429411367876784,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
longitudinal_bin_middle_post_chine,1.4,7.774541989381373,heave,A33,2.2591280101463997,0.07025212741323374,0.009889642201273509,True,zero_diagnostic_only,ec96299b1ed27c871d4ba51a06e23db3c30063004c1e9dde72609ad1fcb30bab,False
