a1_control_candidate_name,a1_control_candidate_status,a1_control_green_identity_status,a1_control_green_identity_validity_status,a1_control_changed_eq24_terms,a1_control_hypothesis,geometry_name,potential_name,panel_count,radius_m,source_y_m,source_z_down_m,control_image_scale,control_potential_kernel_scale,control_normal_derivative_kernel_scale,control_diagonal_sign,residual_norm,relative_residual,max_abs_residual,potential_norm,normal_derivative_norm,potential_term_norm,normal_derivative_term_norm,relative_tolerance,diagnostic_status,gate_role,is_hard_gate
default_control_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,,Use the current Eq. (24) instantaneous control-surface terms.,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,1.0,1.0,1.0,1.0,0.1196749311540882,0.011232120282989488,0.04299533451708193,1.7308444185371186,1.830074180492392,5.267682856352387,5.387022412013567,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term,Reverse the instantaneous image contribution in Eq. (24).,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,-1.0,1.0,1.0,1.0,9.642670610672369,0.8123637664664952,2.7199384511350053,1.7308444185371186,1.830074180492392,9.797841038772084,2.072051500397517,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_potential_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column,Reverse the instantaneous potential-column contribution.,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,1.0,-1.0,1.0,1.0,10.65470150666568,0.9999996469446896,3.9511084707683928,1.7308444185371186,1.830074180492392,5.267682856352387,5.387022412013567,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_normal_derivative_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,B normal-derivative column,Reverse the instantaneous normal-derivative column contribution.,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,1.0,1.0,-1.0,1.0,10.65470150666568,0.9999996469446896,3.9511084707683928,1.7308444185371186,1.830074180492392,5.267682856352387,5.387022412013567,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column;B normal-derivative column,Reverse both instantaneous control-surface unknown columns together.,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,1.0,-1.0,-1.0,1.0,0.1196749311540882,0.011232120282989488,0.04299533451708193,1.7308444185371186,1.830074180492392,5.267682856352387,5.387022412013567,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_and_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term;C potential column;B normal-derivative column,Reverse image and both instantaneous control-surface columns together.,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,-1.0,-1.0,-1.0,1.0,9.642670610672369,0.8123637664664952,2.7199384511350053,1.7308444185371186,1.830074180492392,9.797841038772084,2.072051500397517,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_diagonal,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,control-surface diagonal term,Reverse the instantaneous control-surface diagonal convention.,half_cylinder_control_surface,antisymmetric_source,16,1.0,0.2,0.3,1.0,1.0,1.0,-1.0,10.994551894615698,0.9999996470424292,4.07717663645392,1.7308444185371186,1.830074180492392,5.607533363213831,5.387022412013567,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
default_control_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,,Use the current Eq. (24) instantaneous control-surface terms.,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,1.0,1.0,1.0,1.0,0.1802685132614793,0.011154130414781516,0.06567389375250032,2.6256983238308402,2.873995149776979,7.991097234543438,8.170495517015793,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term,Reverse the instantaneous image contribution in Eq. (24).,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,-1.0,1.0,1.0,1.0,14.376062663003744,0.7857537783530306,4.05067091217807,2.6256983238308402,2.873995149776979,14.676546968865404,3.619340444029394,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_potential_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column,Reverse the instantaneous potential-column contribution.,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,1.0,-1.0,1.0,1.0,16.16158306831767,0.9999994008485608,6.291036043989328,2.6256983238308402,2.873995149776979,7.991097234543438,8.170495517015793,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_normal_derivative_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,B normal-derivative column,Reverse the instantaneous normal-derivative column contribution.,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,1.0,1.0,-1.0,1.0,16.16158306831767,0.9999994008485608,6.291036043989328,2.6256983238308402,2.873995149776979,7.991097234543438,8.170495517015793,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column;B normal-derivative column,Reverse both instantaneous control-surface unknown columns together.,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,1.0,-1.0,-1.0,1.0,0.1802685132614793,0.011154130414781516,0.06567389375250032,2.6256983238308402,2.873995149776979,7.991097234543438,8.170495517015793,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_and_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term;C potential column;B normal-derivative column,Reverse image and both instantaneous control-surface columns together.,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,-1.0,-1.0,-1.0,1.0,14.376062663003744,0.7857537783530306,4.05067091217807,2.6256983238308402,2.873995149776979,14.676546968865404,3.619340444029394,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_diagonal,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,control-surface diagonal term,Reverse the instantaneous control-surface diagonal convention.,half_cylinder_control_surface,antisymmetric_source,16,1.0,-0.25,0.45,1.0,1.0,1.0,-1.0,16.67713742254437,0.9999994010181873,6.491924887593583,2.6256983238308402,2.873995149776979,8.506651894836564,8.170495517015793,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
default_control_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,,Use the current Eq. (24) instantaneous control-surface terms.,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,1.0,1.0,1.0,1.0,0.08437672978228353,0.005542466147621544,0.02146359795756969,2.4477836510529793,2.5881157262025,7.569783836729536,7.653895935945736,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term,Reverse the instantaneous image contribution in Eq. (24).,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,-1.0,1.0,1.0,1.0,13.700384424257768,0.8103754538825264,2.7352615370144657,2.4477836510529793,2.5881157262025,13.96127014105145,2.9449482773605706,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_potential_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column,Reverse the instantaneous potential-column contribution.,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,1.0,-1.0,1.0,1.0,15.22367830826926,0.9999999038073558,4.004483061309725,2.4477836510529793,2.5881157262025,7.569783836729536,7.653895935945736,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_normal_derivative_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,B normal-derivative column,Reverse the instantaneous normal-derivative column contribution.,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,1.0,1.0,-1.0,1.0,15.22367830826926,0.9999999038073558,4.004483061309725,2.4477836510529793,2.5881157262025,7.569783836729536,7.653895935945736,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column;B normal-derivative column,Reverse both instantaneous control-surface unknown columns together.,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,1.0,-1.0,-1.0,1.0,0.08437672978228353,0.005542466147621544,0.02146359795756969,2.4477836510529793,2.5881157262025,7.569783836729536,7.653895935945736,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_and_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term;C potential column;B normal-derivative column,Reverse image and both instantaneous control-surface columns together.,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,-1.0,-1.0,-1.0,1.0,13.700384424257768,0.8103754538825264,2.7352615370144657,2.4477836510529793,2.5881157262025,13.96127014105145,2.9449482773605706,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_diagonal,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,control-surface diagonal term,Reverse the instantaneous control-surface diagonal convention.,half_cylinder_control_surface,antisymmetric_source,32,1.0,0.2,0.3,1.0,1.0,1.0,-1.0,15.463988883250922,0.9999999038142336,4.067708929083953,2.4477836510529793,2.5881157262025,7.810094434720948,7.653895935945736,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
default_control_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,,Use the current Eq. (24) instantaneous control-surface terms.,half_cylinder_control_surface,antisymmetric_source,32,1.0,-0.25,0.45,1.0,1.0,1.0,1.0,0.12707264835795382,0.005502612056508239,0.03266175853146347,3.713298179538508,4.064442851975616,11.48339418327924,11.609756315611207,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_terms,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term,Reverse the instantaneous image contribution in Eq. (24).,half_cylinder_control_surface,antisymmetric_source,32,1.0,-0.25,0.45,-1.0,1.0,1.0,1.0,20.427459347570164,0.7838075744547169,4.076316186335869,3.713298179538508,4.064442851975616,20.916182018130545,5.145647458040617,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_potential_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column,Reverse the instantaneous potential-column contribution.,half_cylinder_control_surface,antisymmetric_source,32,1.0,-0.25,0.45,1.0,-1.0,1.0,1.0,23.093146600126435,0.9999998311722772,6.402737035211347,3.713298179538508,4.064442851975616,11.48339418327924,11.609756315611207,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_normal_derivative_column,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,B normal-derivative column,Reverse the instantaneous normal-derivative column contribution.,half_cylinder_control_surface,antisymmetric_source,32,1.0,-0.25,0.45,1.0,1.0,-1.0,1.0,23.093146600126435,0.9999998311722772,6.402737035211347,3.713298179538508,4.064442851975616,11.48339418327924,11.609756315611207,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,C potential column;B normal-derivative column,Reverse both instantaneous control-surface unknown columns together.,half_cylinder_control_surface,antisymmetric_source,32,1.0,-0.25,0.45,1.0,-1.0,-1.0,1.0,0.12707264835795382,0.005502612056508239,0.03266175853146347,3.713298179538508,4.064442851975616,11.48339418327924,11.609756315611207,0.02,PASS,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
reverse_image_and_both_columns,diagnostic_a1_control_surface_candidate_not_hard_gate,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,a1_eq24_outer_control_green_identity_diagnostic_not_hard_gate,A-Abar image term;B-Bbar image term;C potential column;B normal-derivative column,Reverse image and both instantaneous control-surface columns together.,half_cylinder_control_surface,antisymmetric_source,32,1.0,-0.25,0.45,-1.0,-1.0,-1.0,1.0,20.427459347570164,0.7838075744547169,4.076316186335869,3.713298179538508,4.064442851975616,20.916182018130545,5.145647458040617,0.02,FAIL,diagnostic_a1_eq24_outer_control_green_identity_not_hard_gate,False
