component,sigma,motion_dof,coefficient,value_dimensional,value_nondimensional,harmonic_fit_residual_nrmse,restoring_matrix_is_zero,response_calibration_used
bem,1.4,pitch,A35,13.97293045230327,1.3664036627327145,0.04755981547888881,True,False
bem,1.4,pitch,A55,-3.4949013242801716,-1.074729867460397,0.09322549938452258,True,False
bem,1.4,pitch,B35,-256.5315019907366,-4.517367741277458,0.04755981547888881,True,False
bem,1.4,pitch,B55,42.28569602859841,2.341591353784123,0.09322549938452258,True,False
front,1.4,pitch,A35,4.174640589960533,0.40823535279061357,0.18656301706056957,True,False
front,1.4,pitch,A55,0.5767302892062819,0.17735243709827114,0.1829767484378918,True,False
front,1.4,pitch,B35,41.082945065991886,0.7234463187467994,0.18656301706056957,True,False
front,1.4,pitch,B55,22.292922049429965,1.2344815960041058,0.1829767484378918,True,False
longitudinal_bin_aft_post_chine,1.4,pitch,A35,4.597578951972148,0.4495942165547701,0.002850342091600845,True,False
longitudinal_bin_aft_post_chine,1.4,pitch,A55,-1.6085707970138183,-0.49465747930133463,0.0035063350934650354,True,False
longitudinal_bin_aft_post_chine,1.4,pitch,B35,-110.05570111074653,-1.9380156826092751,0.002850342091600845,True,False
longitudinal_bin_aft_post_chine,1.4,pitch,B55,39.09576565215936,2.164947379812611,0.0035063350934650354,True,False
longitudinal_bin_forward_post_chine,1.4,pitch,A35,7.200493426991629,0.7041315081119862,0.04528185171566327,True,False
longitudinal_bin_forward_post_chine,1.4,pitch,A55,0.812840421899762,0.24995952613188938,0.05567463482503657,True,False
longitudinal_bin_forward_post_chine,1.4,pitch,B35,-53.03540389620489,-0.9339220362690117,0.04528185171566327,True,False
longitudinal_bin_forward_post_chine,1.4,pitch,B55,-5.109538174209525,-0.2829432061959489,0.05567463482503657,True,False
longitudinal_bin_middle_post_chine,1.4,pitch,A35,5.919754292759976,0.5788888720026231,0.0032275952475595495,True,False
longitudinal_bin_middle_post_chine,1.4,pitch,A55,-0.6463494260921259,-0.1987612720883237,0.0016282157341568767,True,False
longitudinal_bin_middle_post_chine,1.4,pitch,B35,-86.08118804459846,-1.5158387137091245,0.0032275952475595495,True,False
longitudinal_bin_middle_post_chine,1.4,pitch,B55,10.586593286509599,0.586237844801099,0.0016282157341568767,True,False
longitudinal_bin_pre_chine,1.4,pitch,A35,-3.744896219420483,-0.3662109339366647,0.18405857863594818,True,False
longitudinal_bin_pre_chine,1.4,pitch,A55,-2.0528215230739946,-0.6312706422026295,0.17034389575520373,True,False
longitudinal_bin_pre_chine,1.4,pitch,B35,-7.359208939186755,-0.12959130869004698,0.18405857863594818,True,False
longitudinal_bin_pre_chine,1.4,pitch,B55,-2.287124735860989,-0.12665066463363595,0.17034389575520373,True,False
post_chine_bem,1.4,pitch,A35,17.717826671723746,1.7326145966693787,0.013779672492712773,True,False
post_chine_bem,1.4,pitch,A55,-1.4420798012061775,-0.44345922525776754,0.011956018170885985,True,False
post_chine_bem,1.4,pitch,B35,-249.1722930515499,-4.387776432587412,0.013779672492712773,True,False
post_chine_bem,1.4,pitch,B55,44.57282076445942,2.4682420184177603,0.011956018170885985,True,False
pre_chine_bem,1.4,pitch,A35,-3.744896219420483,-0.3662109339366647,0.18405857863594818,True,False
pre_chine_bem,1.4,pitch,A55,-2.0528215230739946,-0.6312706422026295,0.17034389575520373,True,False
pre_chine_bem,1.4,pitch,B35,-7.359208939186755,-0.12959130869004698,0.18405857863594818,True,False
pre_chine_bem,1.4,pitch,B55,-2.287124735860989,-0.12665066463363595,0.17034389575520373,True,False
raw_bem,1.4,pitch,A35,13.97293045230327,1.3664036627327145,0.04755981547888881,True,False
raw_bem,1.4,pitch,A55,-3.4949013242801716,-1.074729867460397,0.09322549938452258,True,False
raw_bem,1.4,pitch,B35,-256.5315019907366,-4.517367741277458,0.04755981547888881,True,False
raw_bem,1.4,pitch,B55,42.28569602859841,2.341591353784123,0.09322549938452258,True,False
resolved_station_bem,1.4,pitch,A35,15.06032203803347,1.4727389694629904,0.131962362267206,True,False
resolved_station_bem,1.4,pitch,A55,-3.9057590521948096,-1.2010742275712578,0.17108864636488175,True,False
resolved_station_bem,1.4,pitch,B35,-222.84290196376335,-3.9241314571187065,0.131962362267206,True,False
resolved_station_bem,1.4,pitch,B55,27.74334521961644,1.5363014776288928,0.17108864636488175,True,False
total,1.4,pitch,A35,-0.11913383836665187,-0.011650019561413273,0.029238452594042532,False,False
total,1.4,pitch,A55,2.128268766994772,0.6544716996676583,0.039318385283620805,False,False
total,1.4,pitch,B35,-215.4485569247448,-3.7939214225306594,0.029238452594042532,False,False
total,1.4,pitch,B55,64.57861807802836,3.576072949788228,0.039318385283620805,False,False
transom,1.4,pitch,A35,-0.0,-0.0,0.0,True,False
transom,1.4,pitch,A55,-0.0,-0.0,0.0,True,False
transom,1.4,pitch,B35,0.0,0.0,0.0,True,False
transom,1.4,pitch,B55,0.0,0.0,0.0,True,False
transom_extrapolation,1.4,pitch,A35,-1.0873915857301997,-0.10633530673027579,0.24949532313901548,True,False
transom_extrapolation,1.4,pitch,A55,0.4108577279146386,0.1263443601108611,0.2509445631940832,True,False
transom_extrapolation,1.4,pitch,B35,-33.688600026973255,-0.5932362841587512,0.24949532313901548,True,False
transom_extrapolation,1.4,pitch,B55,14.54235080898198,0.805289876155231,0.2509445631940832,True,False
