sweep,outer_panels_per_radius,pseudo_cfl,grid_mode,root_spacing_ratio,far_spacing_ratio,endpoint_decay,linear_gradient_recovery,coarse_run,fine_run,coarse_level,fine_level,comparison_pseudo_time,coarse_kinematic_integral,fine_kinematic_integral,kinematic_integral_relative_change,outer_panels,far_radius
far_radius,4.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,self_similar_wedge_20deg_connected_true_double80_root004_r20_probe12_v143,self_similar_wedge_20deg_connected_true_double96_root004_r24_probe12_v144,20.0,24.0,0.0104648769604749,0.0036166034793163,0.004813730157335325,0.24869002600712933,,
far_radius,4.0,0.25,double_ended,0.04,0.25,4.0,connected_nodal,self_similar_wedge_20deg_connected_true_double96_root004_r24_probe12_v144,self_similar_wedge_20deg_connected_true_double112_root004_r28_probe12_v145,24.0,28.0,0.0114152372147875,0.0048203881409931,0.012797001286227962,0.6233189297104498,,
pseudo_cfl,,,double_ended,0.04,0.25,4.0,connected_nodal,self_similar_wedge_20deg_connected_true_double80_root004_r20_probe12_v143,self_similar_wedge_20deg_connected_true_double80_root004_r20_cfl0125_probe24_v146,0.25,0.125,0.0104648769604749,0.0036166034793163,0.0036189642302835224,0.0006523277979559769,80.0,20.0
