node,y_over_Vt,z_over_Vt,supplied_psi_over_V2,similarity_psi_over_V2,difference_over_V2
0,4.598488956973559,0.6737131029402107,-9.967111800585995,-19.908158623602695,9.9410468230167
1,4.71130685444839,0.3805075541458616,-4.938665447291066,-12.366153161295115,7.427487714004049
2,4.89437030005403,0.1397883725952548,-5.214235338750333,-8.536340919615236,3.3221055808649034
3,5.176582595631237,0.023471714437459917,-2.4702787536493913,-0.47521284833566946,-1.9950659053137219
4,5.478462426408537,0.07807458039684828,-0.49534024427426465,1.0595429319857537,-1.5548831762600184
5,5.778742995536983,0.13482813268048172,-0.33705755410561095,0.1014433718941462,-0.43850092599975715
6,6.084421039181806,0.13427227148148616,-0.36229659867834624,-0.5137074024286499,0.15141080375030364
7,6.438484773123437,0.06396131892834167,-0.43197257907406966,-0.4557200569240054,0.02374747784993575
8,6.864889901410646,0.1066126397988253,-0.2751518065434657,-0.2604324908302755,-0.01471931571319024
9,7.367913405429306,0.047375891991299164,-0.23008455479883239,-0.23263360816474635,0.0025490533659139614
10,7.96660006496547,0.06926424363403534,-0.21320700043421548,-0.23498861763931214,0.021781617205096665
11,8.674339039813574,0.038954772486673825,-0.13707109386979324,-0.11640887694582738,-0.02066221692396586
12,9.51226994608659,0.04081415671401222,-0.1329210865688839,-0.1531530403792204,0.02023195381033649
13,10.503337499567728,0.028864821566274484,-0.08940165360144602,-0.07800538308765613,-0.011396270513789886
14,11.675752316855213,0.024349979614303366,-0.07766174361234711,-0.08574287581001294,0.008081132197665833
15,13.06259144606618,0.018896341428192236,-0.056522125843739106,-0.05311801744353395,-0.0034041084002051566
16,14.703087768987878,0.014718385246818401,-0.04526032747838539,-0.047452633952434355,0.0021923064740489648
17,16.6436279480878,0.011505370518192023,-0.03406726298112249,-0.03336235987509271,-0.000704903106029782
18,18.939087727709047,0.008758411181489517,-0.026282763172169262,-0.02676740081069562,0.00048463763852635636
19,21.654380016733338,0.00673313124357613,-0.0198919903641024,-0.01978800970271323,-0.00010398066138916917
20,24.866290052897888,0.00507940727982967,-0.01510953094770873,-0.015206742310382845,9.721136267411452e-05
21,28.665647256027647,0.0038442465514888662,-0.011408870224922945,-0.011401086081154279,-7.784143768665638e-06
22,33.15989345306441,0.002881719237473289,-0.008613286074208325,-0.008632394852633687,1.9108778425362682e-05
23,38.476121294852696,0.0021595949323897803,-0.006494076118693932,-0.006495555224272173,1.479105578241005e-06
24,44.76466824912286,0.0016115807763048746,-0.0048978937871018815,-0.004901720977020174,3.827189918292548e-06
25,52.2033679903119,0.0012013650564699184,-0.0036948748726525864,-0.0036957243791863924,8.49506533806034e-07
26,61.00257934492474,0.0008935938906232741,-0.002787259984336571,-0.0027880227988659515,7.628145293806475e-07
27,71.41113502199832,0.0006635338214892055,-0.0021001191026938167,-0.0021003563852477636,2.3728255394697348e-07
28,83.72337834617383,0.0004916189374081454,-0.001579258166677613,-0.001579393867894118,1.3570121650506584e-07
29,98.28748698560099,0.0003641898395083302,-0.0011875582290611136,-0.0011875965570302038,3.832796909020164e-08
30,115.51531906044919,0.0002720310693216478,-0.0009089940921971022,-0.0009089998562210165,5.7640239143090174e-09
31,135.89406006978896,0.00020676812800282557,-0.0007133350443049825,-0.0007132956652597009,-3.937904528156233e-08
32,160.0,0.00020003957662834514,-0.0008020690461962765,-0.000802106754182899,3.7707986622493445e-08
