node,y_over_Vt,material_dphi_dt_over_V2,auxiliary_psi_over_V2,difference_over_V2
71,0.2907185468470077,-3.7217807209595777,-2.107554672728395,1.6142260482311825
72,0.5814370936940154,-3.7753246434003573,-2.1354494382248523,1.639875205175505
73,0.872155640541023,-3.8507508268024457,-2.175565304486915,1.6751855223155308
74,1.1628741873880308,-3.94996747288201,-2.228118089237437,1.7218493836445732
75,1.4535927342350385,-4.07558424743587,-2.2943618458832056,1.7812224015526645
76,1.744311281082046,-4.232136452270025,-2.376507634809317,1.8556288174607078
77,2.035029827929054,-4.426604209049945,-2.477942118428897,1.9486620906210477
78,2.3257483747760617,-4.669507649545102,-2.6037184189204017,2.0657892306247
79,2.6164669216230694,-4.976959762333102,-2.7614686609584123,2.21549110137469
80,2.907185468470077,-5.374587686680656,-2.9631139714002095,2.411473715280447
81,3.197904015317085,-5.90552956483148,-3.228264852187585,2.6772647126438947
82,3.488622562164092,-6.648404418140075,-3.591631702196933,3.0567727159431417
83,3.7793411090111,-7.763550921926904,-4.121415954980678,3.6421349669462257
84,4.070059655858108,-9.639247415063473,-4.97467785542395,4.6645695596395225
