panel_index,mid_xi,mid_eta,panel_length,kinematic_residual_midpoint,kinematic_residual_left,kinematic_residual_right,kinematic_integral_panel_linear_exact
0,4.551408213231602,-0.03978732735847573,0.0030170114064747115,0.3687734440159969,0.2363496642837346,0.5011972237482591,0.000427930500851494
1,4.548574447863446,-0.0409877183210714,0.003138166334701504,0.4380221603508403,0.44771170788202985,0.4283326128196514,0.0006021975147612136
2,4.545633090713313,-0.042249993928483276,0.0032633792515257623,0.45057698441222604,0.4413072416045287,0.45984672721992337,0.0006626234839396303
3,4.542585438626261,-0.04358673232746818,0.0033927496530465648,0.4604032421511941,0.3826533545847228,0.5381531297176654,0.0007260014714160851
4,4.539445903429121,-0.04503950059416745,0.0035263801161193125,0.4628756619587453,0.4502677867559799,0.4754835371615109,0.0007557274660949055
5,4.536202241834941,-0.04659040900628636,0.003664367463448107,0.4923511069139872,0.4586345207526308,0.5260676930753436,0.0008896664577685754
6,4.532856843341186,-0.048251954721097945,0.0038068242109132186,0.4730793353537672,0.4234105276109821,0.5227481430965519,0.0008551131710795336
7,4.529415733140281,-0.05004500714785509,0.003953838374587362,0.4920466217592341,0.46846046755038184,0.5156327759680872,0.0009579965086629139
8,4.525873908373104,-0.051966529135743345,0.004105529421919787,0.4855096341543206,0.4375064469315135,0.5335128213771276,0.0009709072383998536
9,4.522242009863113,-0.05404270719357329,0.004261991922669919,0.502768186832323,0.43745410392217865,0.5680822697424679,0.0010833890818802826
10,4.518535161190844,-0.056303924587591925,0.004423326954379692,0.5328949741695306,0.44506103695217947,0.6207289113868817,0.0012674983835234608
11,4.514772753399356,-0.05878298044978525,0.004589679385834983,0.5488731955474488,0.480417683730733,0.6173287073641647,0.0013898643229366264
12,4.510964497521899,-0.06149399792295962,0.0047610389084955605,0.5984329553345367,0.4911587416520251,0.7057071690170487,0.0017232957451389756
13,4.50714588905498,-0.06448014287538545,0.00493774831408969,0.6060885804135236,0.512362196698612,0.6998149641284352,0.0018283078648429452
14,4.503339153936542,-0.06776424153534727,0.005119576259418407,0.6381332810995466,0.5598393617923598,0.7164272004067342,0.0020952244539133662
15,4.499567026283899,-0.07135963812412655,0.0053069588470869905,0.646108913622323,0.5322347209032205,0.7599831063414251,0.0022383647093425886
16,4.495893376723808,-0.07531816139827158,0.005499802179046777,0.6611310246785371,0.5642106189554643,0.7580514304016104,0.002421152724963261
17,4.4923632609502695,-0.07966021634743398,0.00569825154914034,0.6609802051528755,0.5752664717405604,0.7466939385651896,0.002503491372914656
18,4.489028714733562,-0.08440150031492344,0.00590248357355749,0.6511190386311547,0.5618380976425166,0.7403999796197938,0.002518076409371559
19,4.485969565390191,-0.08956576129817889,0.006112455145321264,0.6474589621202105,0.5571876411102523,0.7377302831301686,0.002578963477298528
20,4.483281026974003,-0.09516799026848638,0.006328552779177644,0.6434312104004007,0.5669871849384993,0.7198752358623031,0.002632371773541572
21,4.481053443757843,-0.10120204932039445,0.006550404457234661,0.6385250953276227,0.5798166072967268,0.6972335833585195,0.002678219281075991
22,4.479370580409264,-0.10764203744118384,0.0067788220511657525,0.6219361511179811,0.593412875388271,0.6504594268476902,0.002623917754890919
23,4.478289148478487,-0.1144446996821602,0.007013122660347946,0.590200517866923,0.5933417127503162,0.5870593229835306,0.0024429507290008967
24,4.477841266160818,-0.12155635449744517,0.007254074070134835,0.5497695053350808,0.5713594049698933,0.5281796057002701,0.0021936456624748065
25,4.4780647807639316,-0.12892264234671547,0.007501097234836473,0.5094664616184916,0.5520174100621134,0.4669155131748699,0.0019514824805688554
26,4.478971658119997,-0.1364899211566774,0.007755652578202189,0.4545803076125017,0.5233753043328475,0.3857853108921576,0.0016148884940152231
27,4.480535044171949,-0.1442129883982013,0.008015077841322242,0.3975234464181776,0.46326496591280364,0.33178192692355424,0.0012781287127475562
28,4.4827889952356585,-0.15203662627993614,0.008283549778027494,0.37713092747685906,0.44994782409191103,0.30431403086180886,0.0011927911579695423
29,4.485743975121334,-0.15991561150747963,0.008556896931520343,0.3412226989240885,0.4266653587586413,0.25578003908953484,0.0010171276443830574
30,4.489351417540198,-0.1678245794391281,0.008838561224726408,0.3055494327745101,0.3905502658499751,0.2205485996990455,0.0008464587240305867
31,4.493600167425477,-0.17573353320504947,0.009126247161426038,0.2802043797346716,0.3639738183068246,0.19643494116251636,0.0007378899438982133
32,4.498480309785182,-0.18361508658828052,0.009422252778575248,0.26078075868020223,0.3471593435493694,0.1744021738110355,0.00066420937343903
33,4.503955267413312,-0.19146455889774344,0.009724094294166019,0.2277231988996271,0.3095894724860102,0.14585692531324446,0.000525994582841041
34,4.510012133248441,-0.19926515791616467,0.010034732897091956,0.2198150809268249,0.2996834642574058,0.13994669759624312,0.0005062019941721983
35,4.516634654558697,-0.20701096038830596,0.010351586648826211,0.19114981578487722,0.26879062082963046,0.11350901074012487,0.00039902899690080214
36,4.5237932553842075,-0.21470860815416454,0.010676728422714525,0.1757380064781353,0.24842812974866169,0.10304788320760849,0.0003485432043593627
37,4.53148701043296,-0.2223461086399472,0.01100903792562693,0.161953720622944,0.2315707531869431,0.09233668805894402,0.000306541355027239
38,4.539701863475738,-0.22992579659542683,0.011349276983064946,0.1477864174858139,0.21405184906056807,0.08152098591105972,0.00026448953945478875
39,4.548425669258159,-0.23745204240377488,0.011697013449168571,0.1338059101016733,0.19601936087966987,0.07159245932367586,0.00022451473051699833
40,4.55765623900478,-0.2449204027938724,0.012052877824504057,0.12780070742399952,0.1870725526173982,0.06852886223060173,0.00021097443356102012
41,4.567386037660775,-0.2523358806069057,0.012416306997172138,0.11414703783880142,0.1699659736196497,0.05832810205795269,0.00017467423061528827
42,4.577611684253744,-0.25969934343997314,0.012788001622677769,0.11138599197928656,0.1641848344533683,0.058587149505205716,0.00017054179304730523
43,4.588332900666659,-0.26701054153710974,0.01316749478010973,0.10212168862576654,0.1522303197507089,0.052013057500823745,0.00014834233098884447
44,4.599543556972867,-0.2742785434680432,0.013555225304469646,0.0959835433814824,0.14340201626387783,0.04856507049908698,0.00013504182367398313
45,4.611242367800045,-0.2815080993166488,0.01395103153076667,0.08693063103704857,0.1319066124019277,0.041954649672170774,0.00011483392947887339
46,4.623427312486973,-0.2887065037566923,0.014355058892950015,0.07934247042644049,0.12176094177452512,0.03692399907835586,9.897817677157969e-05
47,4.6361037083696095,-0.2958701913079526,0.01476735329264988,0.07636605648722083,0.11656115992819815,0.03617095304624329,9.40728156989935e-05
48,4.649275926308451,-0.3029979452604997,0.015187930901033288,0.0727346938342186,0.11094797159574377,0.03452141607269321,8.774200150028423e-05
49,4.662944826434051,-0.31009576002561196,0.01561686265709035,0.0684573178672474,0.10476141334628464,0.0321532223882095,8.004787586397847e-05
50,4.677112661865303,-0.3171683136911763,0.016054167651364425,0.06440572660378696,0.09887356039117412,0.02993789281639958,7.295187392732433e-05
51,4.691784118910527,-0.3242163911529241,0.01649989378055822,0.0621034820685773,0.09487140538431893,0.029335558752835444,6.954300570564237e-05
52,4.706964534955199,-0.331240124996206,0.016954060923645292,0.06019875977519584,0.09140645688562055,0.02899106266477025,6.694363171016588e-05
53,4.722658171816929,-0.3382425545961654,0.017416694644865345,0.05807943958133266,0.08782461689240417,0.028334262270261146,6.38869873841877e-05
54,4.738868947770906,-0.34522832945736076,0.01788782171906141,0.055339237292852284,0.08373092584743747,0.026947548738267102,5.9586609068346114e-05
55,4.755600174128782,-0.3522044693995146,0.018367442420108758,0.05111602391865544,0.07819760476675008,0.02403444307056013,5.248163440215522e-05
56,4.772856599771268,-0.359175402219588,0.018855583077128948,0.047755252362368106,0.07360893612672403,0.02190156859801151,4.720247177389288e-05
57,4.790644291618328,-0.366143021485863,0.019352233920128678,0.044282769192184546,0.0689803715721975,0.01958516681217226,4.1883798004639174e-05
58,4.8089697406541045,-0.37310845352707744,0.01985739974007014,0.04194481250672144,0.06554570455644915,0.0183439204569944,3.862333084600248e-05
59,4.827840516586452,-0.3800702765202409,0.020371077093808126,0.0406379221913753,0.06323769209573848,0.018038152287011666,3.710979938087605e-05
60,4.847262844488622,-0.38703092672774037,0.02089324318415574,0.03840019931923311,0.06004128225167604,0.01675911638679084,3.40703497549596e-05
