benchmark,variant,coefficient,row_count,unique_frequency_count,pass_count,fail_count,reference_frequency_sensitivity_ratio,computed_frequency_sensitivity_ratio,max_gate_error_ratio,median_gate_error_ratio,diagnostic_conclusion,candidate_default_gate_eligible,candidate_exclusion_reason,gate_role,path_diagnostic_status,source_reference
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A33,2,2,0,2,0.3120772946859903,2.6679752769834287e-16,55.67482060092924,45.947139254343014,default_frequency_invariant_despite_reference_variation,False,default path lacks sufficient same-cell frequency sensitivity in this probe,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A33,2,2,0,2,0.3120772946859903,0.20361571721512833,67.4658367165002,63.32564081166373,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A33,2,2,0,2,0.3120772946859903,0.20574530952034456,67.48198716126596,63.411118059586194,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A53,2,2,0,2,0.5,7.964477258373205e-16,368.3915942783591,275.4603623754359,default_frequency_invariant_despite_reference_variation,False,default path lacks sufficient same-cell frequency sensitivity in this probe,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A53,2,2,0,2,0.5,0.2082180693510325,425.3702694606372,347.60722179455297,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A53,2,2,0,2,0.5,0.21069120099218522,425.34281304102814,348.0023248204368,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A55,2,2,0,2,0.3453125,1.5083822034081389,367.6265805395154,249.434910152435,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_only,A55,2,2,0,2,0.3453125,0.34192351593386766,1559.1971226905432,1555.1994863176856,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,local_time_phase_with_gradient_correction,A55,2,2,0,2,0.3453125,0.3431679981817854,1556.8909339249124,1554.3602573207174,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
ma2005_wigley_iii_coefficients,default_no_local_time_phase,A35,2,2,0,2,0.4505494505494505,1.2525077323289482,77.53740456685135,42.249591044437956,candidate_is_frequency_sensitive_but_gate_still_fails,False,diagnostic-only; frequency sensitivity alone does not close Gate 1,local_time_phase_frequency_sensitivity_not_hard_gate,INFO,D:\Projects\20260601-Potential-flow-ship\20260717-planningvessel-code\benchmarks\ma2005\journee1992_wigley_iii_forced_coefficients.csv
