benchmark,candidate_name,candidate_order,coefficient_count,row_count,pass_count,fail_count,pass_fraction,improved_row_count,worsened_row_count,improves_but_still_fails_count,improves_this_coefficient_only_count,breaks_currently_passing_coefficient_count,median_gate_error_ratio,max_gate_error_ratio,median_gate_ratio_delta_vs_current,max_gate_ratio_delta_vs_current,median_forward_gradient_component_value,max_abs_forward_gradient_component_value,candidate_default_decision,candidate_exclusion_reason,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,phase_aligned_forward,5,8,8,0,8,0.0,4,3,4,0,0,34.23989661749427,79.24297713510938,-7.105427357601002e-15,30.772920413187958,-4.876971065509608e-16,8.683022791085307,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_central,4,8,8,0,8,0.0,4,3,4,0,0,50.39071432739143,111.25682784364768,-7.105427357601002e-15,49.17933438122259,-4.6771675983015e-16,7.372198642799467,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_forward,8,8,8,0,8,0.0,4,2,4,0,0,38.767695602830784,130.34708936453953,-1.3397356130339553,28.28570500380296,0.23175308119351654,7.774099029305508,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,scheme_forward,2,8,8,0,8,0.0,4,2,4,0,0,33.720917228669165,137.05797315786634,-1.2072088925473352,15.608593631410658,0.17185372995896284,7.8635545656339785,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,phase_aligned_backward,6,8,8,0,8,0.0,2,4,2,0,0,63.629940069893536,137.7254442674602,0.7208327906643657,69.99452426793572,0.08122972838233032,5.936560897995455,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_forward,11,8,8,0,8,0.0,4,2,4,0,0,33.64376768155079,137.986542243204,-1.2843584396657057,15.026139271899895,0.16910163311027449,7.8114786213290675,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_zero,13,8,8,0,8,0.0,4,2,4,0,0,35.76951420794987,145.50719559866914,-1.694680208837191,22.9992314056476,0.20677449344223242,7.534511427138321,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,startup_aft_gradient_copy_second,14,8,8,0,8,0.0,4,2,4,0,0,37.99915624022334,146.18317064590738,-2.0800504366375456,28.229255925795258,0.2314863592999301,7.274386523373081,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_fixed_y_central,7,8,8,0,8,0.0,4,2,4,0,0,38.747621996135535,150.12147927329653,-1.1158942736918682,27.797875111728302,0.22944808495346372,7.925191933361417,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,mapped_normalized_y_central,10,8,8,0,8,0.0,4,2,4,0,0,33.973544017792136,154.81754418181535,-0.9545821034243644,15.149284971842063,0.16968349654250123,8.03407764829198,excluded_no_coefficients_pass,Keep diagnostic-only: no stencil or phase-aligned gradient candidate passes the full Wigley III eight-coefficient Gate 1 under the same production route.,diagnostic_pressure_gradient_stencil_phase_exclusion_not_hard_gate,INFO
