benchmark,candidate_name,matrix_cell,pair_key,pair_status,coefficient,reference_value,current_computed_value,candidate_computed_value,current_abs_error,candidate_abs_error,current_gate_error_ratio,candidate_gate_error_ratio,candidate_status,omega_e_sqrt_l_over_g,omega_rad_s,raw_force_real,raw_force_imag,reference_force_real,reference_force_imag,candidate_force_real,candidate_force_imag,candidate_force_to_reference_residual_norm,candidate_operation,paired_coefficients,candidate_default_gate_eligible,candidate_exclusion_reason,diagnostic_conclusion,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,current_ab_split,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,A53,0.15,1.4179137618349493,1.4179137618349493,1.2679137618349494,1.2679137618349494,28.17586137410999,28.17586137410999,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,4446.813880801086,395.2540698065498,8.033395329627819,"A=Re(F)/omega^2, B=-Im(F)/omega; current convention baseline.","A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",current_ab_split_baseline,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,current_ab_split,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,B53,-0.1,-0.2520619032065345,-0.2520619032065345,0.15206190320653448,0.15206190320653448,5.068730106884483,5.068730106884483,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,4446.813880801086,395.2540698065498,8.033395329627819,"A=Re(F)/omega^2, B=-Im(F)/omega; current convention baseline.","A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",current_ab_split_baseline,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,damping_sign_flipped,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,A53,0.15,1.4179137618349493,1.4179137618349493,1.2679137618349494,1.2679137618349494,28.17586137410999,28.17586137410999,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,4446.813880801086,-395.2540698065498,8.095905640193209,Keep A; flip damping sign B -> -B.,"A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,damping_sign_flipped,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,B53,-0.1,-0.2520619032065345,0.2520619032065345,0.15206190320653448,0.3520619032065345,5.068730106884483,11.735396773551152,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,4446.813880801086,-395.2540698065498,8.095905640193209,Keep A; flip damping sign B -> -B.,"A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_sign_flipped,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,A53,0.15,1.4179137618349493,-1.4179137618349493,1.2679137618349494,1.5679137618349492,28.17586137410999,34.84252804077665,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,-4446.813880801086,395.2540698065498,9.928009408039705,Flip added-mass sign A -> -A; keep B.,"A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_sign_flipped,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,B53,-0.1,-0.2520619032065345,-0.2520619032065345,0.15206190320653448,0.15206190320653448,5.068730106884483,5.068730106884483,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,-4446.813880801086,395.2540698065498,9.928009408039705,Flip added-mass sign A -> -A; keep B.,"A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_and_damping_sign_flipped,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,A53,0.15,1.4179137618349493,-1.4179137618349493,1.2679137618349494,1.5679137618349492,28.17586137410999,34.84252804077665,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,-4446.813880801086,-395.2540698065498,9.978658147213533,Flip both A and B signs.,"A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,added_mass_and_damping_sign_flipped,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,B53,-0.1,-0.2520619032065345,0.2520619032065345,0.15206190320653448,0.3520619032065345,5.068730106884483,11.735396773551152,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,-4446.813880801086,-395.2540698065498,9.978658147213533,Flip both A and B signs.,"A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_phase_plus_90_then_current_split,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,A53,0.15,1.4179137618349493,-0.12603095160326724,1.2679137618349494,0.27603095160326724,28.17586137410999,6.134021146739272,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,-395.2540698065498,4446.813880801086,8.825828337466005,"Rotate reconstructed complex generalized force by +90 deg, then apply current A/B split.","A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_improves_this_coefficient_without_gate_closure,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,force_phase_plus_90_then_current_split,53,53:wigley_iii:Fn0.4:omega_bar=2,paired_same_frequency_ab_force_reconstruction,B53,-0.1,-0.2520619032065345,-2.8358275236698987,0.15206190320653448,2.7358275236698986,5.068730106884483,91.19425078899663,FAIL,2.0,3.616010693199528,4446.813880801086,395.2540698065498,470.42500049999995,156.8083335,-395.2540698065498,4446.813880801086,8.825828337466005,"Rotate reconstructed complex generalized force by +90 deg, then apply current A/B split.","A53,B53",false,"diagnostic-only A/B force reconstruction; sign, phase, or split candidates cannot modify matched_bie_station_sweep unless they close the complete eight-row Gate 1 under a traced force and coefficient convention.",candidate_does_not_improve_this_coefficient,diagnostic_ab_force_reconstruction_candidate_not_hard_gate,INFO
