benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,reference_value,computed_value,gate_error_ratio,coefficient_status,station_index,x_m,x_over_l,trapz_weight_m,is_configured_end_station,configured_end_station_index,pressure_gradient_density_value_per_m,stokes_body_forward_density_value_per_m,endpoint_end_equivalent_density_value_per_m,pressure_gradient_station_contribution_value,stokes_body_forward_station_contribution_value,end_contour_station_contribution_value,station_forward_identity_residual_value,station_abs_residual_share_of_total_abs,station_residual_to_pressure_gradient_abs_ratio,station_residual_to_stokes_plus_end_abs_ratio,diagnostic_flags,failure_source,gate_role
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,13,1.05,0.35000000000000003,0.07500000000000001,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,14,1.125,0.375,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,15,1.2,0.39999999999999997,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,16,1.275,0.425,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,17,1.3499999999999999,0.44999999999999996,0.07500000000000007,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,18,1.425,0.47500000000000003,0.07500000000000007,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,19,1.5,0.5,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,20,1.575,0.525,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,21,1.65,0.5499999999999999,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,22,1.7249999999999999,0.575,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,23,1.7999999999999998,0.6,0.07500000000000007,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,24,1.875,0.625,0.07500000000000007,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,25,1.95,0.65,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,26,2.025,0.6749999999999999,0.07500000000000007,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,27,2.1,0.7000000000000001,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,28,2.175,0.725,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,29,2.25,0.75,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,30,2.3249999999999997,0.7749999999999999,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,31,2.4,0.7999999999999999,0.07500000000000018,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,32,2.475,0.8250000000000001,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,33,2.55,0.85,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,34,2.625,0.875,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,35,2.6999999999999997,0.8999999999999999,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,36,2.775,0.9249999999999999,0.07500000000000018,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,37,2.85,0.9500000000000001,0.07499999999999996,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,1.0,A33,1.0,10.186413296463698,61.24275530975799,FAIL,38,2.925,0.975,0.03749999999999987,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,station_forward_identity_closed_or_not_current_gate_failure,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,0,0.075,0.024999999999999998,0.0375,True,0,30.50424375906946,-0.0,13.386875623646421,1.1439091409651048,-0.0,0.5020078358867408,0.641901305078364,0.033654212330937607,0.561147106960609,1.2786678995647887,first_active_station;configured_end_station;near_aft_startup_region,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,1,0.15,0.049999999999999996,0.07499999999999998,False,0,-13.35128921665132,-0.0,0.0,-1.001346691248849,-0.0,0.0,-1.001346691248849,0.05249955701532108,1.0,1.0013466912488488e+300,near_aft_startup_region,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,2,0.22499999999999998,0.075,0.075,False,0,-25.839929112059565,-0.0,0.0,-1.9379946834044672,-0.0,0.0,-1.9379946834044672,0.10160702907989852,1.0,1.937994683404467e+300,peak_abs_forward_identity_residual,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,3,0.3,0.09999999999999999,0.07500000000000001,False,0,13.298206007898884,-0.0,0.0,0.9973654505924164,-0.0,0.0,0.9973654505924164,0.05229082474241227,1.0,9.973654505924164e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,4,0.375,0.125,0.07499999999999998,False,0,-1.0840542821351165,-0.0,0.0,-0.08130407116013372,-0.0,0.0,-0.08130407116013372,0.004262687195905856,1.0,8.130407116013372e+298,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,5,0.44999999999999996,0.15,0.07500000000000001,False,0,-4.414429101745167,-0.0,0.0,-0.33108218263088757,-0.0,0.0,-0.33108218263088757,0.01735829166430794,1.0,3.3108218263088755e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,6,0.525,0.17500000000000002,0.07500000000000001,False,0,-6.068428031534763,-0.0,0.0,-0.4551321023651073,-0.0,0.0,-0.4551321023651073,0.02386209887788189,1.0,4.551321023651073e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,7,0.6,0.19999999999999998,0.07499999999999996,False,0,-6.815661048478835,-0.0,0.0,-0.5111745786359123,-0.0,0.0,-0.5111745786359123,0.02680034714291533,1.0,5.111745786359123e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,8,0.6749999999999999,0.22499999999999998,0.07500000000000001,False,0,-6.502221277635289,-0.0,0.0,-0.4876665958226467,-0.0,0.0,-0.4876665958226467,0.025567848254362535,1.0,4.876665958226467e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,9,0.75,0.25,0.07500000000000001,False,0,-4.5899725303025445,-0.0,0.0,-0.3442479397726909,-0.0,0.0,-0.3442479397726909,0.018048558505709227,1.0,3.442479397726909e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,10,0.825,0.27499999999999997,0.07499999999999996,False,0,-0.5273972833909051,-0.0,0.0,-0.039554796254317855,-0.0,0.0,-0.039554796254317855,0.0020738164906632744,1.0,3.9554796254317854e+298,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,11,0.8999999999999999,0.3,0.07500000000000001,False,0,5.556314041581878,-0.0,0.0,0.4167235531186409,-0.0,0.0,0.4167235531186409,0.021848378915891704,1.0,4.167235531186409e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,12,0.975,0.325,0.07500000000000007,False,0,12.281148426436138,-0.0,0.0,0.9210861319827112,-0.0,0.0,0.9210861319827112,0.04829158005379637,1.0,9.210861319827112e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,13,1.05,0.35000000000000003,0.07500000000000001,False,0,17.49235175509765,-0.0,0.0,1.3119263816323241,-0.0,0.0,1.3119263816323241,0.06878292450990237,1.0,1.3119263816323241e+300,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,14,1.125,0.375,0.07499999999999996,False,0,19.687786185538965,-0.0,0.0,1.4765839639154215,-0.0,0.0,1.4765839639154215,0.07741574888993331,1.0,1.4765839639154214e+300,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,15,1.2,0.39999999999999997,0.07499999999999996,False,0,18.915285137364663,-0.0,0.0,1.4186463853023488,-0.0,0.0,1.4186463853023488,0.0743781423962891,1.0,1.4186463853023487e+300,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,16,1.275,0.425,0.07499999999999996,False,0,16.31193607450911,-0.0,0.0,1.2233952055881825,-0.0,0.0,1.2233952055881825,0.06414132778323202,1.0,1.2233952055881824e+300,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,17,1.3499999999999999,0.44999999999999996,0.07500000000000007,False,0,13.107174638786761,-0.0,0.0,0.983038097909008,-0.0,0.0,0.983038097909008,0.05153965666480758,1.0,9.83038097909008e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,18,1.425,0.47500000000000003,0.07500000000000007,False,0,10.071959373944273,-0.0,0.0,0.7553969530458211,-0.0,0.0,0.7553969530458211,0.03960467014293387,1.0,7.553969530458211e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,19,1.5,0.5,0.07499999999999996,False,0,7.515216464714168,-0.0,0.0,0.5636412348535623,-0.0,0.0,0.5636412348535623,0.029551118912147893,1.0,5.636412348535623e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,20,1.575,0.525,0.07499999999999996,False,0,5.487351571495815,-0.0,0.0,0.41155136786218594,-0.0,0.0,0.41155136786218594,0.021577206666421937,1.0,4.1155136786218595e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,21,1.65,0.5499999999999999,0.07499999999999996,False,0,3.9562307350823853,-0.0,0.0,0.2967173051311787,-0.0,0.0,0.2967173051311787,0.015556577171827396,1.0,2.9671730513117873e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,22,1.7249999999999999,0.575,0.07499999999999996,False,0,2.898324869513656,-0.0,0.0,0.21737436521352407,-0.0,0.0,0.21737436521352407,0.011396710030532848,1.0,2.1737436521352405e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
ma2005_wigley_iii_coefficients,1,wigley_iii,Fn0.4,2.0,B33,2.1,9.180428403990165,22.477550488857666,FAIL,23,1.7999999999999998,0.6,0.07500000000000007,False,0,2.3145702537462944,-0.0,0.0,0.17359276903097223,-0.0,0.0,0.17359276903097223,0.009101286851832363,1.0,1.735927690309722e+299,none,station_forward_identity_not_closed,diagnostic_station_forward_identity_localization_not_hard_gate
