frequency,component,mode,relative_complex_change,phase_change_deg,within_screening
2,incident,heave,1.5550412473978775e-05,-2.12847247977034e-15,True
2,incident,geometric_pitch,0.00014227788628717102,-1.562578350648937e-14,True
2,diffraction,heave,0.09705145350025474,4.218124673733924,False
2,diffraction,geometric_pitch,0.46283514853284946,21.77692103847359,False
2,total,heave,0.0155700547960833,0.8882450204641513,True
2,total,geometric_pitch,0.034047279363144264,0.1052766869865636,True
3,incident,heave,3.8309986455689806e-05,-2.738700333187953e-14,True
3,incident,geometric_pitch,8.604463151452922e-05,-2.558743072974839e-15,True
3,diffraction,heave,0.11835380450945765,5.122124326391266,False
3,diffraction,geometric_pitch,0.23125686010016105,9.132671042955122,False
3,total,heave,0.028394287921035172,1.6270912712938148,True
3,total,geometric_pitch,0.03199886338200867,-0.31544506558530844,True
4,incident,heave,0.00020157000244961257,-4.021703034904384e-14,True
4,incident,geometric_pitch,3.856909293980508e-05,-1.0796351137091704e-14,True
4,diffraction,heave,0.22129120404317607,11.30288730106619,False
4,diffraction,geometric_pitch,0.14237432659152868,5.667955444199674,False
4,total,heave,0.09059381703632957,5.169281519243909,False
4,total,geometric_pitch,0.027158553489723864,-0.1093775211021218,True
