reuse_step,step_factor,source_objective,source_curvature_energy,source_maximum_turning_angle_deg,candidate_objective,relative_decrease,maximum_displacement_ratio,condition_number,root_relative_mismatch,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,accepted,rejection_reason,outer_shape_dipole_coefficient
1,0.5,0.05795017559870602,21.333968355761012,15.772522148827084,0.05361168620292313,0.07486585417490553,0.12508876251608086,93821.71256334452,0.0018543207953930175,21.326418268759834,0.9996461002062403,15.77152338590509,True,,7.766690536096039
2,0.5,0.05361168620292313,21.326418268759834,15.77152338590509,0.04946187885884719,0.07740490251264799,0.12508836758663167,93801.86998338158,0.00177173354634577,21.318873704889725,0.9996462338975522,15.77033504173403,True,,7.765041195591055
3,0.5,0.04946187885884719,21.318873704889725,15.77033504173403,0.045500193909531916,0.08009572302380605,0.12508795191712607,93782.02599825343,0.001689114192405816,21.311334572933127,0.9996463634964511,15.769144306550169,True,,7.763179320914482
4,0.5,0.045500193909531916,21.311334572933127,15.769144306550169,0.0417265483273231,0.08293691208683547,0.1250875294249929,93762.1805678892,0.0016064704512363348,21.30380088280769,0.9996464937425831,15.767951925671206,True,,7.761257421306126
5,0.5,0.0417265483273231,21.30380088280769,15.767951925671206,0.038140899975323904,0.08593206233766686,0.1250871001493216,93742.33368985634,0.0015238029341220897,21.296272638215886,0.99964662434496,15.766757898939717,True,,7.759288644900408
6,0.5,0.038140899975323904,21.296272638215886,15.766757898939717,0.03474321015208877,0.08908258130860429,0.12508666408760769,93722.48536527902,0.001441111652036956,21.28874984291672,0.9996467553065757,15.765562223526416,True,,7.757274143571579
7,0.5,0.03474321015208877,21.28874984291672,15.765562223526416,0.031533440509586265,0.09238552305476964,0.1250862212370313,93702.63559774458,0.0013583965633500255,21.281232500792342,0.9996468866335578,15.764364896613587,True,,7.7552140325204
8,0.5,0.031533440509586265,21.281232500792342,15.764364896613587,0.028511552795599283,0.09583120855678016,0.12508577159445475,93682.78438944793,0.0012756576179502022,21.273720615850433,0.9996470183321559,15.763165915367386,True,,7.753108337372006
9,0.5,0.028511552795599283,21.273720615850433,15.763165915367386,0.025677508837020628,0.09939984605174103,0.12508531515654497,93662.93174323333,0.0011928947690405315,21.266214192223902,0.9996471504086155,15.761965276956845,True,,7.750957075393239
10,0.5,0.025677508837020628,21.266214192223902,15.761965276956845,0.02303127053596307,0.10305666012437847,0.12508485191969773,93643.07766125571,0.0011101079664974365,21.258713234171058,0.9996472828692007,15.760762978545706,True,,7.748760263584354
11,0.5,0.02303127053596307,21.258713234171058,15.760762978545706,0.020572799875183446,0.10674489958948416,0.12508438188003948,93623.22214649763,0.0010272971604538329,21.251217746078122,0.9996474157203039,15.759559017317239,True,,7.74651791778662
12,0.5,0.020572799875183446,21.251217746078122,15.759559017317239,0.01830205891366961,0.11037588346217198,0.12508390503353056,93603.36520146167,0.0009444623065657131,21.24372773245818,0.9996475489682786,15.758353390420407,True,,7.7442300541828555
13,0.5,0.01830205891366961,21.24372773245818,15.758353390420407,0.01621900979294359,0.11381501559751925,0.12508342137581607,93583.50682853092,0.0008616033498438554,21.236243197954973,0.9996476826196671,15.757146095030429,True,,7.741896688599639
14,0.5,0.01621900979294359,21.236243197954973,15.757146095030429,0.014323614733698593,0.11686256334031106,0.12508293090227332,93563.64703094098,0.0007787202419682045,21.228764147340268,0.9996478166808984,15.755937128315574,True,,7.739517836584631
15,0.5,0.014323614733698593,21.228764147340268,15.755937128315574,0.012615836041025657,0.11922819235392544,0.12508243360808513,93543.78581063765,0.0006958129347417166,21.221290585518094,0.9996479511586118,15.754726487436617,True,,7.73709351365514
16,0.5,0.012615836041025657,21.221290585518094,15.754726487436617,0.011095636103561289,0.12049934166239983,0.12508192948818816,93523.92317041717,0.0006128813743931311,21.21382251752332,0.9996480860593902,15.753514169559226,True,,7.734623734978434
17,0.5,0.011095636103561289,21.21382251752332,15.753514169559226,0.009762977394386299,0.12010656232203361,0.1250814185371983,93504.05911290314,0.0005299255146790966,21.20635994852513,0.9996482213899911,15.75230017184975,True,,7.732108515169213
18,0.5,0.009762977394386299,21.20635994852513,15.75230017184975,0.00861782247419379,0.11729566442005394,0.12508090074953207,93484.19364092426,0.00044694530145509567,21.19890288382665,0.9996483571571652,15.751084491459407,True,,7.729547869246588
19,0.5,0.00861782247419379,21.19890288382665,15.751084491459407,0.007660133992017845,0.11112882460085009,0.12508037611934758,93464.32675686454,0.0003639406863060844,21.19145132886651,0.9996484933677475,15.74986712555734,True,,7.7269418114777615
20,0.5,0.007660133992017845,21.19145132886651,15.74986712555734,0.006889874686834672,0.10055428612421305,0.12507984464052208,93444.45846319424,0.00028091161617716486,21.184005289220785,0.9996486300286767,15.748648071308676,True,,7.724290356313266
21,0.5,0.006889874686834672,21.184005289220785,15.748648071308676,0.006307007389012768,0.08459766313829484,0.12507930630665343,93424.58876252669,0.00019785804027953793,21.176564770603648,0.9996487671469322,15.747427325859704,True,,7.721593517439798
22,0.5,0.006307007389012768,21.176564770603648,15.747427325859704,0.005911495020449105,0.06270998972550311,0.1250787611111535,93404.71765744759,0.00011477990860681416,21.169129778869678,0.9996489047296145,15.74620488638367,True,,7.718851308722477
23,0.5,0.005911495020449105,21.169129778869678,15.74620488638367,0.005703300599551582,0.0352185733350591,0.1250782090470898,93384.84515092972,3.167716635295663e-05,21.161700320013896,0.9996490427838371,15.744980750028127,True,,7.716063743879984
24,0.25,0.005703300599551582,21.161700320013896,15.744980750028127,0.005669385996222253,0.005946487080129564,0.06253886163440052,93374.90921853599,9.961795214665408e-06,21.157987855623833,0.9998245668195882,15.744373353637583,True,,7.713230835920843
