benchmark,source_row,hull,speed_case,omega_e_sqrt_l_over_g,coefficient,candidate_name,candidate_order,candidate_description,candidate_is_current_default,reference_value,computed_value,raw_computed_value,raw_to_reference_raw_ratio,abs_error,rel_error,tolerance,near_zero_abs_tolerance,effective_abs_tolerance,gate_error_ratio,current_default_gate_error_ratio,gate_ratio_delta_vs_current,candidate_gate_status,time_component_value,time_component_raw,forward_gradient_component_value,forward_gradient_component_raw,end_component_value,end_component_raw,gate_role,current_default_candidate_gate_status,current_default_gate_error_ratio_by_coefficient,stencil_phase_row_decision,candidate_default_gate_eligible,candidate_exclusion_reason
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,current_default,0,Current matched-BIE forward-speed pressure-gradient force matrix.,True,1.07,0.6608179990729434,52.83239902588182,0.6175869150214424,0.4091820009270567,0.38241308497855764,0.15,0.0,0.1605,2.5494205665237177,0.323050389619709,2.226370176904009,FAIL,1.0181504124660368,81.40112547665964,-0.3573324133930934,-28.56872645077782,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,baseline_current_default,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,scheme_central,1,Recomputes only the forward-speed pressure term with a central body-potential x-gradient.,False,1.07,0.9894635525477953,79.10761102619624,0.9247322921007433,0.08053644745220478,0.0752677078992568,0.15,0.0,0.1605,0.5017847193283788,0.323050389619709,0.17873432970866976,PASS,1.0181504124660368,81.40112547665964,-0.028686859918241412,-2.293514450463401,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,scheme_forward,2,Recomputes only the forward-speed pressure term with a forward body-potential x-gradient.,False,1.07,1.011933170857529,80.90405701005945,0.9457319353808682,0.05806682914247108,0.05426806461913185,0.15,0.0,0.1605,0.36178709746087895,0.323050389619709,0.03873670784116995,PASS,1.0181504124660368,81.40112547665964,-0.006217241608507667,-0.497068466600188,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,scheme_backward,3,Recomputes only the forward-speed pressure term with a backward body-potential x-gradient.,False,1.07,0.9670315006081699,77.31416847362318,0.9037677575777288,0.10296849939183017,0.09623224242227119,0.15,0.0,0.1605,0.6415482828151412,0.323050389619709,0.3184978931954322,PASS,1.0181504124660368,81.40112547665964,-0.05111891185786687,-4.086957003036456,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,phase_aligned_central,4,Phase-aligns adjacent body-potential states before applying the central x-gradient; this diagnoses station-to-station phase flips without changing the BIE solution.,False,1.07,1.0067051793653354,80.48607909025857,0.9408459620236779,0.06329482063466463,0.05915403797632208,0.15,0.0,0.1605,0.3943602531754805,0.323050389619709,0.07130986355577151,PASS,1.0181504124660368,81.40112547665964,-0.01144523310070132,-0.9150463864010705,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,phase_aligned_forward,5,Phase-aligns adjacent body-potential states before applying the forward x-gradient; this isolates one-sided start-up sensitivity from phase wrapping.,False,1.07,1.0049135141050578,80.34283545269938,0.9391715085093998,0.06508648589494226,0.06082849149060024,0.15,0.0,0.1605,0.4055232766040016,0.323050389619709,0.08247288698429261,PASS,1.0181504124660368,81.40112547665964,-0.013236898360978841,-1.0582900239602584,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,phase_aligned_backward,6,Phase-aligns adjacent body-potential states before applying the backward x-gradient; this checks whether upstream differencing reduces the first active pair spike.,False,1.07,1.0084593365571555,80.62632395774457,0.9424853612683695,0.06154066344284459,0.05751463873163046,0.15,0.0,0.1605,0.3834309248775364,0.323050389619709,0.060380535257827384,PASS,1.0181504124660368,81.40112547665964,-0.0096910759088812,-0.7748015189150519,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,mapped_fixed_y_central,7,Interpolates adjacent station body potentials to the target station's fixed physical y-coordinate before applying a central x-gradient.,False,1.07,1.0280165115693018,82.18992009996569,0.9607630949245811,0.04198348843069821,0.03923690507541889,0.15,0.0,0.1605,0.2615793671694593,0.323050389619709,-0.06147102245024971,PASS,1.0181504124660368,81.40112547665964,0.009866099103265287,0.7887946233060598,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,mapped_fixed_y_forward,8,Interpolates adjacent station body potentials to the target station's fixed physical y-coordinate before applying a forward x-gradient.,False,1.07,1.0574625925147993,84.5441342715582,0.9882827967428031,0.012537407485200713,0.011717203257196928,0.15,0.0,0.1605,0.07811468838131286,0.323050389619709,-0.24493570123839614,PASS,1.0181504124660368,81.40112547665964,0.03931218004876242,3.1430087948985554,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
ma2005_wigley_iii_coefficients,0,wigley_iii,Fn0.4,2.0,A33,mapped_fixed_y_backward,9,Interpolates adjacent station body potentials to the target station's fixed physical y-coordinate before applying a backward x-gradient.,False,1.07,0.9984893528718729,79.82922376210624,0.9331676195064231,0.07151064712812716,0.06683238049357677,0.15,0.0,0.1605,0.4455492032905119,0.323050389619709,0.1224988136708029,PASS,1.0181504124660368,81.40112547665964,-0.01966105959416387,-1.5719017145534013,0.0,0.0,diagnostic_startup_pressure_gradient_candidate_not_hard_gate,FAIL,2.3691352041526628,improves_this_coefficient_only,false,diagnostic-only until one traceable stencil/phase convention passes every Ma 2005 Wigley III coefficient
