benchmark,coefficient,mode_column,generalized_row,station_count,peak_body_potential_station_index,peak_body_potential_x_over_l,peak_body_potential_norm,peak_time_density_station_index,peak_time_density_x_over_l,peak_time_derivative_density_abs_per_m,peak_pressure_gradient_station_index,peak_pressure_gradient_x_over_l,peak_pressure_gradient_density_abs_per_m,peak_total_density_station_index,peak_total_density_x_over_l,peak_total_density_abs_per_m,max_body_potential_to_body_normal_velocity_gain,max_body_potential_norm_to_beam_squared_ratio,max_body_potential_norm_to_submerged_area_ratio,max_body_potential_x_gradient_gain_times_l,max_body_pressure_forward_to_time_norm_ratio,dominant_force_density_component,dominant_force_density_component_station_count,gate_role,path_diagnostic_status
ma2005_wigley_iii_coefficients,A33,heave,heave_force,78,15,0.39999999999999997,2.2360489291784615,19,0.5,0.6703518053797167,21,0.5499999999999999,0.34299686166935317,15,0.39999999999999997,0.35651856087906375,1.3036981107219343,1184.3178566863307,327.152411777462,48.78996096261481,9.725907875528648,time_derivative_density,69,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B33,heave,heave_force,39,15,0.39999999999999997,2.2360489291784615,13,0.35000000000000003,1.2777321626211997,10,0.27499999999999997,0.5583058256626796,17,0.44999999999999996,0.8121126073553213,1.1833264334100257,1184.3178566863307,327.152411777462,48.78996096261481,8.751562504504902,time_derivative_density,26,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A53,heave,pitch_moment,78,15,0.39999999999999997,2.2360489291784615,28,0.725,0.09331857299087183,1,0.049999999999999996,0.058116265278586855,8,0.22499999999999998,0.07026652454273921,1.3036981107219343,1184.3178566863307,327.152411777462,48.78996096261481,9.725907875528648,stokes_body_forward_density,41,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B53,heave,pitch_moment,39,15,0.39999999999999997,2.2360489291784615,7,0.19999999999999998,0.3018617538609248,5,0.15,0.16578971240780785,31,0.7999999999999999,0.1601483538525583,1.1833264334100257,1184.3178566863307,327.152411777462,48.78996096261481,8.751562504504902,stokes_body_forward_density,16,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A35,pitch,heave_force,39,27,0.7000000000000001,1.2693585989576912,25,0.65,0.12993480165141275,10,0.27499999999999997,0.05120245234861248,29,0.75,0.09889209114064232,0.38813565405524053,591.7107283573984,163.45239646926268,46.9437997339773,8.420412508336737,time_derivative_density,27,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B35,pitch,heave_force,39,27,0.7000000000000001,1.2693585989576912,6,0.17500000000000002,0.09418781768929316,17,0.44999999999999996,0.2539268593978755,16,0.425,0.2488562578325967,0.38813565405524053,591.7107283573984,163.45239646926268,46.9437997339773,8.420412508336737,pressure_gradient_density,28,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,A55,pitch,pitch_moment,39,27,0.7000000000000001,1.2693585989576912,29,0.75,0.026842800679482907,8,0.22499999999999998,0.01309821132196916,32,0.8250000000000001,0.028332915735150385,0.38813565405524053,591.7107283573984,163.45239646926268,46.9437997339773,8.420412508336737,time_derivative_density,24,diagnostic_body_potential_source_audit_not_hard_gate,INFO
ma2005_wigley_iii_coefficients,B55,pitch,pitch_moment,39,27,0.7000000000000001,1.2693585989576912,4,0.125,0.03299037284270529,2,0.075,0.040753909645731674,10,0.27499999999999997,0.03947900429196574,0.38813565405524053,591.7107283573984,163.45239646926268,46.9437997339773,8.420412508336737,pressure_gradient_density,19,diagnostic_body_potential_source_audit_not_hard_gate,INFO
