benchmark,coefficient,source_row,station_index,x_m,x_over_l,body_normal_velocity_norm,inner_free_surface_normal_derivative_norm,body_potential_norm,free_surface_potential_norm,control_potential_norm,inner_free_surface_normal_derivative_to_body_normal_velocity_ratio,body_potential_to_inner_free_surface_normal_derivative_gain,body_potential_to_body_normal_velocity_gain,free_surface_potential_to_body_potential_ratio,control_potential_to_body_potential_ratio,time_derivative_density_value_per_m,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,required_global_scale_to_reference_from_time_integral,diagnostic_flags,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,1.0702187802957153,1.7496763171119665,1.395242201930657,1.5572099527660632,1.427118770703091,1.6348772319511233,0.7974287519840572,1.3036981107219343,1.1160857595987883,1.022846620270176,-0.006982083836406609,0.0,-0.0,0.0,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,peak_body_potential_to_body_velocity_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,0,0.075,0.024999999999999998,1.1932939400297224,2.0914585363852036,1.4120562620651687,1.632017185119383,1.4418619648168693,1.7526767431108465,0.6751538400114364,1.1833264334100257,1.1557734836517886,1.0211080135773833,-0.01560181373762978,0.0375,-0.0005850680151611167,0.0006089920809353227,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,peak_free_normal_to_body_velocity_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,2.0107297107905167,1.7641896163678865,1.582375243503695,1.5758459239910168,1.4218081822216668,0.8773877497807981,0.8969417055982276,0.7869656647593801,0.9958737224059313,0.8985278226885675,-0.0019764518644322534,0.0375,-7.41169449162095e-05,7.714766718987591e-05,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,1,0.15,0.049999999999999996,2.2419636275314256,2.1224871500141615,1.5815116988649836,1.6499675943495793,1.4340439120296544,0.9467090027464822,0.7451219192796674,0.7054136291257987,1.0432851021802274,0.9067551716872132,-0.02197679265473377,0.03749999999999999,-0.0008241297245525161,0.000857829282938464,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,2.811745077359882,1.785077242460964,1.6821424000811611,1.589720314129372,1.4138252006962646,0.6348645390488533,0.9423359169388694,0.5982556575365738,0.9450569191125973,0.8404907935428353,0.01669749420895202,0.03749999999999999,0.0006261560328357006,0.000651760232221565,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,2,0.22499999999999998,0.075,3.1350957612562684,2.157161879236976,1.6666188292659305,1.6635606048183464,1.4242826004210571,0.6880688959792975,0.7725979423739128,0.5316006132450951,0.9981650126628347,0.854594089188581,-0.014522513168738645,0.037500000000000006,-0.0005445942438276993,0.0005668632931894217,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,3.4822803916969276,1.8106015065842074,1.7632685620540953,1.5986723411239145,1.4029328030518562,0.5199470757442065,0.9738578895698545,0.5063545618722702,0.9066527785543702,0.7956432918066259,0.04623755852755183,0.037500000000000006,0.0017339084447831937,0.0018048098418934442,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,3,0.3,0.09999999999999999,3.8827426367420736,2.193814978247553,1.737522371649123,1.6726216865546415,1.4123647305749243,0.5650168407989915,0.7920095308297502,0.44749872299211696,0.9626475686566943,0.8128613211664238,0.004243820712850867,0.037500000000000006,0.0001591432767319075,0.00016565081794317737,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,4.039379866597088,1.8389363446407991,1.8365858838042304,1.6025107101110088,1.3889560234695557,0.4552521439856515,0.998721836759919,0.454670257430241,0.8725487461504563,0.7562706627105986,0.08411510025828241,0.03749999999999998,0.0031543162596855885,0.0032832996730902406,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,1,4,0.375,0.125,4.503908551255753,2.2308782804403835,1.804812466961483,1.6769432816274554,1.3981059973824292,0.4953205099642583,0.8090143163728352,0.40072138375417854,0.9291509851163078,0.7746544435922642,0.03197400300792958,0.037500000000000006,0.0011990251127973594,0.0012480545502647098,0.941,0.8954918095166653,0.3224101344905041,PASS,0.8954918095166653,0.956659491055703,0.9836310712410093,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
