case,frequency_index,omega,wavenumber,q3_real,q3_imag,F3_real,F3_imag,A33,B33,A35,B35,q5_real,q5_imag,F5_real,F5_imag,A53,B53,A55,B55
fn167,0,16.734,3.2590219527589674,-0.057208232351285776,0.24988872174502066,497.6022407754533,-2872.871551471727,64.98308980475369,390.25948489645145,11.42116818493255,-349.99794264426544,-0.4391077680447609,-0.12706747029389034,2047.7380067296604,23.268992233471124,8.466246285489259,94.26939425595673,10.778654424451657,32.41782169791281
fn167,1,13.7884,2.576885664439888,-0.12841343588561216,0.5393108846620218,398.2402797254924,-4074.4728422026687,64.94618573042672,415.0843297465176,13.975068046014794,-346.23341716979894,-0.7382493655938096,-0.1117497523939826,1912.7661252011012,-397.6249188719422,8.48916047289439,94.18878385132732,11.347005272257581,33.30886570607164
fn167,2,11.104800000000001,1.9725359002056604,-0.3790621056671643,1.291442996118424,135.68496622895168,-4916.617795899811,65.13665261505008,433.7797331277952,18.555067240704858,-343.97983135579017,-1.464817576824634,-0.07251370009600305,1564.0648296453337,-715.7736966341166,8.411858592163213,94.51621041538188,12.230781597081423,34.48744752852519
fn167,3,9.86,1.6993368978428782,-0.9609109672303535,2.4053507294981067,-14.25930603507004,-5196.044869010965,65.30824375577997,440.4829015294028,22.082465102256254,-343.8269072448355,-2.640026206999249,-0.18465205216324482,1351.6365819364057,-823.0727105905632,8.34153103448633,94.99692496644185,12.906137172047467,35.300703025526985
fn167,4,8.6966,1.4490864561878758,-7.33721373192268,5.280362034985199,-155.7385634223117,-5388.074917088383,65.50937513387657,445.4788081905852,26.813433697785396,-344.275087329492,-7.521829851826419,-4.97807678979915,1136.6036054228298,-896.2371945710031,8.259296991825693,95.66098614506498,13.834349201939833,36.22581430167898
fn167,5,7.5978,1.2181075901891778,-1.1074287162402217,-4.67750448891057,-280.9070397362091,-5508.566116457823,65.72569638293072,449.0869165385566,33.36235033750642,-345.18349458224986,4.040649973229862,-2.7292346976430504,927.1690875070462,-941.0438188580099,8.171099353350458,96.45701710456613,15.160073750948763,37.22109127566218
fn167,6,6.5604,1.0058109838842562,-0.15992773604458063,-2.147311645558254,-383.395126613039,-5570.79346567297,65.9423669076429,451.5786510919407,42.715990160593584,-346.3871388906628,2.1249020191702432,-0.7533157292912716,730.7745847044293,-962.8789274754188,8.082975942217022,97.31785671319285,17.11100287168119,38.22860617302135
fn167,7,5.601,0.8155674217941496,-0.16258917597834083,-1.4127653632350974,-458.00310414553167,-5587.804086424235,66.14301070219943,453.1931537159018,56.28247829410722,-347.6953615176052,1.442905651248901,-0.25431671792644833,555.8676433544525,-967.3593302855313,8.001532019345028,98.16047575279251,20.009404213600178,39.17388553075239
fn226,0,20.646,3.259236620385745,0.013388029349392466,0.17504999254957468,-308.87271834422626,-3439.2457264955997,56.414071520131124,360.2036324636748,4.557297947655408,-450.128432226658,-0.2654518822929499,0.046668435493868905,1462.7415521896671,-431.66681271558946,2.1429627598908936,76.21795686545208,6.400156907628278,43.940068123532406
fn226,1,16.8796,2.5766950424428487,0.04213932729331509,0.3354654130548601,-571.444159670016,-4177.701523855603,56.1225749192048,384.1157996187598,6.754050135969697,-448.2262785052879,-0.39218994902999516,0.1315687285748927,1211.3792119962109,-523.0254961537021,2.1977712791763833,74.04458275571652,6.786217692748967,44.58057580966057
