case,omega,component,absolute_difference,tolerance,passed
fn167,16.734,A33,8.326672684688674e-17,2.059395469082755e-09,True
fn167,16.734,A35,8.500145032286355e-17,2.13353165879394e-10,True
fn167,16.734,A53,5.551115123125783e-17,2.2674395938190598e-10,True
fn167,16.734,A55,4.5102810375396984e-17,2.16005178476029e-10,True
fn167,16.734,B33,2.220446049250313e-16,4.3778797480724195e-09,True
fn167,16.734,B35,2.7755575615628914e-17,1.3389159456029963e-09,True
fn167,16.734,B53,2.7755575615628914e-17,1.6384697699580262e-09,True
fn167,16.734,B55,8.500145032286355e-17,1.68595877381921e-10,True
fn167,16.734,F3,9.437916079723832e-17,3.624068102022002e-09,True
fn167,16.734,F5,1.1509795486941974e-16,1.437032650377033e-09,True
fn167,13.7884,A33,2.7755575615628914e-17,2.198803523651134e-09,True
fn167,13.7884,A35,4.5102810375396984e-17,2.57743096633085e-10,True
fn167,13.7884,A53,6.418476861114186e-17,1.872758672451e-10,True
fn167,13.7884,A55,2.42861286636753e-17,2.23706044904605e-10,True
fn167,13.7884,B33,0.0,5.064758724854442e-09,True
fn167,13.7884,B35,0.0,1.150501629781927e-09,True
fn167,13.7884,B53,8.326672684688674e-17,1.5533989577486451e-09,True
fn167,13.7884,B55,9.280770596475918e-17,1.42509700702457e-10,True
fn167,13.7884,F3,4.85722573273506e-17,5.126091001257256e-09,True
fn167,13.7884,F5,6.245004513516506e-17,1.3850555666625844e-09,True
fn167,11.1048,A33,0.0,2.466651134013186e-09,True
fn167,11.1048,A35,1.0408340855860843e-17,3.49562457166175e-10,True
fn167,11.1048,A53,6.440160904563896e-17,1.1669186402472e-10,True
fn167,11.1048,A55,3.9898639947466563e-17,2.3350868525087e-10,True
fn167,11.1048,B33,0.0,4.982504623417351e-09,True
fn167,11.1048,B35,2.7755575615628914e-17,1.1947698855684751e-09,True
fn167,11.1048,B53,2.7755575615628914e-17,1.6421371122940792e-09,True
fn167,11.1048,B55,8.500145032286355e-17,1.6996912406543802e-10,True
fn167,11.1048,F3,1.7502663562415143e-16,6.197387520504554e-09,True
fn167,11.1048,F5,1.0315407380583415e-16,1.237990834050647e-09,True
fn167,9.86,A33,5.551115123125783e-17,2.634325282111174e-09,True
fn167,9.86,A35,8.326672684688674e-17,4.0905426742935e-10,True
fn167,9.86,A53,7.24247051220317e-17,1.2672526908255802e-10,True
fn167,9.86,A55,2.2551405187698492e-17,2.43963328378683e-10,True
fn167,9.86,B33,0.0,4.638920661687739e-09,True
fn167,9.86,B35,0.0,1.3200116816665652e-09,True
fn167,9.86,B53,2.7755575615628914e-17,1.755711757406849e-09,True
fn167,9.86,B55,4.163336342344337e-17,2.0788427401986002e-10,True
fn167,9.86,F3,1.4142252678633177e-16,6.565499929032271e-09,True
fn167,9.86,F5,1.1123893155135927e-16,1.149424377084002e-09,True
fn167,8.6966,A33,0.0,2.809300874546045e-09,True
fn167,8.6966,A35,8.326672684688674e-17,4.72192669607352e-10,True
fn167,8.6966,A53,1.734723475976807e-18,1.71761733904393e-10,True
fn167,8.6966,A55,6.245004513516506e-17,2.6251091105587804e-10,True
fn167,8.6966,B33,0.0,4.148932495801339e-09,True
fn167,8.6966,B35,0.0,1.4981084247209519e-09,True
fn167,8.6966,B53,2.7755575615628914e-17,1.901648809399838e-09,True
fn167,8.6966,B55,1.0408340855860843e-17,2.57981253305174e-10,True
fn167,8.6966,F3,3.469446951953614e-18,6.828483552606215e-09,True
fn167,8.6966,F5,6.938893903907228e-17,1.0616480967723408e-09,True
fn167,7.5978,A33,1.1102230246251565e-16,2.984018503475855e-09,True
fn167,7.5978,A35,6.245004513516506e-17,5.36071006460542e-10,True
fn167,7.5978,A53,5.551115123125783e-17,2.1655871295323198e-10,True
fn167,7.5978,A55,1.3877787807814457e-17,2.94652246900017e-10,True
fn167,7.5978,B33,5.551115123125783e-17,3.562683825576498e-09,True
fn167,7.5978,B35,2.7755575615628914e-17,1.712334352984553e-09,True
fn167,7.5978,B53,2.7755575615628914e-17,2.068083471591696e-09,True
fn167,7.5978,B55,7.28583859910259e-17,3.16251305944417e-10,True
fn167,7.5978,F3,8.326672684688674e-17,7.004028819087399e-09,True
fn167,7.5978,F5,4.85722573273506e-17,9.789206099549751e-10,True
fn167,6.5604,A33,0.0,3.1504035287497463e-09,True
fn167,6.5604,A35,6.245004513516506e-17,5.97533129559377e-10,True
fn167,6.5604,A53,7.28583859910259e-17,2.59108880102103e-10,True
fn167,6.5604,A55,2.0816681711721685e-17,3.48793587007985e-10,True
fn167,6.5604,B33,5.551115123125783e-17,2.934359601242637e-09,True
fn167,6.5604,B35,2.7755575615628914e-17,1.943439983775884e-09,True
