outer_panel_index,xi_mid,eta_mid,panel_length,arc_mid,normalized_arc_mid,s_nu,k_contribution,k_fraction,cumulative_k_fraction,s_nu_left,s_nu_right,k_contribution_linear_exact
0,4.313705006410187,0.42423324682086216,0.004891827028549502,0.002445913514274751,0.0001552080264489086,-0.0532603516124146,1.38764747815024e-05,0.0037271847063875267,0.0037271847063875267,-0.7869820695373888,0.68046136631256,0.0008917108553166187
1,4.315502881472638,0.4196840647616096,0.004891830970675018,0.007337742513887011,0.00046562420442259575,0.4734975472097682,0.0010967481475668995,0.2945836739327548,0.29831085863914236,0.7052385279349966,0.2417565664845407,0.00118431825221176
2,4.317393324768011,0.4151725446765818,0.004891830104398774,0.012229573051423907,0.0007760404799869157,0.22672157246884161,0.00025145313551229865,0.06753965223962727,0.36585051087876963,0.2675467403188714,0.18589640461881274,0.0002541708640117136
3,4.319536906935263,0.4105188837572248,0.005358292645030162,0.017354634426138375,0.0011012566647606548,0.20616215808391836,0.0002277426304550909,0.061171072811388595,0.4270215836901582,0.2536074453117667,0.1587168708560709,0.00023176323477212284
4,4.322071855543726,0.405646850115417,0.005629209332073571,0.02284838541469024,0.0014498684385451854,0.17561747610315326,0.00017361324786609555,0.04663206271490217,0.47365364640506036,0.23971186650227283,0.11152308570403546,0.0001813216823735222
5,4.324889378024851,0.40077483342815823,0.005629220278320691,0.02847760021988737,0.0018070762119486898,0.16779226727879681,0.00015848644664152948,0.04256904360749004,0.5162226900125504,0.18528803717151687,0.1502964973860763,0.00015906081843611742
6,4.335943030664728,0.3855933576700063,0.03195302234219821,0.04726872153014683,0.002999486669761706,0.024506691469017294,1.9190279911916834e-05,0.00515445881790794,0.5213771488304584,0.35868294187810035,-0.30966955894006487,0.0012086283968514926
7,4.359941013240159,0.36017783365326894,0.038327041102135403,0.08240875325231364,0.00522933451234446,0.0034949709441916,4.681579810450607e-07,0.00012574600499043253,0.5215028948354488,0.241957844576691,-0.2349679026883078,0.0007269513721016434
8,4.392447526186027,0.3357107263959364,0.043248050615028205,0.12319629911089544,0.007817551331728581,0.00804003346908777,2.795646464047508e-06,0.0007509033028441882,0.522253798138293,0.2286239161357302,-0.2125438491975542,0.0007042393731910627
9,4.432203884775363,0.3129018104867748,0.048557583409720856,0.16909911612326994,0.010730363087073312,0.009284408875641414,4.1856757404577375e-06,0.0011242615182443531,0.5233780596565374,0.18655054238019897,-0.16798172462891614,0.0005127985560666328
10,4.4789789321055125,0.29168578828945557,0.0542533030661357,0.22050455936119823,0.013992349803744279,0.010694911746189861,6.205554504750392e-06,0.0016667956529991034,0.5250448553095365,0.15640430680078454,-0.13501448330840504,0.0003901603000677121
11,4.532709146383849,0.271885016894948,0.06033047651656154,0.27779644915254686,0.01762786720619841,0.009260783060354827,5.174068534473689e-06,0.0013897412286006628,0.5264345965381372,0.12913630750559224,-0.11061474138488281,0.000294159893841384
12,4.59348272719822,0.2533598908905441,0.06677964266066838,0.3413515087411618,0.02166082066592718,0.008930998051386085,5.326526352866842e-06,0.0014306909984832584,0.5278652875366205,0.10862393314696495,-0.090761937044193,0.0002265603884410631
13,4.661471560511485,0.23600590013292183,0.07358761908934079,0.4115351396161664,0.02611439712051335,0.008209119312530877,4.9590431505994405e-06,0.001331985974843452,0.529197273511464,0.09196681522795558,-0.07554857660289405,0.00017704005087151926
14,4.736887911204726,0.21973641630447316,0.08073717471261535,0.48869753651714454,0.03101081854717991,0.007714956062659928,4.805520806067242e-06,0.001290750276033843,0.5304880237874978,0.07874231213666794,-0.06331240001134808,0.00014057544972217632
15,4.819963450450679,0.20448526329643468,0.08820728102604337,0.5731697643864739,0.036371093021655206,0.007268984346761043,4.660708084656525e-06,0.0012518539591355577,0.5317398777466333,0.06800525105778088,-0.053467282364258906,0.00011312314742601533
16,4.910932129572563,0.19019755700543114,0.09597326592427521,0.6652600378616331,0.04221477862942612,0.006902706594422603,4.5728725914681425e-06,0.0012282615761964738,0.5329681393228299,0.05921549429019468,-0.045410081101349586,9.212057372833748e-05
17,5.010019299365179,0.17682676564171015,0.10400707621065164,0.7652502089290967,0.048559760586104776,0.006580722026492625,4.504120290244151e-06,0.0012097948885336533,0.5341779342113635,0.05192096551333214,-0.03875952146034667,7.577454212198966e-05
18,5.117433439610725,0.16433143933221134,0.11227758229589295,0.8733925381823688,0.05542204635419552,0.006304541949863962,4.46272504281828e-06,0.0011986762337202203,0.5353766104450837,0.045814079660053686,-0.03320499576032576,6.288462731049933e-05
19,5.233359986006565,0.15267359246793374,0.1207509331199495,0.9899067958902901,0.06281558168832124,0.006089010920818594,4.476968116162788e-06,0.0012025018858384637,0.5365791123309223,0.040678420335370835,-0.02850039849373387,5.2633536809685146e-05
20,5.357956498928425,0.1418174575546027,0.12939094930965547,1.1149777371050926,0.07075209041553718,0.005948095861098568,4.5778316498267825e-06,0.001229593566256157,0.5378087058971783,0.03635247684948595,-0.0244562851272887,4.444863408329269e-05
21,5.491348868280871,0.1317282754080641,0.1381595461889589,1.2487529848543997,0.07924094011104257,0.00586875027907563,4.758522844174662e-06,0.0012781267468194267,0.5390868326439978,0.03268835246827084,-0.020950851910119528,3.788416505970493e-05
22,5.63362839032242,0.122371106866079,0.1470171772318873,1.3913413465648228,0.08828903526506114,0.005815355269078337,4.971879370881401e-06,0.001335433749921494,0.5404222663939193,0.029545526831074087,-0.017914816292917246,3.256803473351561e-05
