outer_iteration,node_index,normal_displacement
1,0,-0.0005692265846234716
1,1,-0.0005671122659230482
1,2,-0.000562917775801702
1,3,-0.0005567030772689278
1,4,-0.000548538291507898
1,5,-0.0005384830493532893
1,6,-0.0005265648548339743
1,7,-0.0005127620298384831
1,8,-0.0004969974861648474
1,9,-0.0004791485629738764
1,10,-0.00045907509600552865
1,11,-0.0004366631180012028
1,12,-0.0004118762997537221
1,13,-0.00038480312259215016
1,14,-0.0003556864886145577
1,15,-0.00032492501685528095
1,16,-0.00029304148335870925
1,17,-0.0002606223153774022
1,18,-0.0002282403843120102
1,19,-0.0001963789658891133
1,20,-0.00016537567502919627
1,21,-0.00013540078745629268
1,22,-0.00010647561063326433
1,23,-7.852584787954974e-05
1,24,-5.145529922963708e-05
1,25,-2.521959522039236e-05
1,26,1.2034791814106646e-07
1,27,2.437982543462876e-05
1,28,4.727185251395842e-05
1,29,6.846295304404492e-05
1,30,8.764858142891341e-05
1,31,0.00010462885061600737
1,32,0.00011936580439144448
1,33,0.0001320087325499766
1,34,0.00014288218205988203
1,35,0.00015243998016985523
1,36,0.0001611955649675476
1,37,0.00016964283050531888
1,38,0.0001781822163120466
1,39,0.000187064506541605
1,40,0.0001963608490399886
1,41,0.00020596294872949892
1,42,0.00021561295520506132
1,43,0.00022495852372961839
1,44,0.00023362489601395082
1,45,0.00024129270997767002
1,46,0.0002477680375128704
1,47,0.00025303067302796247
1,48,0.0002572488637868663
1,49,0.00026075400989292554
1,50,0.0002639770080465423
1,51,0.00026735737687312556
1,52,0.00027124464147570526
1,53,0.0002758159236176149
1,54,0.0002810321614802574
1,55,0.00028664727917232773
1,56,0.00029227139154505287
1,57,0.0002974741106815997
1,58,0.0003019016108616132
1,59,0.0003053754115536201
1,60,0.0003079442542634795
1,61,0.0003098726926646234
1,62,0.00031156794412529
1,63,0.0003134649533546713
1,64,0.0003159027694549808
1,65,0.00031902884230208253
1,66,0.00032276016814938933
1,67,0.00032681334615867954
1,68,0.0003307945817808806
1,69,0.0003343220516778794
1,70,0.0003371428216674383
1,71,0.00033920811893104814
1,72,0.000340683872511252
1,73,0.0003418939697622785
1,74,0.0003432150622920442
1,75,0.0003449570642935354
1,76,0.0003472677195386918
1,77,0.00035009138266706456
1,78,0.0003531941840113784
1,79,0.0003562459712760721
1,80,0.0003589310483992644
1,81,0.00036105081291979693
1,82,0.00036258479810984194
1,83,0.0003636910849227029
1,84,0.00036464759401477536
1,85,0.0003657554318280936
1,86,0.0003672376508585413
1,87,0.0003691675039148606
1,88,0.0003714494765483601
1,89,0.00037385793790046314
1,90,0.0003761185745539442
1,91,0.0003780036011206436
1,92,0.0003794078143532822
1,93,0.00038038001299181296
1,94,0.0003811003411576977
1,95,0.00038181301502860233
1,96,0.0003827390612299623
1,97,0.0003839999520817499
1,98,0.0003855783883112753
1,99,0.0003873288102843299
1,100,0.00038903249053570275
1,101,0.0003904765719000084
1,102,0.0003915285532909165
1,103,0.0003921800854173823
1,104,0.0003925454628838935
1,105,0.0003928166135847515
1,106,0.0003931917723737674
1,107,0.00039380394726472843
1,108,0.00039467471032217876
1,109,0.0003957091787704563
1,110,0.00039673293475517236
1,111,0.0003975565817262878
1,112,0.00039804404055082557
1,113,0.0003981598826189341
1,114,0.0003979790977363989
1,115,0.00039765661456774113
1,116,0.00039736850283747917
1,117,0.00039724680072197936
1,118,0.00039733178884471964
1,119,0.0003975587358800671
