restoring_route,bem_substeps_per_plane,coefficient,value_dimensional,value_nondimensional,relative_change_from_previous,harmonic_fit_residual_nrmse,response_calibration_used
native_nonlinear_2dt,8,A33,66.22702770322948,0.8688357737116552,,0.0156396061904333,False
native_nonlinear_2dt,16,A33,66.22840272281708,0.8688538126641598,2.0761780913747373e-05,0.0160704973746892,False
native_nonlinear_2dt,32,A33,66.47914502156723,0.872143313743886,0.003771743735103815,0.0158618977910028,False
native_nonlinear_2dt,8,A35,-13.440177908487811,-0.4158546778947199,,0.0261422237342633,False
native_nonlinear_2dt,16,A35,-16.61045368263092,-0.5139466838093982,0.19086027598741476,0.0305559339090911,False
native_nonlinear_2dt,32,A35,-16.95138483522371,-0.5244954887144445,0.020112289108342448,0.0314877594930458,False
native_nonlinear_2dt,8,A53,-19.352102007738385,-0.5987764597916153,,0.0201705263741881,False
native_nonlinear_2dt,16,A53,-19.49889068088985,-0.6033182714259276,0.007528052521230259,0.0207424668712832,False
native_nonlinear_2dt,32,A53,-19.541993862338707,-0.6046519338044837,0.0022056695827709087,0.0209724905806161,False
native_nonlinear_2dt,8,A55,8.326780960224934,0.6076421021673396,,0.0358655195367051,False
native_nonlinear_2dt,16,A55,8.064293586579433,0.588487235445587,0.0325493325394714,0.0395347339117683,False
native_nonlinear_2dt,32,A55,8.009682353593076,0.5845020117952601,0.006818152153294656,0.0415028515353764,False
native_nonlinear_2dt,8,B33,877.3063952056295,2.39318524147456,,0.0156396061904333,False
native_nonlinear_2dt,16,B33,883.363102364565,2.409707202631927,0.006856418547167029,0.0160704973746892,False
native_nonlinear_2dt,32,B33,883.3414369885967,2.409648102118923,2.4526615712864207e-05,0.0158618977910028,False
native_nonlinear_2dt,8,B35,-832.8985765969993,-5.358599312413954,,0.0261422237342633,False
native_nonlinear_2dt,16,B35,-839.685862434585,-5.402266508209921,0.008083125060491875,0.0305559339090911,False
native_nonlinear_2dt,32,B35,-841.920622260884,-5.416644228144975,0.0026543592913756604,0.0314877594930458,False
native_nonlinear_2dt,8,B53,31.705703037619703,0.2039842104078847,,0.0201705263741881,False
native_nonlinear_2dt,16,B53,31.664806574497817,0.2037210958278832,0.0012915431214041567,0.0207424668712832,False
native_nonlinear_2dt,32,B53,30.66781400781045,0.1973067690029285,0.032509410890305214,0.0209724905806161,False
native_nonlinear_2dt,8,B55,271.81287009636645,4.124424176009199,,0.0358655195367051,False
native_nonlinear_2dt,16,B55,271.7018337009597,4.122739336018104,0.00040867002586727255,0.0395347339117683,False
native_nonlinear_2dt,32,B55,272.23728258473784,4.13086411068565,0.001966846269895007,0.0415028515353764,False
