bem_substeps_per_plane,omega_rad_s,time_step_s,maximum_potential_bvp_residual,maximum_pressure_bvp_residual,maximum_bvp_condition_number,response_calibration_used,input_snapshot_sha256,identified_coefficients_sha256
8,8.924499998413234,0.002861086253234589,2.5256155253327914e-15,3.0394744066455387e-15,963.6741823512789,False,3998ae48a6876b724addf5e70419f3427cec40ce9a957d293aec4764bcba3c66,3cb4fef858ae117aa742498d730d04337828c3e01b3191642f314ad0cb01d976
16,8.924499998413234,0.0014305431266172946,2.324073842117924e-15,3.047402510974536e-15,981.5016966962539,False,93ad06d2f4b83d576e2a414cadbc6561cfeac954393358951404b897adfc5344,80d1bc51f256060f67625a6e5916856595aca3b15defd58d22c964370263ec2d
32,8.924499998413234,0.0007152715633086473,2.4031039572663205e-15,3.4839458241240923e-15,1036.810155835079,False,8b6b8f88a305684e185dca682883729b33e41a3e00d8f3926d4a0f4423186412,6acd4f97e227b46a9b83e8720a5883b1e734706c28094a2b340178af9030ccbc
