bem_substeps_per_plane,route,fn_b,case_code,encounter_omega_rad_s,heave_rao_m_per_m,reference_heave_rao_m_per_m,heave_relative_error,pitch_rao_rad_per_wave_slope,reference_pitch_rao_rad_per_wave_slope,pitch_relative_error,dynamic_condition_number,equation_relative_residual,phase_length_source,phase_length_m,excitation_formulation,response_calibration_used
8,native_nonlinear_2dt_ABC,2.82,C7,8.92627515641582,1.236481971903916,1.307692308,0.054454962884192534,1.2981841233688831,1.504807692,0.1373089529842175,7.7643633877915015,4.007104159220482e-16,reported_savitsky_mean_wetted_length,1.16,faltinsen_eq9_110_to_9_117,False
8,fixed_savitsky_faltinsen_ABC,2.82,C7,8.92627515641582,1.311438380632235,1.307692308,0.0028646437769173755,1.2485293161877236,1.504807692,0.17030639674074474,7.764043651001351,2.5856249212203736e-16,reported_savitsky_mean_wetted_length,1.16,faltinsen_eq9_110_to_9_117,False
16,native_nonlinear_2dt_ABC,2.82,C7,8.92627515641582,1.236482596509885,1.307692308,0.054454485244334036,1.3052630533305964,1.504807692,0.1326047439352161,7.649469710612313,2.161845983038073e-16,reported_savitsky_mean_wetted_length,1.16,faltinsen_eq9_110_to_9_117,False
16,fixed_savitsky_faltinsen_ABC,2.82,C7,8.92627515641582,1.2889376480610961,1.307692308,0.014341798773434328,1.2310983563160371,1.504807692,0.18188991001247676,7.649264640738066,5.795493310838529e-16,reported_savitsky_mean_wetted_length,1.16,faltinsen_eq9_110_to_9_117,False
32,native_nonlinear_2dt_ABC,2.82,C7,8.92627515641582,1.2314144758036225,1.307692308,0.058330106959975724,1.3034246788138466,1.504807692,0.1338264113459578,7.567439173343955,3.085492208605678e-16,reported_savitsky_mean_wetted_length,1.16,faltinsen_eq9_110_to_9_117,False
32,fixed_savitsky_faltinsen_ABC,2.82,C7,8.92627515641582,1.2790682508635365,1.307692308,0.021888984863910006,1.2233362383952098,1.504807692,0.1870481225615573,7.567217854994525,6.208806399507715e-16,reported_savitsky_mean_wetted_length,1.16,faltinsen_eq9_110_to_9_117,False
