restoring_route,bem_substeps_per_plane,coefficient,value_dimensional,value_nondimensional,relative_change_from_previous,harmonic_fit_residual_nrmse,response_calibration_used
fixed_savitsky_faltinsen,8,A33,53.7176837080314,0.7047250481420827,,0.0156396061904333,False
fixed_savitsky_faltinsen,16,A33,53.45831155426463,0.7013223315517045,0.004851858321478873,0.0160704973746892,False
fixed_savitsky_faltinsen,32,A33,53.44551742079653,0.7011544846584311,0.00023938646467527736,0.0158618977910028,False
fixed_savitsky_faltinsen,8,A35,-6.301701535300339,-0.1949819474112775,,0.0261422237342633,False
fixed_savitsky_faltinsen,16,A35,-6.213859719360613,-0.1922640198420127,0.014136433699337562,0.0305559339090911,False
fixed_savitsky_faltinsen,32,A35,-6.488206398559451,-0.2007526239874734,0.04228390133515945,0.0314877594930458,False
fixed_savitsky_faltinsen,8,A53,-7.028580158338076,-0.2174724142570341,,0.0201705263741881,False
fixed_savitsky_faltinsen,16,A53,-7.312200261509233,-0.2262479488855023,0.038787245019000334,0.0207424668712832,False
fixed_savitsky_faltinsen,32,A53,-7.452967968463429,-0.2306034648490557,0.01888746973686751,0.0209724905806161,False
fixed_savitsky_faltinsen,8,A55,3.065052214911709,0.2236704411966782,,0.0358655195367051,False
fixed_savitsky_faltinsen,16,A55,2.6974721938768496,0.1968464983352939,0.13626832627570765,0.0395347339117683,False
fixed_savitsky_faltinsen,32,A55,2.416687422579772,0.1763563894321622,0.11618580403639647,0.0415028515353764,False
fixed_savitsky_faltinsen,8,B33,877.3063952056295,2.39318524147456,,0.0156396061904333,False
fixed_savitsky_faltinsen,16,B33,883.363102364565,2.409707202631927,0.006856418547167029,0.0160704973746892,False
fixed_savitsky_faltinsen,32,B33,883.3414369885967,2.409648102118923,2.4526615712864207e-05,0.0158618977910028,False
fixed_savitsky_faltinsen,8,B35,-832.8985765969993,-5.358599312413954,,0.0261422237342633,False
fixed_savitsky_faltinsen,16,B35,-839.685862434585,-5.402266508209921,0.008083125060491875,0.0305559339090911,False
fixed_savitsky_faltinsen,32,B35,-841.920622260884,-5.416644228144975,0.0026543592913756604,0.0314877594930458,False
fixed_savitsky_faltinsen,8,B53,31.705703037619703,0.2039842104078847,,0.0201705263741881,False
fixed_savitsky_faltinsen,16,B53,31.664806574497817,0.2037210958278832,0.0012915431214041567,0.0207424668712832,False
fixed_savitsky_faltinsen,32,B53,30.66781400781045,0.1973067690029285,0.032509410890305214,0.0209724905806161,False
fixed_savitsky_faltinsen,8,B55,271.81287009636645,4.124424176009199,,0.0358655195367051,False
fixed_savitsky_faltinsen,16,B55,271.7018337009597,4.122739336018104,0.00040867002586727255,0.0395347339117683,False
fixed_savitsky_faltinsen,32,B55,272.23728258473784,4.13086411068565,0.001966846269895007,0.0415028515353764,False
