a1_inner_candidate_name,potential_name,pass_rows,fail_rows,max_total_relative_residual,min_total_relative_residual,finest_panel_count,finest_panel_total_relative_residual,finest_panel_body_relative_residual,finest_panel_free_relative_residual,finest_panel_control_relative_residual,inner_a_scale,inner_b_scale,inner_diagonal_sign,diagnostic_conclusion,gate_role
normalize_a_and_b_by_2pi,cross_yz,3,0,0.008922413292463608,0.0022815309975480584,264,0.0022815309975480584,0.009176151334774866,0.014231973032383122,0.00935239776264671,0.15915494309189535,0.15915494309189535,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_and_b_by_2pi,linear_y,3,0,0.011262125025479207,0.0028804867383218505,264,0.0028804867383218505,0.017487566984610372,0.014727933082958783,0.017863172259541194,0.15915494309189535,0.15915494309189535,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_and_b_by_2pi,linear_z,3,0,0.006848984616303624,0.0017631375098625585,264,0.0017631375098625585,0.006288916924797629,0.007814996029728677,0.008533277864360544,0.15915494309189535,0.15915494309189535,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_and_b_by_2pi,quadratic_y2_minus_z2,3,0,0.0055282455155735676,0.0014171433378639146,264,0.0014171433378639146,0.004935692256206284,0.010982500450381653,0.026473440200479,0.15915494309189535,0.15915494309189535,-1.0,mixed_boundary_identity_within_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_only_by_2pi,cross_yz,0,3,1.2209004944141726,1.2165846790890082,264,1.2209004944141726,0.9645559746313318,2.7750246460009427,0.8266648276887184,0.15915494309189535,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_only_by_2pi,linear_y,0,3,1.7355214925677502,1.7237317969266128,264,1.7355214925677502,1.8076239942715953,18.783838833990377,3.8731580909373418,0.15915494309189535,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_only_by_2pi,linear_z,0,3,1.3393355373866487,1.3334702548344828,264,1.3393355373866487,0.8818342637753505,2.460692412175838,6.908838938593215,0.15915494309189535,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_a_only_by_2pi,quadratic_y2_minus_z2,0,3,1.2242399854615105,1.2205185432019188,264,1.2242399854615105,0.9735249819786421,3.9336518749252307,4.84029924410356,0.15915494309189535,1.0,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_b_only_by_2pi,cross_yz,0,3,1.4187188225435194,1.413704371652579,264,1.413704371652579,3.7364476294366544,1.0736252285537213,0.8631078665326107,1.0,0.15915494309189535,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
normalize_b_only_by_2pi,linear_y,0,3,1.3841463251957036,1.3775619278309712,264,1.3775619278309712,1.8144010908103854,1.1488081453277557,1.7188607461222667,1.0,0.15915494309189535,-1.0,mixed_boundary_identity_outside_tolerance,diagnostic_a1_inner_mixed_boundary_identity_not_hard_gate
