benchmark,coefficient,source_row,station_index,x_m,x_over_l,body_normal_velocity_norm,inner_free_surface_normal_derivative_norm,body_potential_norm,free_surface_potential_norm,control_potential_norm,inner_free_surface_normal_derivative_to_body_normal_velocity_ratio,body_potential_to_inner_free_surface_normal_derivative_gain,body_potential_to_body_normal_velocity_gain,free_surface_potential_to_body_potential_ratio,control_potential_to_body_potential_ratio,time_derivative_density_value_per_m,station_trapezoid_weight_m,station_time_derivative_contribution_value,station_abs_contribution_share,coefficient_reference_value,coefficient_computed_value,coefficient_gate_error_ratio,coefficient_status,coefficient_time_component_value,station_integral_time_component_value,required_global_scale_to_reference_from_time_integral,diagnostic_flags,failure_source,gate_role
ma2005_wigley_iii_coefficients,A33,0,0,0.075,0.024999999999999998,0.45431786104139943,5.7597720024857555,10.497124095908804,1.2531890418299396,0.5917789039326274,12.677846275475618,1.8224895171854962,23.105241937543504,0.11938403608264125,0.05637533657082991,0.5011735082408337,0.0375,0.018794006559031264,0.00180697566150481,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,peak_free_normal_to_body_velocity_station|peak_body_potential_to_body_velocity_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,1,0.15,0.049999999999999996,0.8714896660775344,5.199912774765939,5.802975543081899,1.360637332369913,0.7608661201623289,5.966694703529984,1.1159755546751657,6.658685431349247,0.23447235341048725,0.13111654779751855,-0.6637031723181233,0.07499999999999998,-0.049777737923859235,0.004785949213684585,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,2,0.22499999999999998,0.075,1.2440363637319745,5.990564433829323,16.369287027554044,1.4406449472437748,0.5284338498522327,4.815425504008804,2.732511636986162,13.158206226744012,0.08800902231225895,0.032282032135103514,3.806340959521033,0.075,0.28547557196407747,0.027447442293530955,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,3,0.3,0.09999999999999999,1.5703671514212967,4.666113267731254,10.691113314454283,1.5041802761016754,0.6159558924539638,2.971351803626357,2.2912245590755855,6.8080342261222455,0.14069444704772122,0.05761382134274055,3.155393099865569,0.07500000000000001,0.2366544824899177,0.02275347136344405,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,4,0.375,0.125,1.8527440548546934,3.5166061466664105,10.586051130713292,1.571074859356193,0.6113312384531471,1.8980528570322197,3.0103033121148375,5.713714802093121,0.14840990657961553,0.05774875172097864,3.718593213689306,0.07499999999999998,0.2788944910266979,0.0268146951971156,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,5,0.44999999999999996,0.15,2.0953403577709504,2.520604623584145,11.253934636359714,1.6550890798970614,0.5747277455502324,1.2029571302037039,4.464775844280295,5.3709339366382425,0.14706759310203613,0.05106904954764677,4.531845640939802,0.07500000000000001,0.3398884230704852,0.0326790408520148,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,6,0.525,0.17500000000000002,2.302923608664771,2.3292833961776473,12.183187800081093,1.7601741301661298,0.5172068108132523,1.0114462274882665,5.230444616603414,5.290313475549835,0.14447566261388614,0.04245250252235377,5.47393621162209,0.07500000000000001,0.41054521587165677,0.03947243557126653,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,7,0.6,0.19999999999999998,2.4801316742599075,3.2172661898578916,13.216549389027367,1.878896464261831,0.44566073804483713,1.2972158789988242,4.1080061794983616,5.328970847070568,0.14216240631020732,0.03371990108211098,6.488158534351216,0.07499999999999996,0.4866118900763409,0.0467859707936659,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,8,0.6749999999999999,0.22499999999999998,2.631144229310742,4.498013176655845,14.2500761469895,1.9951006017210708,0.36623081760555715,1.7095274088544172,3.168082348212252,5.415923607776708,0.14000631162539856,0.025700270919810336,7.51482046406851,0.07500000000000001,0.5636115348051384,0.054189207752875834,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
ma2005_wigley_iii_coefficients,A33,0,9,0.75,0.25,2.7595752934474778,5.658645907508976,15.152452012901383,2.088825004888077,0.2848406408695731,2.050549561356506,2.6777522857180736,5.490863774900577,0.1378539264212532,0.018798319943666462,8.463390754978358,0.07500000000000001,0.634754306623377,0.061029327594473555,1.0,10.289989439187291,61.93326292791528,FAIL,10.289989439187291,10.289989439187293,0.09718182957425663,background_station,free_normal_to_body_potential_scale_suspect,diagnostic_free_normal_to_body_potential_not_hard_gate
