iteration,pseudo_time,kinematic_rms,dipole_coefficient,root_angle_deg,accepted_time_step,maximum_displacement_ratio
0,0.0,1.7481557222452468,5.639726576527547,26.260331477465357,,
1,4.72512353436139e-05,1.7513839083223919,5.640690311796469,25.213842086400724,4.72512353436139e-05,0.019626659530903676
2,9.424124918934315e-05,1.7493352175253292,5.641662448278981,24.172777319442083,4.6990013845729246e-05,0.01964596806690908
3,0.00014133362200884487,1.7472722283915023,5.6426253968977615,23.133895596031962,4.7092372819501713e-05,0.01965766753787089
4,0.000188533200889237,1.7451992397106213,5.643579247120786,22.09735439863457,4.719957888039213e-05,0.01966802317927574
5,0.00023584465498516065,1.7431196237421018,5.644524103450536,21.06330278474908,4.731145409592364e-05,0.019676969373264713
6,0.000283272557540958,1.7410366282924628,5.645460085837019,20.03188086188299,4.742790255579736e-05,0.01968449618698914
7,0.00033082137258564384,1.738953374214971,5.646387328644583,19.003220914926747,4.7548815044685815e-05,0.019690597912352042
8,0.0003784954416202954,1.736872853667466,5.647305979609846,17.97744847791468,4.7674069034651555e-05,0.019695272777541708
9,0.00042629897042867007,1.7347979297288296,5.648216198706264,16.954683343940815,4.7803528808374635e-05,0.019698522713431987
10,0.00047423601605315843,1.7327313371785225,5.649118157042502,15.93504051128135,4.793704562448835e-05,0.019700353131299732
11,0.0005223104739817014,1.7306756842495976,5.650012035691683,14.91863106491414,4.8074457928543e-05,0.01970077271250852
12,0.0005705260655937468,1.7286334551746463,5.650898024517042,13.905562993657469,4.821559161204536e-05,0.019699793209981404
13,0.0006188863259163961,1.7247953423305644,5.651776321001288,12.895941943879153,4.836026032264933e-05,0.01969742926143176
14,0.0006673945917450838,1.718093981982995,5.65264712908251,11.889871911398446,4.850826582868765e-05,0.01969369821416795
15,0.0007160539901847631,1.7121539700449282,5.653510657986768,10.887455873715284,4.865939843967932e-05,0.019688619960667456
16,0.000759528457945831,1.7073351459747055,5.654274098135867,10.000807528889505,4.347446776106784e-05,0.017523343611159547
17,0.000760484777750314,1.7065259233288024,5.654293753250051,9.99969810041907,9.563198044830577e-07,0.0003831733751422273
