component,sigma,damping_center_from_cg_m,damping_center_from_transom_m,damping_center_from_transom_over_beam,response_calibration_used
bem,1.4,0.06886341599387498,0.536323415993875,1.6865516226222483,False
front,1.4,0.622500149372321,1.089960149372321,3.4275476395356006,False
longitudinal_bin_aft_post_chine,1.4,-0.34611906892743793,0.12134093107256205,0.3815752549451637,False
longitudinal_bin_forward_post_chine,1.4,0.11849260571344904,0.585952605713449,1.8426182569605314,False
longitudinal_bin_middle_post_chine,1.4,-0.11067010142622959,0.3567898985737704,1.1219808131250641,False
longitudinal_bin_pre_chine,1.4,0.37269749889358256,0.8401574988935825,2.642004713501832,False
post_chine_bem,1.4,-0.0681015384613037,0.39935846153869625,1.2558442186751455,False
pre_chine_bem,1.4,0.37269749889358256,0.8401574988935825,2.642004713501832,False
raw_bem,1.4,0.06886341599387498,0.536323415993875,1.6865516226222483,False
resolved_station_bem,1.4,0.08412418810549381,0.5515841881054938,1.7345414720298546,False
total,1.4,0.12431636833829798,0.5917763683382979,1.8609319759065972,False
transom,1.4,nan,nan,nan,False
transom_extrapolation,1.4,-0.433508910842227,0.03395108915777301,0.10676443131375159,False
