step_factor,normalized_objective,normalized_relative_decrease,predicted_normalized_objective,trust_ratio,maximum_grid_objective_ratio,maximum_leading_panel_objective_ratio,maximum_root_relative_mismatch,maximum_condition_number,maximum_condition_number_ratio,maximum_displacement_ratio,curvature_energy,curvature_energy_ratio,maximum_turning_angle_deg,dipole_coefficient,feasibility_repair,accepted,rejection_reason
1.0,0.7881038793622757,0.21189612063772434,0.7861152016003944,0.9907021079723217,0.7881038793622754,1.0,9.856178222243307e-07,253338.92630142998,1.0000522107711298,0.26923620743664056,21.196477382352448,1.003554749109976,5.727391917469729,7.81410158914854,False,False,displacement_limit
0.75,0.837323489804626,0.162676510195374,0.8357345475205005,0.9903269844015202,0.8373234898046258,1.0,5.521578572578383e-07,253334.753498553,1.000035738684494,0.20185911824081118,21.177201027207698,1.0026421032300927,5.723477125899585,7.811631959345354,False,False,displacement_limit
0.5,0.8890310825272697,0.1109689174727303,0.8879217958938037,0.9901025659510486,0.8890310825272696,1.0,2.4441559439193196e-07,253331.90325138255,1.0000244873698,0.13453384874531038,21.158313065275742,1.0017478459647982,5.718729547159258,7.809154733272948,False,True,
0.25,0.9432436275825339,0.05675637241746612,0.9426769467203034,0.990114258927112,0.9432436275825337,1.0,6.070582386650749e-08,253326.29108699955,1.000002333421805,0.06726198655772936,21.13973340162962,1.0008681851913312,5.713130110559736,7.806670024442156,False,True,
0.125,0.9712842194285876,0.02871578057141244,0.9710174855535021,0.9907967310573462,0.9712842194285874,1.0,1.5077266262945025e-08,253324.15107020992,0.9999938857325659,0.033646578445526897,21.13053809091608,1.0004328299400953,5.710005237677234,7.805424820967281,False,True,
